# event_ticker=KXATPCHALLENGERMATCH-26FEB20CINSAK
# final_score=6-7(7) 6-3 6-2
# score_resolution=7-6 3-6 2-6
# match_winner=Rei Sakamoto
# fav_player=Federico Cina
# dog_player=Rei Sakamoto
# kalshi_date=2026-02-20
timestamp,Federico Cina,Rei Sakamoto
2026-02-19T22:25:00Z,34.00,71.73
2026-02-19T23:13:00Z,39.00,71.73
2026-02-19T23:17:00Z,39.00,66.00
2026-02-19T23:25:00Z,39.00,66.00
2026-02-19T23:26:00Z,39.00,66.00
2026-02-19T23:36:00Z,36.50,66.00
2026-02-19T23:37:00Z,36.50,67.00
2026-02-19T23:52:00Z,35.00,67.00
2026-02-19T23:53:00Z,35.00,66.00
2026-02-20T00:11:00Z,35.00,65.00
2026-02-20T00:15:00Z,35.00,66.79
2026-02-20T00:16:00Z,35.00,67.00
2026-02-20T00:32:00Z,35.00,67.00
2026-02-20T00:44:00Z,35.00,67.00
2026-02-20T00:53:00Z,35.00,67.00
2026-02-20T00:59:00Z,35.00,66.00
2026-02-20T01:27:00Z,35.00,65.00
2026-02-20T02:10:00Z,35.00,66.00
2026-02-20T02:11:00Z,35.00,66.00
2026-02-20T02:15:00Z,35.00,66.00
2026-02-20T02:21:00Z,35.00,66.00
2026-02-20T03:03:00Z,35.00,63.00
2026-02-20T03:09:00Z,35.00,63.00
2026-02-20T03:10:00Z,35.00,63.00
2026-02-20T03:15:00Z,35.00,63.00
2026-02-20T03:17:00Z,39.00,63.00
2026-02-20T03:25:00Z,39.00,63.00
2026-02-20T03:28:00Z,39.00,63.00
2026-02-20T03:31:00Z,39.00,63.00
2026-02-20T03:32:00Z,39.00,63.00
2026-02-20T03:33:00Z,40.00,63.00
2026-02-20T03:38:00Z,40.00,63.00
2026-02-20T03:39:00Z,40.00,60.44
2026-02-20T03:40:00Z,40.00,63.00
2026-02-20T03:42:00Z,40.00,63.00
2026-02-20T03:45:00Z,40.00,63.00
2026-02-20T03:46:00Z,40.00,63.00
2026-02-20T03:50:00Z,40.00,64.00
2026-02-20T03:52:00Z,40.00,64.00
2026-02-20T03:53:00Z,40.00,64.00
2026-02-20T03:56:00Z,40.00,64.00
2026-02-20T03:57:00Z,40.00,64.00
2026-02-20T03:58:00Z,40.00,63.00
2026-02-20T04:01:00Z,40.00,64.00
2026-02-20T04:02:00Z,40.00,64.00
2026-02-20T04:05:00Z,40.00,64.00
2026-02-20T04:09:00Z,40.00,64.00
2026-02-20T04:10:00Z,40.00,64.00
2026-02-20T04:11:00Z,39.00,64.00
2026-02-20T04:15:00Z,39.00,64.00
2026-02-20T04:22:00Z,39.00,64.00
2026-02-20T04:25:00Z,38.00,64.00
2026-02-20T04:28:00Z,38.00,64.73
