# event_ticker=KXATPCHALLENGERMATCH-26MAY14VUKMPE
# final_score=6-0 6-3
# score_resolution=0-6 3-6
# match_winner=Giovanni Mpetshi Perricard
# fav_player=Aleksandar Vukic
# dog_player=Giovanni Mpetshi Perricard
# kalshi_date=2026-05-14
timestamp,Aleksandar Vukic,Giovanni Mpetshi Perricard
2026-05-14T02:52:00Z,35.00,66.00
2026-05-14T03:14:00Z,35.00,66.00
2026-05-14T03:21:00Z,35.00,65.00
2026-05-14T03:34:00Z,37.00,65.00
2026-05-14T03:52:00Z,37.00,64.00
2026-05-14T04:00:00Z,37.00,64.00
2026-05-14T04:11:00Z,37.91,64.00
2026-05-14T04:15:00Z,37.91,64.00
2026-05-14T04:18:00Z,37.91,65.00
2026-05-14T04:35:00Z,37.91,65.17
2026-05-14T04:59:00Z,37.91,67.00
2026-05-14T05:20:00Z,37.91,68.00
2026-05-14T05:28:00Z,37.91,68.00
2026-05-14T05:39:00Z,37.91,66.00
2026-05-14T06:00:00Z,34.00,66.00
2026-05-14T06:02:00Z,34.00,67.00
2026-05-14T06:39:00Z,34.00,67.00
2026-05-14T06:57:00Z,34.00,67.00
2026-05-14T09:05:00Z,35.00,67.00
2026-05-14T09:14:00Z,35.00,66.00
2026-05-14T09:15:00Z,35.00,66.00
2026-05-14T09:44:00Z,35.00,66.00
2026-05-14T10:01:00Z,35.00,66.00
2026-05-14T10:35:00Z,35.00,65.00
2026-05-14T10:46:00Z,35.00,66.00
2026-05-14T10:58:00Z,36.00,66.00
2026-05-14T11:09:00Z,36.00,66.00
2026-05-14T11:33:00Z,36.00,66.00
2026-05-14T11:41:00Z,36.00,66.00
2026-05-14T11:43:00Z,36.00,66.00
2026-05-14T12:20:00Z,36.00,66.00
2026-05-14T12:26:00Z,36.00,66.00
2026-05-14T12:29:00Z,36.00,66.00
2026-05-14T13:01:00Z,36.00,66.00
2026-05-14T13:02:00Z,36.00,66.00
2026-05-14T13:05:00Z,36.00,66.00
2026-05-14T13:22:00Z,36.00,64.00
2026-05-14T13:33:00Z,36.17,64.00
2026-05-14T13:37:00Z,36.17,65.00
2026-05-14T13:38:00Z,36.17,64.00
2026-05-14T13:49:00Z,36.17,65.00
2026-05-14T13:54:00Z,36.00,65.00
2026-05-14T13:55:00Z,36.00,65.00
2026-05-14T13:56:00Z,36.00,65.00
2026-05-14T13:58:00Z,36.00,65.00
2026-05-14T14:01:00Z,36.00,65.00
2026-05-14T14:08:00Z,36.00,65.00
2026-05-14T14:14:00Z,36.00,65.00
2026-05-14T14:15:00Z,36.00,65.00
2026-05-14T14:16:00Z,37.00,65.00
2026-05-14T14:17:00Z,37.00,65.00
2026-05-14T14:18:00Z,37.00,65.00
2026-05-14T14:19:00Z,37.00,65.00
2026-05-14T14:20:00Z,37.00,65.00
2026-05-14T14:21:00Z,37.62,65.00
2026-05-14T14:22:00Z,37.00,65.00
