# event_ticker=KXATPCHALLENGERMATCH-26APR06LAJBEL
# final_score=7-6(5) 6-4
# score_resolution=6-7 4-6
# match_winner=Mattia Bellucci
# fav_player=Dusan Lajovic
# dog_player=Mattia Bellucci
# kalshi_date=2026-04-06
timestamp,Dusan Lajovic,Mattia Bellucci
2026-04-06T03:37:00Z,54.00,
2026-04-06T04:42:00Z,54.00,48.27
2026-04-06T04:53:00Z,54.00,49.00
2026-04-06T05:04:00Z,54.00,48.30
2026-04-06T05:16:00Z,54.00,48.00
2026-04-06T05:34:00Z,53.14,48.00
2026-04-06T05:37:00Z,54.00,48.00
2026-04-06T05:44:00Z,54.00,48.00
2026-04-06T05:50:00Z,54.00,48.00
2026-04-06T05:58:00Z,54.00,48.00
2026-04-06T06:37:00Z,54.00,48.00
2026-04-06T06:38:00Z,54.00,49.00
2026-04-06T06:55:00Z,54.00,48.05
2026-04-06T08:05:00Z,54.00,48.19
2026-04-06T08:29:00Z,54.00,49.00
2026-04-06T08:30:00Z,52.00,49.00
2026-04-06T08:32:00Z,51.18,49.00
2026-04-06T08:33:00Z,51.00,48.00
2026-04-06T08:34:00Z,51.00,47.00
2026-04-06T08:35:00Z,51.00,49.00
2026-04-06T09:04:00Z,53.00,49.00
2026-04-06T09:07:00Z,53.00,49.00
2026-04-06T09:15:00Z,53.82,49.00
2026-04-06T09:19:00Z,53.00,49.00
2026-04-06T09:25:00Z,53.00,49.00
2026-04-06T09:37:00Z,53.00,48.00
2026-04-06T09:39:00Z,53.00,48.00
2026-04-06T09:47:00Z,53.00,48.88
2026-04-06T10:40:00Z,53.00,48.88
2026-04-06T10:44:00Z,53.00,49.00
2026-04-06T10:53:00Z,53.00,49.00
2026-04-06T11:15:00Z,53.00,49.00
2026-04-06T11:16:00Z,53.00,49.00
2026-04-06T11:17:00Z,53.86,49.00
2026-04-06T11:29:00Z,53.81,49.00
2026-04-06T11:30:00Z,53.39,49.00
2026-04-06T11:41:00Z,54.00,49.00
2026-04-06T11:42:00Z,54.00,49.00
2026-04-06T11:46:00Z,54.00,49.00
2026-04-06T11:47:00Z,54.00,49.00
2026-04-06T11:49:00Z,54.00,49.00
2026-04-06T11:50:00Z,54.00,49.24
2026-04-06T11:52:00Z,54.00,54.20
2026-04-06T11:53:00Z,49.97,51.47
2026-04-06T11:54:00Z,47.50,50.87
2026-04-06T11:55:00Z,47.50,52.00
2026-04-06T11:56:00Z,48.92,50.00
2026-04-06T11:57:00Z,48.92,48.66
2026-04-06T11:58:00Z,49.00,52.00
2026-04-06T11:59:00Z,49.01,52.64
2026-04-06T12:00:00Z,49.01,56.00
2026-04-06T12:01:00Z,49.17,50.58
2026-04-06T12:02:00Z,44.59,56.44
2026-04-06T12:03:00Z,51.21,56.00
2026-04-06T12:04:00Z,50.00,50.00
2026-04-06T12:05:00Z,56.20,46.44
2026-04-06T12:06:00Z,60.00,41.00
2026-04-06T12:07:00Z,55.53,46.29
2026-04-06T12:08:00Z,62.81,42.26
2026-04-06T12:09:00Z,63.82,40.42
2026-04-06T12:10:00Z,67.00,33.66
2026-04-06T12:11:00Z,67.00,33.72
2026-04-06T12:12:00Z,64.00,37.81
2026-04-06T12:13:00Z,66.81,34.82
2026-04-06T12:14:00Z,66.81,27.86
2026-04-06T12:15:00Z,66.81,31.00
2026-04-06T12:16:00Z,72.85,28.24
2026-04-06T12:17:00Z,73.93,27.73
2026-04-06T12:18:00Z,71.98,32.11
2026-04-06T12:19:00Z,69.03,31.97
2026-04-06T12:20:00Z,69.31,31.69
2026-04-06T12:21:00Z,68.69,33.00
2026-04-06T12:22:00Z,60.22,38.99
2026-04-06T12:23:00Z,52.42,49.77
2026-04-06T12:24:00Z,53.06,52.40
2026-04-06T12:25:00Z,47.00,56.15
2026-04-06T12:26:00Z,49.84,52.84
2026-04-06T12:27:00Z,44.68,56.43
2026-04-06T12:28:00Z,44.00,57.00
2026-04-06T12:29:00Z,41.27,57.14
2026-04-06T12:30:00Z,41.95,57.92
2026-04-06T12:31:00Z,45.66,56.00
2026-04-06T12:32:00Z,48.13,51.04
2026-04-06T12:33:00Z,54.30,44.98
2026-04-06T12:34:00Z,47.92,48.85
2026-04-06T12:35:00Z,42.68,55.70
2026-04-06T12:36:00Z,43.49,57.89
2026-04-06T12:37:00Z,43.49,56.43
2026-04-06T12:38:00Z,39.20,58.53
2026-04-06T12:39:00Z,37.17,63.84
2026-04-06T12:40:00Z,32.93,65.33
2026-04-06T12:41:00Z,39.48,68.91
2026-04-06T12:42:00Z,45.50,55.62
2026-04-06T12:43:00Z,47.17,53.00
2026-04-06T12:44:00Z,46.28,54.99
2026-04-06T12:45:00Z,38.37,59.24
2026-04-06T12:46:00Z,39.99,61.04
2026-04-06T12:47:00Z,40.18,59.38
2026-04-06T12:48:00Z,43.26,53.01
2026-04-06T12:49:00Z,45.04,54.12
2026-04-06T12:50:00Z,46.00,56.15
2026-04-06T12:51:00Z,38.53,62.59
2026-04-06T12:52:00Z,48.33,60.70
2026-04-06T12:53:00Z,46.83,53.26
2026-04-06T12:54:00Z,44.73,53.66
2026-04-06T12:55:00Z,51.00,53.20
2026-04-06T12:56:00Z,52.50,46.27
2026-04-06T12:57:00Z,53.13,48.81
2026-04-06T12:58:00Z,54.11,49.30
2026-04-06T12:59:00Z,39.14,64.85
2026-04-06T13:00:00Z,31.29,75.46
2026-04-06T13:01:00Z,24.22,75.14
2026-04-06T13:02:00Z,24.63,75.00
2026-04-06T13:03:00Z,25.00,72.74
2026-04-06T13:04:00Z,25.19,72.06
2026-04-06T13:05:00Z,26.00,74.27
2026-04-06T13:06:00Z,25.95,75.31
2026-04-06T13:07:00Z,29.53,70.08
2026-04-06T13:08:00Z,24.97,73.90
2026-04-06T13:09:00Z,27.00,73.88
2026-04-06T13:10:00Z,25.53,74.02
2026-04-06T13:11:00Z,29.00,71.78
2026-04-06T13:12:00Z,26.10,72.45
2026-04-06T13:13:00Z,25.13,76.09
2026-04-06T13:14:00Z,24.89,75.98
2026-04-06T13:15:00Z,25.03,75.20
2026-04-06T13:16:00Z,29.00,72.20
2026-04-06T13:17:00Z,29.59,70.50
2026-04-06T13:18:00Z,27.10,72.00
2026-04-06T13:19:00Z,23.77,74.34
2026-04-06T13:20:00Z,24.71,77.36
2026-04-06T13:21:00Z,24.84,74.20
2026-04-06T13:22:00Z,26.94,74.69
2026-04-06T13:23:00Z,28.96,72.88
2026-04-06T13:24:00Z,28.96,72.10
2026-04-06T13:25:00Z,32.66,70.81
2026-04-06T13:26:00Z,33.82,70.00
2026-04-06T13:27:00Z,35.77,63.64
2026-04-06T13:28:00Z,33.45,64.10
2026-04-06T13:29:00Z,33.64,66.98
2026-04-06T13:30:00Z,33.26,62.57
2026-04-06T13:31:00Z,30.02,68.74
2026-04-06T13:32:00Z,35.41,65.92
2026-04-06T13:33:00Z,34.14,67.25
2026-04-06T13:34:00Z,40.93,67.25
2026-04-06T13:35:00Z,33.72,61.82
2026-04-06T13:36:00Z,37.60,67.18
2026-04-06T13:37:00Z,39.03,67.07
2026-04-06T13:38:00Z,29.00,67.74
2026-04-06T13:39:00Z,32.84,76.34
2026-04-06T13:40:00Z,9.99,90.67
2026-04-06T13:41:00Z,8.71,93.47
2026-04-06T13:42:00Z,7.62,94.44
2026-04-06T13:43:00Z,4.92,96.28
2026-04-06T13:44:00Z,7.26,92.66
2026-04-06T13:45:00Z,3.84,96.63
2026-04-06T13:46:00Z,1.78,98.16
2026-04-06T13:47:00Z,1.78,99.00
2026-04-06T13:48:00Z,1.78,99.00
2026-04-06T13:49:00Z,1.78,99.00
2026-04-06T13:50:00Z,1.78,99.00
2026-04-06T13:51:00Z,1.78,99.00
2026-04-06T13:52:00Z,1.78,99.00
2026-04-06T13:53:00Z,1.78,99.00
