# event_ticker=KXATPCHALLENGERMATCH-26MAY19YILMAT
# final_score=6-7(5) 6-3 1-1 RET
# match_winner=Anton Matusevich
# fav_player=Anton Matusevich
# dog_player=Kerem Yilmaz
# kalshi_date=2026-05-19
timestamp,Kerem Yilmaz,Anton Matusevich
2026-05-18T20:44:00Z,18.00,
2026-05-18T23:25:00Z,10.00,
2026-05-18T23:29:00Z,9.00,
2026-05-18T23:32:00Z,10.00,
2026-05-18T23:55:00Z,10.00,92.00
2026-05-18T23:58:00Z,10.00,91.00
2026-05-19T02:44:00Z,9.00,91.00
2026-05-19T03:00:00Z,9.00,91.00
2026-05-19T03:04:00Z,9.00,91.00
2026-05-19T04:10:00Z,9.25,91.00
2026-05-19T04:34:00Z,9.25,92.00
2026-05-19T04:46:00Z,9.25,92.00
2026-05-19T04:52:00Z,9.00,92.00
2026-05-19T05:41:00Z,9.00,93.00
2026-05-19T06:04:00Z,9.00,93.00
2026-05-19T06:07:00Z,8.00,93.00
2026-05-19T06:19:00Z,9.00,93.00
2026-05-19T06:29:00Z,9.00,93.83
2026-05-19T06:34:00Z,9.00,94.09
2026-05-19T06:43:00Z,8.59,94.09
2026-05-19T07:02:00Z,8.59,92.00
2026-05-19T07:07:00Z,8.00,92.00
2026-05-19T07:28:00Z,8.00,92.00
2026-05-19T08:04:00Z,7.00,94.70
2026-05-19T08:07:00Z,9.00,94.52
2026-05-19T08:08:00Z,8.42,93.00
2026-05-19T08:09:00Z,6.00,93.00
2026-05-19T08:10:00Z,5.00,93.00
2026-05-19T08:11:00Z,4.20,93.00
2026-05-19T08:12:00Z,4.00,96.28
2026-05-19T08:13:00Z,5.00,96.00
2026-05-19T08:14:00Z,3.00,96.00
2026-05-19T08:15:00Z,4.00,96.00
2026-05-19T08:16:00Z,4.00,96.00
2026-05-19T08:17:00Z,4.00,96.00
2026-05-19T08:18:00Z,3.89,97.00
2026-05-19T08:19:00Z,4.00,95.00
2026-05-19T08:21:00Z,4.00,95.00
2026-05-19T08:22:00Z,4.00,96.00
2026-05-19T08:23:00Z,4.40,96.00
2026-05-19T08:24:00Z,5.00,96.00
2026-05-19T08:25:00Z,6.28,94.00
2026-05-19T08:26:00Z,7.19,93.00
2026-05-19T08:27:00Z,10.62,89.00
2026-05-19T08:28:00Z,12.28,87.01
2026-05-19T08:29:00Z,14.99,87.01
2026-05-19T08:30:00Z,15.07,85.00
2026-05-19T08:31:00Z,16.95,84.97
2026-05-19T08:32:00Z,15.41,86.00
2026-05-19T08:33:00Z,13.49,85.00
2026-05-19T08:34:00Z,14.07,87.00
2026-05-19T08:35:00Z,12.50,89.00
2026-05-19T08:36:00Z,7.00,91.45
2026-05-19T08:37:00Z,11.87,91.45
2026-05-19T08:38:00Z,11.91,90.99
2026-05-19T08:39:00Z,13.00,87.00
2026-05-19T08:40:00Z,16.54,85.00
2026-05-19T08:41:00Z,17.06,85.00
2026-05-19T08:42:00Z,19.68,79.73
2026-05-19T08:43:00Z,15.73,84.00
2026-05-19T08:44:00Z,23.17,81.00
2026-05-19T08:45:00Z,25.75,78.44
2026-05-19T08:46:00Z,19.60,81.39
2026-05-19T08:47:00Z,17.12,81.39
2026-05-19T08:48:00Z,14.34,87.69
2026-05-19T08:49:00Z,12.32,87.90
2026-05-19T08:50:00Z,8.57,92.83
2026-05-19T08:51:00Z,6.00,94.00
2026-05-19T08:52:00Z,6.11,95.84
2026-05-19T08:53:00Z,7.71,94.00
2026-05-19T08:54:00Z,11.76,90.07
2026-05-19T08:55:00Z,15.61,84.04
2026-05-19T08:56:00Z,18.84,83.00
2026-05-19T08:57:00Z,23.72,78.00
2026-05-19T08:58:00Z,27.64,72.30
2026-05-19T08:59:00Z,27.87,73.22
2026-05-19T09:00:00Z,30.68,73.25
2026-05-19T09:01:00Z,32.79,69.21
2026-05-19T09:02:00Z,37.13,57.31
2026-05-19T09:03:00Z,40.39,61.98
2026-05-19T09:04:00Z,43.82,59.61
2026-05-19T09:05:00Z,46.74,58.19
2026-05-19T09:06:00Z,43.43,59.23
2026-05-19T09:07:00Z,35.86,64.84
2026-05-19T09:08:00Z,35.46,68.00
2026-05-19T09:09:00Z,33.42,67.15
2026-05-19T09:10:00Z,30.00,74.00
2026-05-19T09:11:00Z,29.56,70.01
2026-05-19T09:12:00Z,31.47,69.14
2026-05-19T09:13:00Z,37.51,69.14
2026-05-19T09:14:00Z,40.66,61.14
2026-05-19T09:15:00Z,38.16,61.00
2026-05-19T09:16:00Z,40.98,60.10
2026-05-19T09:17:00Z,36.19,62.53
2026-05-19T09:18:00Z,34.00,65.61
2026-05-19T09:19:00Z,30.92,65.61
2026-05-19T09:20:00Z,36.59,60.81
2026-05-19T09:21:00Z,40.68,59.87
2026-05-19T09:22:00Z,46.41,53.46
2026-05-19T09:23:00Z,36.00,64.73
2026-05-19T09:24:00Z,35.35,64.73
2026-05-19T09:25:00Z,37.91,62.30
2026-05-19T09:26:00Z,30.34,66.21
2026-05-19T09:27:00Z,33.84,63.00
2026-05-19T09:28:00Z,34.15,64.72
2026-05-19T09:29:00Z,28.49,72.30
2026-05-19T09:30:00Z,32.84,65.00
2026-05-19T09:31:00Z,37.84,60.00
2026-05-19T09:32:00Z,50.78,52.96
2026-05-19T09:33:00Z,57.28,36.95
2026-05-19T09:34:00Z,53.39,47.52
2026-05-19T09:35:00Z,40.40,58.90
2026-05-19T09:36:00Z,36.02,65.00
2026-05-19T09:37:00Z,35.26,65.00
2026-05-19T09:38:00Z,29.17,70.15
2026-05-19T09:39:00Z,28.78,69.29
2026-05-19T09:40:00Z,29.35,70.90
2026-05-19T09:41:00Z,28.56,71.07
2026-05-19T09:42:00Z,26.17,78.24
2026-05-19T09:43:00Z,20.99,80.73
2026-05-19T09:44:00Z,20.00,77.70
2026-05-19T09:45:00Z,18.93,81.15
2026-05-19T09:46:00Z,17.00,83.19
2026-05-19T09:47:00Z,17.87,82.49
2026-05-19T09:48:00Z,18.00,83.00
2026-05-19T09:49:00Z,18.14,84.00
2026-05-19T09:50:00Z,21.86,83.00
2026-05-19T09:51:00Z,24.00,81.00
2026-05-19T09:52:00Z,24.08,80.94
2026-05-19T09:53:00Z,23.75,80.94
2026-05-19T09:54:00Z,27.76,70.89
2026-05-19T09:55:00Z,27.76,72.00
2026-05-19T09:56:00Z,33.50,67.41
2026-05-19T09:57:00Z,38.43,61.44
2026-05-19T09:58:00Z,36.14,67.87
2026-05-19T09:59:00Z,27.02,74.99
2026-05-19T10:00:00Z,23.30,73.35
2026-05-19T10:01:00Z,21.47,79.67
2026-05-19T10:02:00Z,10.45,88.29
2026-05-19T10:03:00Z,9.00,91.96
2026-05-19T10:04:00Z,13.05,91.87
2026-05-19T10:05:00Z,13.90,97.13
2026-05-19T10:06:00Z,9.63,97.13
2026-05-19T10:07:00Z,15.80,97.13
2026-05-19T10:08:00Z,4.97,91.60
2026-05-19T10:09:00Z,13.91,96.44
2026-05-19T10:10:00Z,1.01,98.71
2026-05-19T10:11:00Z,1.00,99.00
2026-05-19T10:14:00Z,1.00,99.00
