# event_ticker=KXATPMATCH-25AUG01NAKSHE
# final_score=6-7(8) 6-2 7-6(5)
# score_resolution=6-7 6-2 7-6
# match_winner=Ben Shelton
# fav_player=Ben Shelton
# dog_player=Brandon Nakashima
# kalshi_date=2025-08-01
timestamp,Ben Shelton,Brandon Nakashima
2025-08-01T14:36:00Z,,39.00
2025-08-01T14:51:00Z,75.00,39.00
2025-08-01T15:12:00Z,73.00,34.00
2025-08-01T15:32:00Z,73.00,31.00
2025-08-01T16:04:00Z,72.00,31.00
2025-08-01T16:12:00Z,71.00,31.00
2025-08-01T16:19:00Z,70.00,31.00
2025-08-01T16:36:00Z,70.00,31.00
2025-08-01T16:47:00Z,70.00,31.00
2025-08-01T16:52:00Z,70.00,31.00
2025-08-01T17:27:00Z,70.00,31.00
2025-08-01T17:51:00Z,70.00,31.00
2025-08-01T17:54:00Z,70.00,32.00
2025-08-01T18:06:00Z,70.00,32.00
2025-08-01T18:09:00Z,70.00,32.00
2025-08-01T19:24:00Z,70.00,32.00
2025-08-01T19:27:00Z,70.00,32.00
2025-08-01T19:37:00Z,70.00,31.00
2025-08-01T19:38:00Z,71.00,31.00
2025-08-01T20:12:00Z,71.00,31.00
2025-08-01T20:20:00Z,71.06,31.00
2025-08-01T20:21:00Z,71.06,30.00
2025-08-01T20:28:00Z,70.00,30.00
2025-08-01T20:30:00Z,72.00,30.00
2025-08-01T20:33:00Z,72.00,30.00
2025-08-01T20:39:00Z,72.00,30.00
2025-08-01T20:50:00Z,72.00,30.00
2025-08-01T20:58:00Z,71.00,30.00
2025-08-01T21:06:00Z,71.00,30.00
2025-08-01T21:15:00Z,71.00,29.00
2025-08-01T21:17:00Z,72.00,29.00
2025-08-01T21:25:00Z,72.00,29.00
2025-08-01T21:30:00Z,72.00,29.00
2025-08-01T21:32:00Z,72.00,29.00
2025-08-01T21:33:00Z,72.00,29.00
2025-08-01T21:42:00Z,72.00,29.00
2025-08-01T21:45:00Z,72.00,29.00
2025-08-01T21:46:00Z,72.00,29.00
2025-08-01T21:49:00Z,72.00,29.00
2025-08-01T21:51:00Z,72.00,29.00
2025-08-01T21:52:00Z,72.00,29.00
2025-08-01T21:58:00Z,72.00,29.00
2025-08-01T22:12:00Z,72.00,29.00
2025-08-01T22:25:00Z,72.00,29.00
2025-08-01T22:28:00Z,72.00,29.00
2025-08-01T22:30:00Z,72.00,29.00
2025-08-01T22:31:00Z,72.00,29.00
2025-08-01T22:33:00Z,72.00,29.00
2025-08-01T22:35:00Z,72.00,29.00
2025-08-01T22:44:00Z,72.00,29.00
2025-08-01T22:49:00Z,73.00,29.00
2025-08-01T22:51:00Z,72.00,29.00
2025-08-01T22:53:00Z,72.00,28.00
2025-08-01T23:02:00Z,71.00,28.00
2025-08-01T23:04:00Z,73.00,28.00
2025-08-01T23:05:00Z,73.00,28.00
2025-08-01T23:21:00Z,72.00,28.00
2025-08-01T23:23:00Z,72.00,28.00
2025-08-01T23:24:00Z,72.00,28.00
2025-08-01T23:26:00Z,72.00,28.00
2025-08-01T23:30:00Z,72.00,28.00
2025-08-01T23:33:00Z,72.00,28.00
2025-08-01T23:37:00Z,72.00,28.00
2025-08-01T23:40:00Z,72.92,28.00
2025-08-01T23:44:00Z,73.00,29.00
2025-08-01T23:48:00Z,73.00,29.00
2025-08-01T23:50:00Z,72.00,29.00
2025-08-01T23:51:00Z,72.95,29.00
2025-08-01T23:52:00Z,73.00,29.00
2025-08-01T23:53:00Z,73.00,28.00
2025-08-02T00:03:00Z,72.00,28.00
2025-08-02T00:09:00Z,72.60,28.00
2025-08-02T00:11:00Z,72.60,29.00
2025-08-02T00:12:00Z,72.00,29.00
2025-08-02T00:15:00Z,72.00,29.00
2025-08-02T00:22:00Z,73.38,29.00
2025-08-02T00:23:00Z,73.38,28.00
2025-08-02T00:27:00Z,72.00,28.00
2025-08-02T00:32:00Z,77.00,28.00
2025-08-02T00:33:00Z,76.28,28.00
2025-08-02T00:34:00Z,77.31,28.00
2025-08-02T00:36:00Z,80.27,28.00
2025-08-02T00:37:00Z,80.27,27.00
2025-08-02T00:39:00Z,80.72,27.00
2025-08-02T00:40:00Z,81.74,27.00
2025-08-02T00:41:00Z,81.74,28.00
2025-08-02T00:42:00Z,79.00,28.00
2025-08-02T00:43:00Z,79.00,28.00
2025-08-02T00:44:00Z,78.09,28.00
2025-08-02T00:45:00Z,74.13,29.04
2025-08-02T00:46:00Z,79.56,29.04
2025-08-02T00:47:00Z,86.00,29.04
2025-08-02T00:48:00Z,83.97,30.49
2025-08-02T00:49:00Z,80.00,25.25
2025-08-02T00:50:00Z,75.00,25.25
2025-08-02T00:51:00Z,75.00,30.00
2025-08-02T00:52:00Z,74.66,31.00
2025-08-02T00:53:00Z,73.83,31.00
2025-08-02T00:54:00Z,73.96,31.00
2025-08-02T00:55:00Z,73.95,31.25
2025-08-02T00:56:00Z,74.08,32.00
