# event_ticker=KXATPCHALLENGERMATCH-26FEB24TOPHUE
# final_score=2-6 6-4 RET
# match_winner=Marc-Andrea Huesler
# fav_player=Marko ToPo
# dog_player=Marc-Andrea Huesler
# kalshi_date=2026-02-24
timestamp,Marko ToPo,Marc-Andrea Huesler
2026-02-24T08:17:00Z,47.00,
2026-02-24T09:26:00Z,50.00,53.00
2026-02-24T10:33:00Z,50.00,55.00
2026-02-24T11:07:00Z,50.00,55.00
2026-02-24T12:04:00Z,47.00,55.00
2026-02-24T12:36:00Z,47.00,57.00
2026-02-24T13:12:00Z,47.00,57.00
2026-02-24T13:38:00Z,46.00,57.00
2026-02-24T15:08:00Z,46.00,57.00
2026-02-24T15:40:00Z,46.00,57.00
2026-02-24T16:41:00Z,46.00,54.00
2026-02-24T16:53:00Z,46.00,57.00
2026-02-24T17:15:00Z,46.00,57.00
2026-02-24T17:28:00Z,46.00,57.00
2026-02-24T18:02:00Z,45.00,57.00
2026-02-24T18:07:00Z,45.00,57.00
2026-02-24T18:17:00Z,45.00,57.00
2026-02-24T18:18:00Z,45.00,57.00
2026-02-24T18:26:00Z,45.00,57.00
2026-02-24T18:30:00Z,45.00,57.00
2026-02-24T18:38:00Z,45.00,58.00
2026-02-24T18:40:00Z,45.00,58.00
2026-02-24T18:44:00Z,44.00,58.00
2026-02-24T18:46:00Z,44.40,59.00
2026-02-24T18:47:00Z,44.40,59.00
2026-02-24T18:48:00Z,44.40,59.00
2026-02-24T18:49:00Z,44.40,61.19
2026-02-24T18:50:00Z,44.40,63.00
2026-02-24T18:51:00Z,39.42,63.00
2026-02-24T18:52:00Z,36.74,63.00
2026-02-24T18:53:00Z,40.98,61.00
2026-02-24T18:54:00Z,44.39,61.00
2026-02-24T18:55:00Z,44.39,56.00
2026-02-24T18:56:00Z,44.57,55.10
2026-02-24T18:57:00Z,54.83,41.55
2026-02-24T18:58:00Z,60.16,39.78
2026-02-24T18:59:00Z,60.00,43.00
2026-02-24T19:00:00Z,62.23,43.00
2026-02-24T19:01:00Z,65.00,43.00
2026-02-24T19:02:00Z,65.00,37.00
2026-02-24T19:03:00Z,66.62,34.45
2026-02-24T19:04:00Z,65.00,32.12
2026-02-24T19:05:00Z,67.00,34.62
2026-02-24T19:06:00Z,66.00,35.94
2026-02-24T19:07:00Z,65.93,34.21
2026-02-24T19:08:00Z,68.00,34.99
2026-02-24T19:09:00Z,66.00,33.63
2026-02-24T19:10:00Z,68.00,32.25
2026-02-24T19:11:00Z,70.66,31.05
2026-02-24T19:12:00Z,73.00,28.97
2026-02-24T19:13:00Z,73.00,27.02
2026-02-24T19:14:00Z,75.39,23.10
2026-02-24T19:15:00Z,77.00,23.60
2026-02-24T19:16:00Z,78.00,21.46
2026-02-24T19:17:00Z,78.20,21.00
2026-02-24T19:18:00Z,79.98,21.00
2026-02-24T19:19:00Z,78.00,22.25
2026-02-24T19:20:00Z,78.00,23.07
2026-02-24T19:21:00Z,76.18,25.00
2026-02-24T19:22:00Z,77.94,23.97
2026-02-24T19:23:00Z,78.00,23.00
2026-02-24T19:24:00Z,75.11,26.69
2026-02-24T19:25:00Z,74.00,26.14
2026-02-24T19:26:00Z,77.00,24.00
2026-02-24T19:27:00Z,75.01,26.93
2026-02-24T19:28:00Z,74.16,24.35
2026-02-24T19:29:00Z,72.92,28.00
2026-02-24T19:30:00Z,70.00,32.00
2026-02-24T19:31:00Z,64.13,35.82
2026-02-24T19:32:00Z,69.03,32.68
2026-02-24T19:33:00Z,73.88,28.96
2026-02-24T19:34:00Z,72.50,28.00
2026-02-24T19:35:00Z,70.00,30.00
2026-02-24T19:36:00Z,70.00,29.01
2026-02-24T19:37:00Z,73.57,27.00
2026-02-24T19:38:00Z,74.76,27.00
2026-02-24T19:39:00Z,74.24,28.02
2026-02-24T19:40:00Z,71.94,29.92
2026-02-24T19:41:00Z,71.00,30.00
2026-02-24T19:42:00Z,72.30,29.76
2026-02-24T19:43:00Z,72.00,30.13
2026-02-24T19:44:00Z,69.57,32.68
2026-02-24T19:45:00Z,69.75,32.75
2026-02-24T19:46:00Z,71.64,29.90
2026-02-24T19:47:00Z,78.66,23.44
2026-02-24T19:48:00Z,87.98,10.50
2026-02-24T19:49:00Z,87.00,16.34
2026-02-24T19:50:00Z,81.02,24.22
2026-02-24T19:51:00Z,82.76,19.25
2026-02-24T19:52:00Z,74.06,28.85
2026-02-24T19:53:00Z,69.04,30.87
2026-02-24T19:54:00Z,67.32,35.60
2026-02-24T19:55:00Z,57.50,46.72
2026-02-24T19:56:00Z,39.36,58.34
2026-02-24T19:57:00Z,38.99,59.32
2026-02-24T19:58:00Z,14.64,77.73
2026-02-24T19:59:00Z,9.53,84.76
2026-02-24T20:00:00Z,6.26,93.69
2026-02-24T20:01:00Z,3.66,95.08
2026-02-24T20:02:00Z,4.15,93.77
