# event_ticker=KXATPMATCH-26APR09ALCETC
# final_score=6-1 4-6 6-3
# match_winner=Carlos Alcaraz
# fav_player=Carlos Alcaraz
# dog_player=Tomas Martin Etcheverry
# kalshi_date=2026-04-09
timestamp,Carlos Alcaraz,Tomas Martin Etcheverry
2026-04-09T01:51:00Z,97.00,
2026-04-09T01:53:00Z,97.00,5.00
2026-04-09T01:55:00Z,97.00,5.00
2026-04-09T01:56:00Z,97.00,5.00
2026-04-09T01:57:00Z,97.00,5.00
2026-04-09T02:00:00Z,97.00,5.00
2026-04-09T02:02:00Z,97.00,5.00
2026-04-09T02:03:00Z,97.00,5.00
2026-04-09T02:04:00Z,96.00,5.00
2026-04-09T02:06:00Z,97.00,5.00
2026-04-09T02:09:00Z,97.00,5.00
2026-04-09T02:10:00Z,97.00,5.00
2026-04-09T02:11:00Z,97.00,5.00
2026-04-09T02:12:00Z,97.00,5.00
2026-04-09T02:13:00Z,97.00,5.00
2026-04-09T02:15:00Z,97.00,5.00
2026-04-09T02:17:00Z,97.00,5.00
2026-04-09T02:18:00Z,97.00,5.00
2026-04-09T02:22:00Z,97.00,5.00
2026-04-09T02:25:00Z,97.00,5.00
2026-04-09T02:28:00Z,97.00,5.00
2026-04-09T02:29:00Z,97.00,5.00
2026-04-09T02:34:00Z,97.00,5.00
2026-04-09T02:36:00Z,97.00,5.00
2026-04-09T02:41:00Z,97.00,5.00
2026-04-09T02:44:00Z,97.00,5.00
2026-04-09T02:53:00Z,97.00,5.00
2026-04-09T03:00:00Z,96.00,5.00
2026-04-09T03:02:00Z,96.00,5.00
2026-04-09T03:05:00Z,97.00,5.00
2026-04-09T03:06:00Z,97.00,5.00
2026-04-09T03:07:00Z,97.00,5.00
2026-04-09T03:14:00Z,97.00,5.00
2026-04-09T03:16:00Z,97.00,5.00
2026-04-09T03:19:00Z,97.00,5.00
2026-04-09T03:21:00Z,97.00,5.00
2026-04-09T03:22:00Z,97.00,5.00
2026-04-09T03:26:00Z,97.00,4.18
2026-04-09T03:27:00Z,97.00,4.00
2026-04-09T03:33:00Z,97.00,4.00
2026-04-09T03:34:00Z,97.00,4.00
2026-04-09T03:35:00Z,97.00,4.00
2026-04-09T03:41:00Z,97.00,4.00
2026-04-09T03:44:00Z,97.00,4.00
2026-04-09T03:46:00Z,97.00,4.00
2026-04-09T03:47:00Z,97.00,4.00
2026-04-09T03:52:00Z,97.00,4.00
2026-04-09T03:54:00Z,97.00,4.00
2026-04-09T03:56:00Z,97.00,4.00
2026-04-09T03:57:00Z,97.00,4.00
2026-04-09T03:58:00Z,97.00,4.00
2026-04-09T03:59:00Z,97.00,4.00
2026-04-09T04:00:00Z,97.00,4.00
2026-04-09T04:01:00Z,97.00,4.00
2026-04-09T04:03:00Z,97.00,4.00
2026-04-09T04:08:00Z,96.93,4.00
2026-04-09T04:10:00Z,96.93,4.00
2026-04-09T04:12:00Z,97.00,4.00
2026-04-09T04:14:00Z,97.00,4.00
2026-04-09T04:16:00Z,97.00,4.00
2026-04-09T04:17:00Z,97.00,4.00
2026-04-09T04:19:00Z,97.00,4.00
2026-04-09T04:20:00Z,97.00,4.00
2026-04-09T04:21:00Z,96.93,4.83
2026-04-09T04:22:00Z,96.00,4.83
2026-04-09T04:24:00Z,96.00,5.00
2026-04-09T04:25:00Z,96.00,5.00
2026-04-09T04:26:00Z,97.00,5.00
