# event_ticker=KXATPCHALLENGERMATCH-26APR28SANFER
# final_score=6-2 6-7(5) 7-6(5)
# score_resolution=6-2 6-7 7-6
# match_winner=Frederico Ferreira Silva
# fav_player=Frederico Ferreira Silva
# dog_player=Carlos Sanchez Jover
# kalshi_date=2026-04-28
timestamp,Carlos Sanchez Jover,Frederico Ferreira Silva
2026-04-28T05:00:00Z,,59.00
2026-04-28T08:01:00Z,,59.00
2026-04-28T08:26:00Z,39.50,59.00
2026-04-28T08:35:00Z,39.15,59.00
2026-04-28T08:49:00Z,39.42,60.00
2026-04-28T08:57:00Z,42.00,60.00
2026-04-28T13:56:00Z,39.00,60.00
2026-04-28T14:07:00Z,39.00,63.00
2026-04-28T14:16:00Z,39.00,64.00
2026-04-28T14:24:00Z,39.00,64.00
2026-04-28T14:25:00Z,39.00,64.00
2026-04-28T14:30:00Z,36.30,66.00
2026-04-28T14:31:00Z,33.00,66.22
2026-04-28T14:32:00Z,33.00,66.86
2026-04-28T14:33:00Z,36.24,63.85
2026-04-28T14:34:00Z,36.24,69.00
2026-04-28T14:35:00Z,28.26,73.00
2026-04-28T14:36:00Z,28.26,73.00
2026-04-28T14:37:00Z,28.00,72.26
2026-04-28T14:38:00Z,30.00,72.26
2026-04-28T14:40:00Z,30.00,66.03
2026-04-28T14:41:00Z,39.20,61.90
2026-04-28T14:42:00Z,44.46,57.00
2026-04-28T14:43:00Z,46.00,57.00
2026-04-28T14:44:00Z,46.00,54.00
2026-04-28T14:45:00Z,47.00,54.00
2026-04-28T14:46:00Z,51.63,53.73
2026-04-28T14:47:00Z,54.98,45.56
2026-04-28T14:48:00Z,51.01,48.00
2026-04-28T14:49:00Z,52.00,53.64
2026-04-28T14:50:00Z,52.00,48.43
2026-04-28T14:51:00Z,43.13,54.00
2026-04-28T14:52:00Z,41.21,59.99
2026-04-28T14:53:00Z,33.42,66.55
2026-04-28T14:54:00Z,33.42,72.11
2026-04-28T14:55:00Z,33.42,74.00
2026-04-28T14:57:00Z,24.00,74.00
2026-04-28T14:58:00Z,23.70,77.00
