# event_ticker=KXATPCHALLENGERMATCH-26APR07DUCMMO
# final_score=6-4 6-3
# match_winner=James Duckworth
# fav_player=James Duckworth
# dog_player=Michael Mmoh
# kalshi_date=2026-04-07
timestamp,James Duckworth,Michael Mmoh
2026-04-07T11:33:00Z,54.00,
2026-04-07T11:41:00Z,54.00,
2026-04-07T13:28:00Z,55.00,
2026-04-07T13:40:00Z,55.00,48.00
2026-04-07T14:47:00Z,54.00,48.00
2026-04-07T14:51:00Z,54.00,47.83
2026-04-07T15:11:00Z,54.00,47.30
2026-04-07T15:16:00Z,54.89,47.30
2026-04-07T16:02:00Z,54.00,47.30
2026-04-07T16:03:00Z,53.00,47.30
2026-04-07T16:28:00Z,52.95,47.30
2026-04-07T16:41:00Z,53.00,47.30
2026-04-07T16:50:00Z,53.00,47.00
2026-04-07T16:55:00Z,53.00,47.00
2026-04-07T17:00:00Z,53.00,47.00
2026-04-07T17:06:00Z,53.00,47.00
2026-04-07T17:09:00Z,53.00,47.00
2026-04-07T17:18:00Z,54.00,47.00
2026-04-07T17:19:00Z,53.07,47.00
2026-04-07T17:20:00Z,53.07,48.45
2026-04-07T17:29:00Z,53.07,49.00
2026-04-07T17:40:00Z,54.00,49.00
2026-04-07T17:43:00Z,54.00,49.00
2026-04-07T17:54:00Z,53.00,49.00
2026-04-07T17:55:00Z,53.00,49.00
2026-04-07T18:13:00Z,53.00,49.00
2026-04-07T18:17:00Z,53.00,49.00
2026-04-07T18:21:00Z,53.00,49.00
2026-04-07T18:34:00Z,53.00,49.00
2026-04-07T18:35:00Z,53.00,49.00
2026-04-07T18:39:00Z,53.00,49.00
2026-04-07T18:40:00Z,53.00,49.00
2026-04-07T18:41:00Z,53.00,49.00
2026-04-07T18:42:00Z,53.00,49.00
2026-04-07T18:43:00Z,53.74,49.00
2026-04-07T18:44:00Z,53.00,49.00
2026-04-07T18:45:00Z,54.00,49.00
2026-04-07T18:46:00Z,54.00,48.93
2026-04-07T18:49:00Z,54.00,49.00
2026-04-07T18:51:00Z,53.00,49.00
2026-04-07T18:52:00Z,53.00,49.00
2026-04-07T18:53:00Z,53.00,49.00
2026-04-07T18:54:00Z,53.00,49.00
