# event_ticker=KXATPCHALLENGERMATCH-26FEB22ZAHROD
# final_score=6-3 7-5
# match_winner=Jurij Rodionov
# fav_player=Jurij Rodionov
# dog_player=Patrick Zahraj
# kalshi_date=2026-02-22
timestamp,Jurij Rodionov,Patrick Zahraj
2026-02-23T23:05:00Z,,25.00
2026-02-24T00:32:00Z,,21.00
2026-02-24T00:33:00Z,79.00,21.00
2026-02-24T02:16:00Z,79.00,22.00
2026-02-24T04:27:00Z,78.00,22.00
2026-02-24T04:28:00Z,79.00,22.00
2026-02-24T04:55:00Z,79.00,25.00
2026-02-24T05:52:00Z,79.00,25.00
2026-02-24T06:08:00Z,79.00,25.00
2026-02-24T06:18:00Z,79.00,25.00
2026-02-24T06:29:00Z,79.00,25.00
2026-02-24T06:37:00Z,79.00,22.00
2026-02-24T06:38:00Z,79.00,22.00
2026-02-24T07:09:00Z,79.00,22.00
2026-02-24T07:22:00Z,78.00,22.00
2026-02-24T07:53:00Z,78.00,25.24
2026-02-24T08:20:00Z,78.00,26.00
2026-02-24T08:58:00Z,78.00,26.00
2026-02-24T09:20:00Z,78.00,26.00
2026-02-24T09:53:00Z,77.00,26.00
2026-02-24T10:00:00Z,77.55,26.00
2026-02-24T10:03:00Z,77.55,25.48
2026-02-24T10:04:00Z,77.55,26.00
2026-02-24T10:05:00Z,77.55,26.00
2026-02-24T10:06:00Z,77.19,26.00
2026-02-24T10:07:00Z,78.00,26.00
2026-02-24T10:08:00Z,78.00,26.01
2026-02-24T10:09:00Z,72.84,27.00
2026-02-24T10:10:00Z,72.84,31.44
2026-02-24T10:11:00Z,76.77,24.38
2026-02-24T10:12:00Z,79.00,22.20
2026-02-24T10:13:00Z,79.00,17.43
2026-02-24T10:14:00Z,83.97,19.22
2026-02-24T10:15:00Z,79.50,24.00
2026-02-24T10:16:00Z,84.76,18.17
2026-02-24T10:17:00Z,81.00,24.56
2026-02-24T10:18:00Z,81.00,21.76
2026-02-24T10:19:00Z,77.00,25.04
2026-02-24T10:20:00Z,73.00,25.19
2026-02-24T10:21:00Z,80.00,27.27
2026-02-24T10:22:00Z,75.00,22.00
2026-02-24T10:23:00Z,75.00,22.00
2026-02-24T10:24:00Z,75.00,20.00
2026-02-24T10:25:00Z,83.00,19.00
2026-02-24T10:26:00Z,82.57,17.08
2026-02-24T10:27:00Z,83.00,17.08
2026-02-24T10:28:00Z,85.00,16.19
2026-02-24T10:29:00Z,88.00,12.63
2026-02-24T10:30:00Z,88.00,16.00
2026-02-24T10:31:00Z,85.00,16.00
2026-02-24T10:32:00Z,84.00,16.00
2026-02-24T10:33:00Z,86.00,14.00
2026-02-24T10:34:00Z,82.64,18.00
2026-02-24T10:35:00Z,82.64,24.00
2026-02-24T10:36:00Z,77.95,23.16
2026-02-24T10:37:00Z,82.00,23.16
2026-02-24T10:38:00Z,82.00,20.00
2026-02-24T10:39:00Z,82.00,28.01
2026-02-24T10:40:00Z,79.00,20.00
2026-02-24T10:41:00Z,79.00,29.00
2026-02-24T10:42:00Z,79.00,15.44
2026-02-24T10:43:00Z,87.47,11.03
2026-02-24T10:44:00Z,90.14,11.03
2026-02-24T10:46:00Z,90.14,9.00
2026-02-24T10:48:00Z,92.00,10.93
2026-02-24T10:49:00Z,88.00,10.44
2026-02-24T10:50:00Z,88.00,8.83
2026-02-24T10:51:00Z,88.00,9.00
2026-02-24T10:52:00Z,91.00,9.00
2026-02-24T10:53:00Z,92.00,8.88
2026-02-24T10:54:00Z,92.00,9.00
2026-02-24T10:55:00Z,92.00,9.78
2026-02-24T10:56:00Z,89.00,10.34
2026-02-24T10:57:00Z,89.00,10.80
2026-02-24T10:58:00Z,89.00,11.31
2026-02-24T10:59:00Z,90.00,10.11
2026-02-24T11:00:00Z,90.00,10.00
2026-02-24T11:01:00Z,90.00,12.13
2026-02-24T11:02:00Z,90.26,12.00
2026-02-24T11:03:00Z,90.26,12.75
2026-02-24T11:04:00Z,84.48,25.49
2026-02-24T11:05:00Z,78.66,20.26
2026-02-24T11:06:00Z,79.00,20.04
2026-02-24T11:07:00Z,76.00,24.23
2026-02-24T11:08:00Z,76.00,26.00
2026-02-24T11:09:00Z,75.00,25.00
2026-02-24T11:10:00Z,77.00,22.23
2026-02-24T11:11:00Z,75.94,22.95
2026-02-24T11:12:00Z,77.00,24.00
2026-02-24T11:13:00Z,74.00,25.52
2026-02-24T11:14:00Z,75.57,24.38
2026-02-24T11:15:00Z,81.00,18.48
2026-02-24T11:16:00Z,80.00,21.99
2026-02-24T11:17:00Z,86.07,14.35
2026-02-24T11:18:00Z,86.07,13.97
2026-02-24T11:19:00Z,86.07,12.00
2026-02-24T11:20:00Z,89.00,12.96
2026-02-24T11:21:00Z,89.00,11.93
2026-02-24T11:22:00Z,90.06,7.64
2026-02-24T11:23:00Z,94.00,5.28
2026-02-24T11:24:00Z,94.00,8.88
2026-02-24T11:25:00Z,94.00,11.56
2026-02-24T11:26:00Z,87.00,12.48
2026-02-24T11:27:00Z,91.50,12.24
2026-02-24T11:28:00Z,91.00,11.08
2026-02-24T11:29:00Z,91.44,9.72
2026-02-24T11:30:00Z,92.28,7.98
2026-02-24T11:31:00Z,89.00,12.42
2026-02-24T11:32:00Z,90.00,10.20
2026-02-24T11:33:00Z,90.00,13.74
2026-02-24T11:34:00Z,86.00,14.78
2026-02-24T11:35:00Z,87.36,12.99
2026-02-24T11:36:00Z,87.36,11.02
2026-02-24T11:37:00Z,91.13,9.61
2026-02-24T11:38:00Z,90.00,11.08
2026-02-24T11:39:00Z,93.00,7.75
2026-02-24T11:40:00Z,89.70,9.58
2026-02-24T11:41:00Z,92.00,9.26
2026-02-24T11:42:00Z,93.67,6.52
2026-02-24T11:43:00Z,90.17,11.14
2026-02-24T11:44:00Z,93.94,3.26
2026-02-24T11:45:00Z,98.00,1.55
2026-02-24T11:46:00Z,98.78,1.75
