# event_ticker=KXATPCHALLENGERMATCH-26MAY26VASTAB
# final_score=6-1 7-6(4)
# score_resolution=6-1 7-6
# match_winner=Jacopo Vasami
# fav_player=Jacopo Vasami
# dog_player=Giorgio Tabacco
# kalshi_date=2026-05-26
timestamp,Jacopo Vasami,Giorgio Tabacco
2026-05-26T00:45:00Z,,23.00
2026-05-26T00:51:00Z,78.00,23.00
2026-05-26T01:26:00Z,77.00,23.00
2026-05-26T02:18:00Z,76.00,23.00
2026-05-26T02:33:00Z,76.00,26.00
2026-05-26T05:08:00Z,76.00,24.00
2026-05-26T07:53:00Z,77.00,24.00
2026-05-26T10:52:00Z,77.00,24.00
2026-05-26T11:12:00Z,77.00,24.00
2026-05-26T11:54:00Z,77.00,24.00
2026-05-26T12:26:00Z,76.00,24.00
2026-05-26T12:30:00Z,76.00,26.00
2026-05-26T12:40:00Z,77.00,26.00
2026-05-26T12:41:00Z,71.00,30.17
2026-05-26T12:43:00Z,75.82,25.00
2026-05-26T12:44:00Z,77.00,25.00
2026-05-26T12:45:00Z,78.40,25.00
2026-05-26T12:46:00Z,83.00,19.00
2026-05-26T12:47:00Z,82.20,19.00
2026-05-26T12:48:00Z,82.00,19.00
2026-05-26T12:50:00Z,87.00,15.00
2026-05-26T12:51:00Z,88.00,15.00
2026-05-26T12:52:00Z,89.00,15.00
2026-05-26T12:53:00Z,88.00,12.00
2026-05-26T12:54:00Z,88.00,14.00
2026-05-26T12:55:00Z,86.00,14.00
2026-05-26T12:56:00Z,86.00,16.00
2026-05-26T12:57:00Z,88.00,16.00
2026-05-26T12:58:00Z,89.00,16.00
2026-05-26T13:00:00Z,87.89,16.00
2026-05-26T13:01:00Z,87.89,13.00
2026-05-26T13:02:00Z,87.89,12.00
2026-05-26T13:03:00Z,90.00,10.00
2026-05-26T13:04:00Z,90.67,10.00
2026-05-26T13:05:00Z,91.00,10.00
2026-05-26T13:06:00Z,91.00,10.00
2026-05-26T13:07:00Z,92.00,10.00
2026-05-26T13:09:00Z,92.00,9.00
2026-05-26T13:11:00Z,92.00,9.00
2026-05-26T13:12:00Z,92.00,9.00
2026-05-26T13:13:00Z,92.00,8.55
2026-05-26T13:14:00Z,94.13,6.00
2026-05-26T13:15:00Z,93.91,7.00
2026-05-26T13:16:00Z,93.05,7.00
2026-05-26T13:17:00Z,90.03,9.00
2026-05-26T13:18:00Z,90.03,9.99
2026-05-26T13:19:00Z,89.00,10.91
2026-05-26T13:20:00Z,90.99,11.00
2026-05-26T13:21:00Z,92.00,9.00
2026-05-26T13:22:00Z,90.00,10.00
2026-05-26T13:23:00Z,89.00,10.00
2026-05-26T13:24:00Z,91.00,11.00
2026-05-26T13:26:00Z,90.00,11.00
2026-05-26T13:27:00Z,91.00,10.00
2026-05-26T13:28:00Z,91.00,10.00
2026-05-26T13:29:00Z,92.32,8.40
2026-05-26T13:30:00Z,94.00,7.51
2026-05-26T13:31:00Z,95.79,4.15
2026-05-26T13:32:00Z,97.04,3.00
2026-05-26T13:33:00Z,98.00,2.67
2026-05-26T13:34:00Z,98.40,2.15
2026-05-26T13:35:00Z,98.40,1.00
2026-05-26T13:36:00Z,99.00,1.85
2026-05-26T13:37:00Z,99.00,2.60
2026-05-26T13:38:00Z,99.00,3.00
2026-05-26T13:39:00Z,99.00,2.09
2026-05-26T13:40:00Z,99.00,1.00
2026-05-26T13:41:00Z,98.70,1.25
2026-05-26T13:42:00Z,99.00,1.25
2026-05-26T13:43:00Z,99.00,2.07
2026-05-26T13:44:00Z,99.00,2.47
2026-05-26T13:45:00Z,99.00,2.02
2026-05-26T13:46:00Z,99.00,1.91
2026-05-26T13:47:00Z,97.04,2.64
2026-05-26T13:48:00Z,92.19,8.69
2026-05-26T13:49:00Z,88.58,11.66
2026-05-26T13:50:00Z,85.30,14.13
2026-05-26T13:51:00Z,84.53,15.90
2026-05-26T13:52:00Z,83.70,16.59
2026-05-26T13:53:00Z,83.70,16.14
2026-05-26T13:54:00Z,87.23,12.88
2026-05-26T13:55:00Z,85.44,14.33
2026-05-26T13:56:00Z,90.01,9.47
2026-05-26T13:57:00Z,94.92,5.62
2026-05-26T13:58:00Z,93.93,6.33
2026-05-26T13:59:00Z,88.21,11.52
2026-05-26T14:00:00Z,90.10,9.83
2026-05-26T14:01:00Z,95.16,4.89
2026-05-26T14:02:00Z,95.44,4.38
2026-05-26T14:03:00Z,98.18,2.15
2026-05-26T14:04:00Z,98.18,1.00
2026-05-26T14:05:00Z,99.00,1.00
