# event_ticker=KXATPMATCH-26MAR29MAEVAN
# final_score=6-3 6-2
# match_winner=Botic van de Zandschulp
# fav_player=Botic Van de Zandschulp
# dog_player=Francesco Maestrelli
# kalshi_date=2026-03-29
timestamp,Botic Van de Zandschulp,Francesco Maestrelli
2026-03-31T00:42:00Z,,29.00
2026-03-31T00:43:00Z,,29.00
2026-03-31T01:40:00Z,,29.00
2026-03-31T01:51:00Z,72.00,29.00
2026-03-31T02:39:00Z,72.00,29.00
2026-03-31T02:40:00Z,72.00,29.00
2026-03-31T03:39:00Z,72.00,29.00
2026-03-31T03:51:00Z,72.28,29.00
2026-03-31T03:52:00Z,72.28,29.00
2026-03-31T04:18:00Z,73.00,29.00
2026-03-31T04:19:00Z,73.00,29.00
2026-03-31T04:39:00Z,73.00,29.00
2026-03-31T05:08:00Z,73.00,28.00
2026-03-31T05:11:00Z,73.00,28.00
2026-03-31T05:12:00Z,71.00,28.00
2026-03-31T05:25:00Z,71.00,29.00
2026-03-31T05:37:00Z,71.00,29.00
2026-03-31T05:42:00Z,73.00,29.00
2026-03-31T06:03:00Z,73.00,29.00
2026-03-31T06:18:00Z,73.00,29.00
2026-03-31T06:22:00Z,73.00,29.00
2026-03-31T06:24:00Z,73.00,29.00
2026-03-31T06:34:00Z,73.00,29.00
2026-03-31T06:36:00Z,72.00,29.00
2026-03-31T06:51:00Z,73.00,29.00
2026-03-31T06:57:00Z,73.00,29.00
2026-03-31T07:07:00Z,73.00,29.00
2026-03-31T07:16:00Z,73.00,29.00
2026-03-31T07:23:00Z,73.00,29.00
2026-03-31T07:29:00Z,73.00,29.00
2026-03-31T07:53:00Z,73.00,29.00
2026-03-31T08:05:00Z,73.00,29.00
2026-03-31T08:08:00Z,73.00,29.00
2026-03-31T08:19:00Z,73.00,29.00
2026-03-31T08:54:00Z,73.00,29.00
2026-03-31T08:58:00Z,71.00,29.00
2026-03-31T09:03:00Z,71.00,29.00
2026-03-31T09:06:00Z,71.00,29.00
2026-03-31T09:15:00Z,71.00,29.00
2026-03-31T09:16:00Z,71.00,29.00
2026-03-31T09:26:00Z,71.00,29.00
2026-03-31T09:50:00Z,71.00,29.00
2026-03-31T09:57:00Z,72.00,29.00
2026-03-31T10:26:00Z,72.00,29.00
2026-03-31T10:28:00Z,72.00,29.00
2026-03-31T10:29:00Z,72.00,29.00
2026-03-31T10:30:00Z,72.00,29.00
2026-03-31T10:32:00Z,72.00,29.00
2026-03-31T10:40:00Z,72.00,29.00
2026-03-31T10:41:00Z,72.00,29.00
2026-03-31T10:43:00Z,72.00,29.00
2026-03-31T10:48:00Z,71.00,29.00
2026-03-31T10:51:00Z,71.00,29.00
2026-03-31T10:57:00Z,72.00,29.00
2026-03-31T10:58:00Z,72.00,29.00
2026-03-31T11:02:00Z,72.00,29.00
2026-03-31T11:06:00Z,71.00,29.00
2026-03-31T11:09:00Z,70.00,29.00
2026-03-31T11:11:00Z,71.00,29.00
2026-03-31T11:14:00Z,71.00,29.00
2026-03-31T11:15:00Z,71.00,31.00
2026-03-31T11:16:00Z,71.00,31.00
2026-03-31T11:26:00Z,71.00,31.00
2026-03-31T11:28:00Z,71.00,32.29
2026-03-31T11:33:00Z,71.00,32.29
2026-03-31T11:37:00Z,70.98,32.00
2026-03-31T11:40:00Z,69.97,32.00
2026-03-31T11:41:00Z,69.53,32.00
2026-03-31T11:42:00Z,68.00,32.00
2026-03-31T11:43:00Z,70.67,29.00
2026-03-31T11:44:00Z,68.51,32.00
2026-03-31T11:45:00Z,67.00,33.00
2026-03-31T11:46:00Z,69.98,33.05
2026-03-31T11:47:00Z,71.00,30.88
2026-03-31T11:48:00Z,73.00,30.88
2026-03-31T11:50:00Z,72.00,29.00
2026-03-31T11:51:00Z,72.00,28.99
2026-03-31T11:52:00Z,74.78,28.00
2026-03-31T11:53:00Z,76.30,28.00
2026-03-31T11:54:00Z,81.14,17.95
2026-03-31T11:55:00Z,83.00,17.95
2026-03-31T11:56:00Z,85.64,17.00
2026-03-31T11:57:00Z,86.00,15.00
2026-03-31T11:58:00Z,86.00,15.00
2026-03-31T11:59:00Z,86.00,15.00
2026-03-31T12:00:00Z,84.55,15.05
2026-03-31T12:01:00Z,83.89,17.32
2026-03-31T12:02:00Z,84.25,18.00
2026-03-31T12:03:00Z,84.33,17.00
2026-03-31T12:04:00Z,81.78,20.07
2026-03-31T12:05:00Z,80.33,20.75
2026-03-31T12:06:00Z,78.00,21.00
2026-03-31T12:07:00Z,74.68,29.82
2026-03-31T12:08:00Z,71.00,30.00
2026-03-31T12:09:00Z,74.96,26.50
2026-03-31T12:10:00Z,73.12,30.00
2026-03-31T12:11:00Z,80.78,21.91
2026-03-31T12:12:00Z,85.00,16.89
2026-03-31T12:13:00Z,87.28,14.82
