# event_ticker=KXATPMATCH-26MAR08DAVMEN
# final_score=6-2 4-6 6-2
# match_winner=Alejandro Davidovich Fokina
# fav_player=Alejandro Davidovich Fokina
# dog_player=Jakub Mensik
# kalshi_date=2026-03-08
timestamp,Alejandro Davidovich Fokina,Jakub Mensik
2026-03-08T09:19:00Z,,59.00
2026-03-08T09:38:00Z,41.00,59.00
2026-03-08T10:37:00Z,41.00,59.00
2026-03-08T10:46:00Z,41.00,59.00
2026-03-08T10:48:00Z,41.00,59.00
2026-03-08T11:05:00Z,41.00,59.00
2026-03-08T11:18:00Z,42.00,59.00
2026-03-08T11:36:00Z,42.00,59.00
2026-03-08T11:55:00Z,42.00,59.00
2026-03-08T11:59:00Z,42.00,59.00
2026-03-08T12:09:00Z,42.00,59.00
2026-03-08T12:17:00Z,42.00,59.00
2026-03-08T12:19:00Z,42.00,59.00
2026-03-08T12:22:00Z,42.00,59.00
2026-03-08T12:31:00Z,42.00,59.00
2026-03-08T12:39:00Z,42.00,59.00
2026-03-08T13:09:00Z,42.00,58.00
2026-03-08T13:25:00Z,43.00,58.00
2026-03-08T13:36:00Z,43.00,59.00
2026-03-08T13:40:00Z,43.00,59.00
2026-03-08T13:44:00Z,43.00,59.00
2026-03-08T13:47:00Z,43.00,59.00
2026-03-08T13:50:00Z,43.00,59.00
2026-03-08T13:52:00Z,43.00,59.00
2026-03-08T13:57:00Z,43.00,59.00
2026-03-08T13:59:00Z,42.00,59.00
2026-03-08T14:07:00Z,42.00,59.00
2026-03-08T14:12:00Z,42.00,59.00
2026-03-08T14:13:00Z,42.00,59.00
2026-03-08T14:14:00Z,42.00,59.00
2026-03-08T14:17:00Z,43.00,59.00
2026-03-08T14:25:00Z,43.00,59.00
2026-03-08T14:32:00Z,43.00,59.00
2026-03-08T14:36:00Z,43.00,59.00
2026-03-08T14:37:00Z,43.00,59.00
2026-03-08T14:43:00Z,43.00,59.00
2026-03-08T14:44:00Z,43.00,59.00
2026-03-08T14:48:00Z,43.00,59.00
2026-03-08T14:49:00Z,43.00,59.00
2026-03-08T14:52:00Z,43.00,58.00
2026-03-08T14:53:00Z,43.00,59.00
2026-03-08T14:55:00Z,43.00,59.00
2026-03-08T14:56:00Z,43.00,59.00
2026-03-08T14:58:00Z,43.00,59.00
2026-03-08T14:59:00Z,43.00,59.00
2026-03-08T15:02:00Z,43.00,59.00
2026-03-08T15:10:00Z,43.00,59.00
2026-03-08T15:13:00Z,43.00,59.00
2026-03-08T15:14:00Z,43.00,59.00
2026-03-08T15:18:00Z,43.00,59.00
2026-03-08T15:19:00Z,43.00,59.00
2026-03-08T15:22:00Z,43.00,59.00
2026-03-08T15:23:00Z,43.00,59.00
2026-03-08T15:26:00Z,43.00,59.00
