# event_ticker=KXATPMATCH-25OCT11MEDRIN
# final_score=4-6 6-2 6-4
# match_winner=Arthur Rinderknech
# fav_player=Arthur Rinderknech
# dog_player=Daniil Medvedev
# kalshi_date=2025-10-11
timestamp,Arthur Rinderknech,Daniil Medvedev
2025-10-11T01:16:00Z,30.00,
2025-10-11T01:23:00Z,30.00,
2025-10-11T01:29:00Z,30.00,
2025-10-11T01:39:00Z,30.00,
2025-10-11T01:45:00Z,30.00,
2025-10-11T01:47:00Z,30.00,71.00
2025-10-11T01:53:00Z,30.00,71.00
2025-10-11T01:56:00Z,30.00,71.00
2025-10-11T02:00:00Z,30.00,71.00
2025-10-11T02:01:00Z,30.00,71.00
2025-10-11T02:05:00Z,30.00,70.00
2025-10-11T02:06:00Z,31.00,70.00
2025-10-11T02:08:00Z,31.00,70.00
2025-10-11T02:12:00Z,30.00,70.00
2025-10-11T02:18:00Z,30.00,71.00
2025-10-11T02:19:00Z,31.00,71.00
2025-10-11T02:21:00Z,31.00,71.00
2025-10-11T02:27:00Z,32.00,71.00
2025-10-11T02:28:00Z,32.00,71.00
2025-10-11T02:29:00Z,32.00,71.00
2025-10-11T02:37:00Z,32.00,69.00
2025-10-11T02:41:00Z,32.00,69.00
2025-10-11T02:42:00Z,32.00,69.00
2025-10-11T02:44:00Z,32.00,69.00
2025-10-11T02:45:00Z,32.00,69.00
2025-10-11T02:47:00Z,32.00,69.00
2025-10-11T02:49:00Z,31.00,69.00
2025-10-11T02:51:00Z,31.00,69.00
2025-10-11T02:52:00Z,31.00,69.00
2025-10-11T02:53:00Z,31.00,69.00
2025-10-11T02:55:00Z,31.00,69.00
2025-10-11T02:57:00Z,31.00,69.00
2025-10-11T02:58:00Z,31.00,69.00
2025-10-11T03:01:00Z,31.00,69.00
2025-10-11T03:02:00Z,31.00,69.00
2025-10-11T03:04:00Z,31.00,69.00
2025-10-11T03:06:00Z,31.00,69.00
2025-10-11T03:07:00Z,31.00,69.00
2025-10-11T03:10:00Z,31.00,69.00
2025-10-11T03:12:00Z,31.00,69.00
2025-10-11T03:17:00Z,31.00,69.00
2025-10-11T03:18:00Z,31.00,70.00
2025-10-11T03:21:00Z,31.00,70.00
2025-10-11T03:23:00Z,31.00,70.00
2025-10-11T03:25:00Z,31.00,70.00
2025-10-11T03:29:00Z,31.00,70.00
2025-10-11T03:30:00Z,32.00,70.00
2025-10-11T03:37:00Z,32.00,70.00
2025-10-11T03:43:00Z,32.00,70.00
2025-10-11T03:44:00Z,32.00,70.00
2025-10-11T03:47:00Z,32.00,70.00
2025-10-11T03:51:00Z,32.00,70.00
2025-10-11T03:56:00Z,32.00,70.00
2025-10-11T04:02:00Z,32.00,70.00
2025-10-11T04:04:00Z,32.00,70.00
2025-10-11T04:05:00Z,32.00,70.00
2025-10-11T04:06:00Z,32.00,70.97
2025-10-11T04:07:00Z,31.00,71.00
2025-10-11T04:08:00Z,31.00,71.00
2025-10-11T04:10:00Z,31.00,71.00
2025-10-11T04:12:00Z,31.00,71.00
2025-10-11T04:13:00Z,31.00,71.00
2025-10-11T04:15:00Z,30.39,71.00
2025-10-11T04:16:00Z,30.39,69.45
2025-10-11T04:17:00Z,31.00,69.45
2025-10-11T04:19:00Z,31.00,69.45
2025-10-11T04:21:00Z,31.00,69.00
2025-10-11T04:22:00Z,31.00,69.00
