# event_ticker=KXATPCHALLENGERMATCH-26MAR16KESVAR
# final_score=6-0 6-4
# match_winner=Juan Pablo Varillas
# fav_player=Juan Pablo Varillas
# dog_player=Mariano Kestelboim
# kalshi_date=2026-03-16
timestamp,Juan Pablo Varillas,Mariano Kestelboim
2026-03-17T14:28:00Z,78.52,
2026-03-17T17:28:00Z,78.52,22.00
2026-03-17T17:33:00Z,78.00,22.00
2026-03-17T17:39:00Z,78.00,22.00
2026-03-17T17:43:00Z,78.00,23.00
2026-03-17T17:47:00Z,78.00,22.00
2026-03-17T17:58:00Z,78.00,20.00
2026-03-17T18:03:00Z,78.00,21.00
2026-03-17T18:12:00Z,78.00,21.00
2026-03-17T18:18:00Z,78.00,21.00
2026-03-17T18:24:00Z,78.00,21.00
2026-03-17T18:31:00Z,78.00,21.00
2026-03-17T18:41:00Z,80.00,21.00
2026-03-17T19:13:00Z,80.00,21.00
2026-03-17T19:32:00Z,80.00,21.00
2026-03-17T19:47:00Z,80.00,21.00
2026-03-17T20:23:00Z,80.69,21.00
2026-03-17T20:30:00Z,81.00,21.00
2026-03-17T20:44:00Z,82.00,21.00
2026-03-17T20:56:00Z,82.00,21.00
2026-03-17T21:09:00Z,82.00,21.00
2026-03-17T21:19:00Z,82.00,21.00
2026-03-17T21:41:00Z,82.00,21.00
2026-03-17T21:54:00Z,82.00,21.00
2026-03-17T22:29:00Z,83.00,21.00
2026-03-17T22:32:00Z,84.00,21.00
2026-03-17T22:51:00Z,83.00,19.00
2026-03-17T23:38:00Z,83.00,19.00
2026-03-18T00:03:00Z,84.00,19.00
2026-03-18T00:08:00Z,84.00,18.00
2026-03-18T00:27:00Z,84.50,18.00
2026-03-18T00:29:00Z,84.50,22.00
2026-03-18T00:41:00Z,84.50,22.88
2026-03-18T00:44:00Z,83.00,17.20
2026-03-18T00:46:00Z,81.25,22.10
2026-03-18T00:58:00Z,81.25,20.00
2026-03-18T00:59:00Z,81.25,19.20
2026-03-18T01:00:00Z,78.00,19.20
2026-03-18T01:01:00Z,80.89,19.00
2026-03-18T01:02:00Z,84.85,10.71
2026-03-18T01:03:00Z,87.00,13.00
2026-03-18T01:04:00Z,88.00,14.42
2026-03-18T01:05:00Z,88.00,12.00
2026-03-18T01:07:00Z,88.03,12.00
2026-03-18T01:08:00Z,91.94,7.42
2026-03-18T01:09:00Z,91.43,8.00
2026-03-18T01:10:00Z,91.00,8.00
2026-03-18T01:11:00Z,91.00,12.00
2026-03-18T01:12:00Z,89.38,12.00
2026-03-18T01:13:00Z,89.38,9.00
2026-03-18T01:14:00Z,89.38,11.00
2026-03-18T01:16:00Z,89.38,8.00
2026-03-18T01:17:00Z,89.38,8.00
2026-03-18T01:18:00Z,93.00,6.06
2026-03-18T01:19:00Z,93.95,7.00
2026-03-18T01:20:00Z,94.00,6.36
2026-03-18T01:21:00Z,95.00,6.00
2026-03-18T01:22:00Z,95.00,5.00
2026-03-18T01:23:00Z,95.00,6.00
2026-03-18T01:24:00Z,96.00,5.46
2026-03-18T01:25:00Z,96.00,7.00
2026-03-18T01:26:00Z,95.79,6.00
2026-03-18T01:27:00Z,96.00,4.00
2026-03-18T01:28:00Z,96.00,5.00
2026-03-18T01:29:00Z,96.00,5.00
2026-03-18T01:30:00Z,95.00,6.80
2026-03-18T01:31:00Z,94.41,6.74
2026-03-18T01:32:00Z,96.20,6.00
2026-03-18T01:33:00Z,96.68,3.16
2026-03-18T01:34:00Z,96.00,3.34
2026-03-18T01:35:00Z,96.00,4.42
2026-03-18T01:36:00Z,97.00,4.00
2026-03-18T01:37:00Z,95.94,5.18
2026-03-18T01:38:00Z,96.00,4.00
2026-03-18T01:39:00Z,97.89,2.65
2026-03-18T01:40:00Z,98.56,2.00
2026-03-18T01:41:00Z,99.00,1.93
2026-03-18T01:42:00Z,99.00,1.00
2026-03-18T01:43:00Z,99.00,1.00
2026-03-18T01:44:00Z,99.00,2.00
2026-03-18T01:45:00Z,99.00,1.00
2026-03-18T01:46:00Z,99.00,1.00
2026-03-18T01:47:00Z,99.00,1.38
2026-03-18T01:48:00Z,99.00,1.00
2026-03-18T01:50:00Z,99.00,1.00
2026-03-18T01:51:00Z,99.00,1.00
2026-03-18T01:54:00Z,99.00,1.00
2026-03-18T01:58:00Z,99.00,1.00
2026-03-18T02:03:00Z,99.00,1.00
2026-03-18T02:04:00Z,99.00,1.00
2026-03-18T02:06:00Z,99.00,1.00
2026-03-18T02:08:00Z,99.00,1.00
2026-03-18T02:12:00Z,99.00,1.00
2026-03-18T02:13:00Z,99.00,2.00
2026-03-18T02:14:00Z,98.77,2.00
2026-03-18T02:15:00Z,98.00,2.00
2026-03-18T02:16:00Z,97.01,2.99
2026-03-18T02:17:00Z,97.00,4.23
2026-03-18T02:18:00Z,98.99,3.00
2026-03-18T02:19:00Z,98.99,1.06
