# event_ticker=KXATPCHALLENGERMATCH-26MAY07DEVHAR
# final_score=4-6 6-3 3-0 RET
# match_winner=Murkel Dellien
# fav_player=Murkel Dellien
# dog_player=Nick Hardt
# kalshi_date=2026-05-07
timestamp,Murkel Dellien,Nick Hardt
2026-05-07T03:25:00Z,,50.00
2026-05-07T04:25:00Z,56.00,50.00
2026-05-07T04:41:00Z,56.00,49.00
2026-05-07T05:03:00Z,56.00,55.00
2026-05-07T05:32:00Z,56.00,54.00
2026-05-07T05:55:00Z,50.00,54.00
2026-05-07T06:39:00Z,45.00,54.00
2026-05-07T10:49:00Z,37.00,54.00
2026-05-07T12:16:00Z,37.00,65.00
2026-05-07T12:31:00Z,37.00,65.00
2026-05-07T13:45:00Z,37.00,62.00
2026-05-07T14:05:00Z,38.00,62.00
2026-05-07T14:07:00Z,38.00,62.00
2026-05-07T14:11:00Z,38.00,63.00
2026-05-07T14:16:00Z,38.00,63.00
2026-05-07T14:19:00Z,38.00,63.00
2026-05-07T14:37:00Z,38.00,63.00
2026-05-07T14:59:00Z,38.00,63.00
2026-05-07T15:00:00Z,37.67,63.00
2026-05-07T15:01:00Z,37.00,63.00
2026-05-07T15:02:00Z,38.00,63.00
2026-05-07T15:05:00Z,38.51,62.00
2026-05-07T15:06:00Z,38.00,62.00
2026-05-07T15:07:00Z,38.00,62.00
2026-05-07T15:09:00Z,37.78,62.00
2026-05-07T15:10:00Z,37.78,62.00
2026-05-07T15:13:00Z,39.08,62.00
2026-05-07T15:14:00Z,39.08,62.00
2026-05-07T15:15:00Z,37.00,62.00
2026-05-07T15:16:00Z,37.00,62.00
2026-05-07T15:17:00Z,28.04,70.53
2026-05-07T15:18:00Z,28.00,73.00
2026-05-07T15:19:00Z,26.00,75.13
2026-05-07T15:20:00Z,25.00,76.00
2026-05-07T15:21:00Z,23.00,76.00
2026-05-07T15:22:00Z,20.00,79.66
2026-05-07T15:23:00Z,20.00,82.00
2026-05-07T15:24:00Z,18.10,82.00
2026-05-07T15:25:00Z,18.10,83.14
2026-05-07T15:27:00Z,16.00,84.00
2026-05-07T15:28:00Z,16.21,84.00
2026-05-07T15:29:00Z,14.00,85.01
2026-05-07T15:30:00Z,14.00,86.00
2026-05-07T15:31:00Z,15.00,86.00
2026-05-07T15:32:00Z,13.87,86.00
2026-05-07T15:34:00Z,13.87,87.00
2026-05-07T15:35:00Z,14.00,86.00
2026-05-07T15:36:00Z,14.00,86.00
2026-05-07T15:37:00Z,14.00,86.00
2026-05-07T15:38:00Z,14.00,88.00
2026-05-07T15:39:00Z,12.00,88.00
2026-05-07T15:40:00Z,12.00,88.00
2026-05-07T15:41:00Z,12.00,88.00
2026-05-07T15:42:00Z,12.00,89.00
2026-05-07T15:44:00Z,11.00,89.00
2026-05-07T15:45:00Z,11.00,89.00
2026-05-07T15:46:00Z,11.16,89.00
2026-05-07T15:47:00Z,12.00,88.30
2026-05-07T15:48:00Z,12.05,88.00
2026-05-07T15:49:00Z,13.00,88.00
2026-05-07T15:50:00Z,13.00,87.02
2026-05-07T15:51:00Z,13.00,87.00
2026-05-07T15:52:00Z,12.00,89.00
2026-05-07T15:53:00Z,12.47,89.00
2026-05-07T15:54:00Z,13.00,89.00
2026-05-07T15:55:00Z,13.32,87.00
2026-05-07T15:56:00Z,14.97,85.00
2026-05-07T15:57:00Z,15.00,86.33
2026-05-07T15:58:00Z,15.00,86.33
2026-05-07T15:59:00Z,14.03,86.33
2026-05-07T16:00:00Z,15.00,85.00
2026-05-07T16:01:00Z,15.65,85.00
2026-05-07T16:02:00Z,15.00,85.00
2026-05-07T16:03:00Z,16.00,84.04
2026-05-07T16:04:00Z,16.00,84.00
2026-05-07T16:05:00Z,16.00,85.00
2026-05-07T16:06:00Z,18.29,82.12
2026-05-07T16:07:00Z,19.85,81.00
2026-05-07T16:08:00Z,21.00,80.00
2026-05-07T16:09:00Z,20.20,80.37
2026-05-07T16:10:00Z,21.01,75.00
2026-05-07T16:11:00Z,21.00,77.79
2026-05-07T16:12:00Z,31.60,71.15
2026-05-07T16:13:00Z,39.00,59.33
2026-05-07T16:14:00Z,38.11,74.00
2026-05-07T16:15:00Z,33.24,76.66
2026-05-07T16:16:00Z,26.13,74.56
2026-05-07T16:17:00Z,21.09,78.65
2026-05-07T16:18:00Z,21.00,80.00
2026-05-07T16:19:00Z,21.89,79.00
2026-05-07T16:20:00Z,20.74,80.60
2026-05-07T16:21:00Z,20.01,80.00
2026-05-07T16:22:00Z,21.00,80.00
2026-05-07T16:23:00Z,22.00,80.00
