# event_ticker=KXATPCHALLENGERMATCH-26MAY22GADCOM
# final_score=3-6 6-4 7-6(12)
# score_resolution=3-6 6-4 7-6
# match_winner=Buvaysar Gadamauri
# fav_player=Buvaysar Gadamauri
# dog_player=Tommaso Compagnucci
# kalshi_date=2026-05-22
timestamp,Buvaysar Gadamauri,Tommaso Compagnucci
2026-05-21T22:51:00Z,70.00,
2026-05-21T23:15:00Z,69.00,
2026-05-22T03:11:00Z,69.00,
2026-05-22T03:40:00Z,69.00,
2026-05-22T04:42:00Z,69.00,
2026-05-22T04:49:00Z,69.00,
2026-05-22T04:53:00Z,69.00,
2026-05-22T04:54:00Z,69.00,
2026-05-22T05:16:00Z,69.00,
2026-05-22T05:23:00Z,69.00,
2026-05-22T05:54:00Z,69.00,
2026-05-22T06:01:00Z,69.00,
2026-05-22T06:08:00Z,69.00,
2026-05-22T06:09:00Z,69.00,
2026-05-22T06:25:00Z,69.00,32.00
2026-05-22T06:34:00Z,69.00,32.00
2026-05-22T06:58:00Z,69.00,32.00
2026-05-22T07:02:00Z,68.00,32.00
2026-05-22T08:10:00Z,67.00,32.00
2026-05-22T09:43:00Z,67.00,32.00
2026-05-22T09:49:00Z,67.00,32.00
2026-05-22T10:07:00Z,67.00,32.00
2026-05-22T10:13:00Z,67.00,32.00
2026-05-22T10:15:00Z,67.00,32.00
2026-05-22T10:27:00Z,67.00,32.00
2026-05-22T10:31:00Z,67.00,35.00
2026-05-22T10:35:00Z,68.00,35.00
2026-05-22T10:37:00Z,68.91,35.00
2026-05-22T10:44:00Z,66.34,35.00
2026-05-22T10:46:00Z,64.87,38.00
2026-05-22T10:47:00Z,64.13,38.00
2026-05-22T10:48:00Z,66.91,34.00
2026-05-22T10:49:00Z,68.11,34.00
2026-05-22T10:50:00Z,67.12,34.00
2026-05-22T10:52:00Z,67.12,35.00
2026-05-22T10:53:00Z,64.00,37.00
2026-05-22T10:54:00Z,64.00,36.65
2026-05-22T10:55:00Z,66.00,32.47
2026-05-22T10:56:00Z,68.58,33.00
2026-05-22T10:57:00Z,62.54,36.88
2026-05-22T10:58:00Z,60.59,40.78
2026-05-22T10:59:00Z,55.18,47.83
2026-05-22T11:00:00Z,48.00,54.00
2026-05-22T11:01:00Z,44.01,55.91
2026-05-22T11:02:00Z,40.96,61.00
2026-05-22T11:03:00Z,40.96,61.05
2026-05-22T11:04:00Z,39.00,61.05
2026-05-22T11:05:00Z,39.00,63.60
2026-05-22T11:06:00Z,40.00,59.43
2026-05-22T11:07:00Z,46.65,53.61
2026-05-22T11:08:00Z,53.92,43.81
2026-05-22T11:09:00Z,51.90,48.00
2026-05-22T11:10:00Z,47.98,51.92
2026-05-22T11:11:00Z,50.27,46.16
2026-05-22T11:12:00Z,58.28,46.16
2026-05-22T11:13:00Z,60.10,39.67
2026-05-22T11:14:00Z,56.50,44.12
2026-05-22T11:15:00Z,51.89,44.68
2026-05-22T11:16:00Z,44.86,55.07
2026-05-22T11:17:00Z,37.03,63.00
2026-05-22T11:18:00Z,34.66,65.82
2026-05-22T11:19:00Z,36.60,68.63
2026-05-22T11:20:00Z,37.13,67.71
2026-05-22T11:21:00Z,40.27,63.56
2026-05-22T11:22:00Z,37.75,64.03
2026-05-22T11:23:00Z,36.69,63.63
2026-05-22T11:24:00Z,40.71,61.74
2026-05-22T11:25:00Z,38.02,62.83
2026-05-22T11:26:00Z,35.31,66.16
2026-05-22T11:27:00Z,34.00,66.24
2026-05-22T11:28:00Z,35.39,67.87
2026-05-22T11:29:00Z,35.67,65.50
2026-05-22T11:30:00Z,36.01,63.99
2026-05-22T11:31:00Z,38.24,64.00
2026-05-22T11:32:00Z,41.21,59.28
2026-05-22T11:33:00Z,50.45,49.00
2026-05-22T11:34:00Z,45.35,48.70
2026-05-22T11:35:00Z,40.82,62.58
2026-05-22T11:36:00Z,35.08,65.05
2026-05-22T11:37:00Z,38.74,63.08
2026-05-22T11:38:00Z,41.64,56.74
2026-05-22T11:39:00Z,46.57,60.70
2026-05-22T11:40:00Z,41.55,59.97
2026-05-22T11:41:00Z,42.74,60.00
2026-05-22T11:42:00Z,48.56,50.58
2026-05-22T11:43:00Z,45.70,52.60
2026-05-22T11:44:00Z,41.22,60.75
2026-05-22T11:45:00Z,37.15,65.53
2026-05-22T11:46:00Z,42.37,59.18
2026-05-22T11:47:00Z,44.00,58.68
2026-05-22T11:48:00Z,43.99,57.00
2026-05-22T11:49:00Z,43.09,59.45
2026-05-22T11:50:00Z,41.85,59.41
2026-05-22T11:51:00Z,38.43,63.93
2026-05-22T11:52:00Z,38.87,65.72
2026-05-22T11:53:00Z,32.33,67.82
2026-05-22T11:54:00Z,39.43,60.56
2026-05-22T11:55:00Z,43.97,57.00
2026-05-22T11:56:00Z,44.72,57.00
2026-05-22T11:57:00Z,52.87,46.67
2026-05-22T11:58:00Z,62.56,34.57
2026-05-22T11:59:00Z,61.92,38.15
2026-05-22T12:00:00Z,65.07,31.43
2026-05-22T12:01:00Z,69.31,30.35
2026-05-22T12:02:00Z,66.81,30.64
2026-05-22T12:03:00Z,70.00,34.32
2026-05-22T12:04:00Z,71.81,30.17
2026-05-22T12:05:00Z,72.86,29.24
2026-05-22T12:06:00Z,68.23,32.43
2026-05-22T12:07:00Z,58.41,46.77
2026-05-22T12:08:00Z,41.52,58.80
2026-05-22T12:09:00Z,45.06,57.85
2026-05-22T12:10:00Z,45.32,55.40
2026-05-22T12:11:00Z,49.68,54.93
2026-05-22T12:12:00Z,41.70,59.82
2026-05-22T12:13:00Z,48.78,56.56
2026-05-22T12:14:00Z,50.08,47.89
2026-05-22T12:15:00Z,37.72,57.21
2026-05-22T12:16:00Z,34.22,68.93
2026-05-22T12:17:00Z,37.12,64.03
2026-05-22T12:18:00Z,39.26,62.56
2026-05-22T12:19:00Z,40.98,60.96
2026-05-22T12:20:00Z,39.34,61.24
2026-05-22T12:21:00Z,46.12,56.37
2026-05-22T12:22:00Z,41.39,64.69
2026-05-22T12:23:00Z,31.25,69.72
2026-05-22T12:24:00Z,30.60,68.95
2026-05-22T12:25:00Z,33.43,65.87
2026-05-22T12:26:00Z,34.07,66.59
2026-05-22T12:27:00Z,35.92,65.59
2026-05-22T12:28:00Z,32.55,67.59
2026-05-22T12:29:00Z,36.29,67.64
2026-05-22T12:30:00Z,43.93,60.06
2026-05-22T12:31:00Z,30.05,70.18
2026-05-22T12:32:00Z,24.35,76.93
2026-05-22T12:33:00Z,25.37,73.05
2026-05-22T12:34:00Z,28.97,71.39
2026-05-22T12:35:00Z,30.42,69.12
2026-05-22T12:36:00Z,45.30,55.51
2026-05-22T12:37:00Z,57.53,40.88
2026-05-22T12:38:00Z,62.05,36.61
2026-05-22T12:39:00Z,69.67,27.35
2026-05-22T12:40:00Z,74.16,27.35
2026-05-22T12:41:00Z,75.71,22.13
2026-05-22T12:42:00Z,77.48,21.32
2026-05-22T12:43:00Z,74.94,22.98
2026-05-22T12:44:00Z,74.78,23.96
2026-05-22T12:45:00Z,73.42,31.71
2026-05-22T12:46:00Z,68.10,32.77
2026-05-22T12:47:00Z,73.52,25.01
2026-05-22T12:48:00Z,69.47,30.72
2026-05-22T12:49:00Z,73.76,26.07
2026-05-22T12:50:00Z,72.30,26.88
2026-05-22T12:51:00Z,74.62,26.50
2026-05-22T12:52:00Z,75.05,28.10
2026-05-22T12:53:00Z,66.62,32.40
2026-05-22T12:54:00Z,62.33,38.49
2026-05-22T12:55:00Z,65.90,37.04
2026-05-22T12:56:00Z,63.43,38.85
2026-05-22T12:57:00Z,49.49,52.34
