# event_ticker=KXATPMATCH-26FEB22COMMAR
# final_score=6-4 2-6 7-6(4)
# score_resolution=6-4 2-6 7-6
# match_winner=Francisco Comesana
# fav_player=Francisco Comesana
# dog_player=Pedro Martinez
# kalshi_date=2026-02-22
timestamp,Francisco Comesana,Pedro Martinez
2026-02-23T08:38:00Z,,38.00
2026-02-23T08:40:00Z,,38.00
2026-02-23T09:38:00Z,63.00,38.00
2026-02-23T09:45:00Z,64.00,38.00
2026-02-23T10:25:00Z,64.00,38.00
2026-02-23T10:39:00Z,64.00,38.00
2026-02-23T10:40:00Z,64.00,37.00
2026-02-23T11:24:00Z,65.00,37.00
2026-02-23T11:34:00Z,65.00,37.00
2026-02-23T11:52:00Z,65.00,36.00
2026-02-23T12:32:00Z,65.00,36.00
2026-02-23T12:48:00Z,65.00,36.00
2026-02-23T13:27:00Z,65.00,37.95
2026-02-23T13:30:00Z,63.00,37.95
2026-02-23T13:51:00Z,63.00,37.95
2026-02-23T14:09:00Z,63.00,38.21
2026-02-23T14:10:00Z,63.00,39.00
2026-02-23T14:18:00Z,62.00,39.00
2026-02-23T14:20:00Z,62.00,39.00
2026-02-23T14:22:00Z,62.00,39.00
2026-02-23T14:31:00Z,62.00,39.00
2026-02-23T14:38:00Z,62.00,39.00
2026-02-23T14:52:00Z,62.00,39.00
2026-02-23T14:56:00Z,62.00,39.00
2026-02-23T14:57:00Z,62.00,39.00
2026-02-23T15:02:00Z,61.00,39.00
2026-02-23T15:13:00Z,61.00,39.00
2026-02-23T15:14:00Z,61.00,39.00
2026-02-23T15:17:00Z,61.00,38.00
2026-02-23T15:19:00Z,61.00,39.00
2026-02-23T15:23:00Z,61.00,39.00
2026-02-23T15:28:00Z,61.00,39.00
2026-02-23T15:31:00Z,62.00,39.00
2026-02-23T15:33:00Z,62.00,39.00
2026-02-23T15:42:00Z,62.00,39.00
2026-02-23T15:44:00Z,62.00,39.00
2026-02-23T15:46:00Z,62.00,39.00
2026-02-23T15:47:00Z,62.00,39.00
2026-02-23T15:50:00Z,62.00,39.00
2026-02-23T16:06:00Z,62.00,39.00
2026-02-23T16:10:00Z,62.00,39.00
2026-02-23T16:15:00Z,62.00,39.00
2026-02-23T16:17:00Z,62.00,39.00
2026-02-23T16:18:00Z,62.00,39.00
2026-02-23T16:21:00Z,62.00,39.00
2026-02-23T16:25:00Z,62.00,39.00
2026-02-23T16:26:00Z,63.00,39.00
2026-02-23T16:27:00Z,63.00,38.00
2026-02-23T16:31:00Z,63.00,38.00
