# event_ticker=KXATPCHALLENGERMATCH-26MAY19GUEPRI
# final_score=6-7(5) 6-3 6-2
# score_resolution=6-7 6-3 6-2
# match_winner=Andrea Guerrieri
# fav_player=Andrea Guerrieri
# dog_player=Oleg Prihodko
# kalshi_date=2026-05-19
timestamp,Andrea Guerrieri,Oleg Prihodko
2026-05-19T05:42:00Z,,26.00
2026-05-19T06:27:00Z,,27.00
2026-05-19T07:14:00Z,,27.00
2026-05-19T08:25:00Z,74.00,27.00
2026-05-19T09:00:00Z,74.00,27.00
2026-05-19T09:49:00Z,71.34,28.65
2026-05-19T09:54:00Z,71.34,29.92
2026-05-19T09:55:00Z,71.34,29.00
2026-05-19T09:56:00Z,71.34,31.00
2026-05-19T09:59:00Z,71.34,29.69
2026-05-19T10:01:00Z,66.00,29.69
2026-05-19T10:05:00Z,66.00,36.81
2026-05-19T10:09:00Z,66.00,32.00
2026-05-19T10:10:00Z,63.79,34.00
2026-05-19T10:11:00Z,63.00,34.00
2026-05-19T10:14:00Z,63.00,38.00
2026-05-19T10:16:00Z,68.00,38.00
2026-05-19T10:17:00Z,73.92,33.71
2026-05-19T10:18:00Z,73.92,35.00
2026-05-19T10:19:00Z,67.00,35.00
2026-05-19T10:20:00Z,67.00,34.00
2026-05-19T10:21:00Z,67.00,23.49
2026-05-19T10:22:00Z,74.00,30.00
2026-05-19T10:24:00Z,78.00,30.00
2026-05-19T10:25:00Z,78.00,30.00
2026-05-19T10:28:00Z,72.00,35.00
2026-05-19T10:34:00Z,74.00,28.64
2026-05-19T10:35:00Z,70.00,31.07
2026-05-19T10:37:00Z,70.00,23.43
2026-05-19T10:41:00Z,70.00,37.01
2026-05-19T10:42:00Z,70.00,39.16
2026-05-19T10:46:00Z,77.00,39.16
2026-05-19T10:47:00Z,64.99,32.39
2026-05-19T10:48:00Z,68.00,31.36
2026-05-19T10:49:00Z,68.00,32.00
2026-05-19T10:50:00Z,64.43,37.81
2026-05-19T10:51:00Z,58.00,43.00
2026-05-19T10:52:00Z,58.00,40.00
2026-05-19T10:53:00Z,56.15,39.02
2026-05-19T10:54:00Z,60.00,39.02
