# event_ticker=KXATPMATCH-26FEB18POPSIN
# final_score=6-3 7-5
# score_resolution=3-6 5-7
# match_winner=Jannik Sinner
# fav_player=Alexei Popyrin
# dog_player=Jannik Sinner
# kalshi_date=2026-02-18
timestamp,Alexei Popyrin,Jannik Sinner
2026-02-18T04:49:00Z,4.00,
2026-02-18T04:52:00Z,4.00,
2026-02-18T04:58:00Z,4.00,97.00
2026-02-18T05:00:00Z,4.00,97.00
2026-02-18T05:10:00Z,4.00,97.00
2026-02-18T05:15:00Z,4.00,97.00
2026-02-18T05:16:00Z,4.00,97.00
2026-02-18T05:21:00Z,4.00,97.00
2026-02-18T05:23:00Z,4.00,97.00
2026-02-18T05:24:00Z,4.00,97.00
2026-02-18T05:32:00Z,4.00,97.00
2026-02-18T05:33:00Z,4.00,97.00
2026-02-18T05:34:00Z,4.00,97.00
2026-02-18T05:36:00Z,4.00,97.00
2026-02-18T05:37:00Z,3.00,98.00
2026-02-18T05:49:00Z,3.00,98.00
2026-02-18T05:51:00Z,3.00,98.00
2026-02-18T05:52:00Z,3.00,98.00
2026-02-18T05:53:00Z,3.00,98.00
2026-02-18T05:54:00Z,3.00,98.00
2026-02-18T05:55:00Z,3.00,98.00
2026-02-18T05:58:00Z,3.00,98.00
2026-02-18T06:01:00Z,3.00,98.00
2026-02-18T06:02:00Z,3.00,98.00
2026-02-18T06:03:00Z,3.00,98.00
2026-02-18T06:04:00Z,3.00,98.00
2026-02-18T06:05:00Z,3.00,98.00
2026-02-18T06:09:00Z,3.00,98.00
2026-02-18T06:12:00Z,3.00,98.00
2026-02-18T06:15:00Z,3.00,98.00
2026-02-18T06:21:00Z,3.00,98.00
2026-02-18T06:22:00Z,3.00,98.00
2026-02-18T06:23:00Z,3.00,98.00
2026-02-18T06:24:00Z,3.00,98.00
2026-02-18T06:28:00Z,3.00,98.00
2026-02-18T06:30:00Z,3.00,98.00
2026-02-18T06:33:00Z,3.00,98.00
2026-02-18T06:37:00Z,3.00,98.00
2026-02-18T06:41:00Z,3.00,98.00
2026-02-18T06:42:00Z,3.00,98.00
2026-02-18T06:43:00Z,3.00,98.00
2026-02-18T06:44:00Z,3.00,98.00
2026-02-18T06:46:00Z,3.00,98.00
2026-02-18T06:49:00Z,3.00,98.00
2026-02-18T06:50:00Z,2.00,98.00
2026-02-18T06:53:00Z,3.00,98.00
2026-02-18T06:57:00Z,3.20,98.00
2026-02-18T07:00:00Z,4.00,98.00
2026-02-18T07:01:00Z,4.00,98.00
2026-02-18T07:04:00Z,4.00,97.00
2026-02-18T07:06:00Z,4.00,97.00
2026-02-18T07:07:00Z,4.00,98.00
2026-02-18T07:11:00Z,4.00,98.00
2026-02-18T07:13:00Z,4.00,98.00
2026-02-18T07:17:00Z,4.00,98.00
2026-02-18T07:18:00Z,4.00,98.00
2026-02-18T07:21:00Z,4.00,98.00
2026-02-18T07:22:00Z,4.00,98.00
2026-02-18T07:25:00Z,4.00,98.00
2026-02-18T07:26:00Z,3.00,98.00
2026-02-18T07:31:00Z,3.00,98.00
2026-02-18T07:33:00Z,4.00,98.00
2026-02-18T07:35:00Z,4.00,98.00
2026-02-18T07:42:00Z,4.00,98.00
2026-02-18T07:47:00Z,4.00,98.00
2026-02-18T07:51:00Z,4.00,98.00
2026-02-18T08:01:00Z,4.00,98.00
2026-02-18T08:08:00Z,4.00,98.00
2026-02-18T08:13:00Z,4.00,98.00
2026-02-18T08:20:00Z,4.00,98.00
2026-02-18T08:21:00Z,4.00,98.00
2026-02-18T08:28:00Z,4.00,98.00
2026-02-18T08:30:00Z,4.00,97.06
2026-02-18T08:32:00Z,3.00,97.06
2026-02-18T08:36:00Z,3.00,98.00
2026-02-18T08:41:00Z,4.00,98.00
2026-02-18T08:43:00Z,4.00,98.00
2026-02-18T08:51:00Z,4.00,98.00
2026-02-18T09:05:00Z,4.00,98.00
2026-02-18T09:09:00Z,4.00,98.00
2026-02-18T09:16:00Z,4.00,98.00
2026-02-18T09:17:00Z,4.00,98.00
2026-02-18T09:18:00Z,4.00,98.00
2026-02-18T09:19:00Z,4.00,98.00
2026-02-18T09:22:00Z,4.00,98.00
2026-02-18T09:32:00Z,4.00,98.00
2026-02-18T09:35:00Z,4.00,98.00
2026-02-18T09:37:00Z,4.00,98.00
2026-02-18T09:39:00Z,4.00,98.00
2026-02-18T09:49:00Z,4.00,98.00
2026-02-18T09:52:00Z,4.00,98.00
2026-02-18T09:55:00Z,4.00,98.00
2026-02-18T09:58:00Z,4.00,98.00
2026-02-18T09:59:00Z,4.00,98.00
2026-02-18T10:03:00Z,4.00,98.00
2026-02-18T10:05:00Z,4.00,98.00
2026-02-18T10:27:00Z,4.00,98.00
2026-02-18T10:28:00Z,4.00,98.00
2026-02-18T10:29:00Z,4.00,98.00
2026-02-18T10:31:00Z,4.00,98.00
2026-02-18T10:36:00Z,4.00,98.00
2026-02-18T10:37:00Z,4.00,98.00
2026-02-18T10:38:00Z,4.00,98.00
2026-02-18T10:45:00Z,4.00,98.00
2026-02-18T10:46:00Z,4.00,98.00
2026-02-18T10:47:00Z,4.00,98.00
2026-02-18T10:48:00Z,4.00,98.00
2026-02-18T10:50:00Z,4.00,98.00
2026-02-18T10:51:00Z,4.00,98.00
2026-02-18T10:53:00Z,4.00,98.00
2026-02-18T10:56:00Z,4.00,98.00
2026-02-18T10:58:00Z,4.00,97.00
2026-02-18T11:09:00Z,4.00,98.00
