# event_ticker=KXATPCHALLENGERMATCH-26APR30COPROY
# final_score=6-4 7-6(8)
# score_resolution=6-4 7-6
# match_winner=Kimmer Coppejans
# fav_player=Kimmer Coppejans
# dog_player=Valentin Royer
# kalshi_date=2026-04-30
timestamp,Kimmer Coppejans,Valentin Royer
2026-04-29T23:04:00Z,,74.00
2026-04-30T00:27:00Z,,72.00
2026-04-30T00:48:00Z,,74.00
2026-04-30T01:40:00Z,28.00,74.00
2026-04-30T02:28:00Z,28.00,73.00
2026-04-30T02:50:00Z,28.00,73.00
2026-04-30T02:51:00Z,28.00,73.00
2026-04-30T04:03:00Z,27.00,73.00
2026-04-30T04:44:00Z,27.00,73.00
2026-04-30T05:00:00Z,27.00,73.00
2026-04-30T05:18:00Z,27.00,73.00
2026-04-30T05:30:00Z,27.00,73.00
2026-04-30T06:00:00Z,27.00,73.00
2026-04-30T06:27:00Z,27.00,73.29
2026-04-30T06:44:00Z,27.00,73.00
2026-04-30T06:45:00Z,27.00,73.00
2026-04-30T06:46:00Z,27.00,74.37
2026-04-30T06:47:00Z,27.00,75.00
2026-04-30T06:48:00Z,27.00,75.48
2026-04-30T06:50:00Z,27.00,75.00
2026-04-30T09:03:00Z,27.00,74.00
2026-04-30T09:12:00Z,27.00,75.00
2026-04-30T09:17:00Z,26.00,75.00
2026-04-30T09:30:00Z,26.00,75.00
2026-04-30T09:32:00Z,26.00,75.00
2026-04-30T09:55:00Z,26.00,75.00
2026-04-30T10:00:00Z,26.00,75.00
2026-04-30T10:01:00Z,26.00,75.00
2026-04-30T10:03:00Z,26.00,75.00
2026-04-30T10:07:00Z,26.00,75.00
2026-04-30T10:12:00Z,26.00,75.00
2026-04-30T10:17:00Z,25.00,76.00
2026-04-30T10:22:00Z,25.00,76.00
2026-04-30T10:28:00Z,25.00,75.00
2026-04-30T10:31:00Z,26.00,75.00
2026-04-30T10:35:00Z,26.00,75.00
2026-04-30T10:36:00Z,26.00,75.00
2026-04-30T10:48:00Z,26.00,75.00
2026-04-30T10:49:00Z,26.00,75.00
2026-04-30T10:51:00Z,26.00,75.00
2026-04-30T10:52:00Z,26.00,75.00
2026-04-30T10:54:00Z,26.00,75.50
2026-04-30T10:56:00Z,26.00,78.00
2026-04-30T10:57:00Z,21.00,78.30
2026-04-30T10:58:00Z,20.72,82.51
2026-04-30T10:59:00Z,21.80,79.46
2026-04-30T11:00:00Z,22.00,79.46
2026-04-30T11:01:00Z,24.87,75.00
2026-04-30T11:02:00Z,24.18,77.55
2026-04-30T11:03:00Z,21.27,79.00
2026-04-30T11:04:00Z,21.00,80.72
2026-04-30T11:05:00Z,21.00,80.72
2026-04-30T11:06:00Z,22.86,78.00
2026-04-30T11:07:00Z,24.00,78.00
2026-04-30T11:08:00Z,25.71,77.99
2026-04-30T11:09:00Z,25.96,74.78
2026-04-30T11:10:00Z,27.33,74.90
2026-04-30T11:11:00Z,30.84,73.62
2026-04-30T11:13:00Z,24.00,78.00
2026-04-30T11:15:00Z,24.00,75.00
2026-04-30T11:16:00Z,25.65,75.00
2026-04-30T11:18:00Z,30.29,72.00
2026-04-30T11:19:00Z,26.00,72.00
2026-04-30T11:20:00Z,26.00,75.14
2026-04-30T11:21:00Z,26.03,73.15
2026-04-30T11:22:00Z,27.00,73.15
2026-04-30T11:23:00Z,31.06,68.85
2026-04-30T11:24:00Z,30.00,67.11
2026-04-30T11:25:00Z,26.79,67.11
2026-04-30T11:26:00Z,25.00,67.11
2026-04-30T11:27:00Z,25.00,77.48
