# event_ticker=KXATPCHALLENGERMATCH-26MAY26SMISVA
# final_score=6-2 7-5
# match_winner=Colton Smith
# fav_player=Colton Smith
# dog_player=Trevor Svajda
# kalshi_date=2026-05-26
timestamp,Colton Smith,Trevor Svajda
2026-05-26T12:47:00Z,69.00,
2026-05-26T13:20:00Z,67.00,
2026-05-26T13:22:00Z,67.00,34.00
2026-05-26T13:24:00Z,67.00,34.00
2026-05-26T13:56:00Z,67.00,35.00
2026-05-26T14:42:00Z,66.00,35.00
2026-05-26T17:18:00Z,65.00,35.00
2026-05-26T18:13:00Z,65.00,35.00
2026-05-26T18:28:00Z,65.00,35.00
2026-05-26T18:44:00Z,65.00,35.00
2026-05-26T19:23:00Z,65.00,35.00
2026-05-26T19:41:00Z,65.68,35.00
2026-05-26T19:42:00Z,65.68,35.00
2026-05-26T19:43:00Z,66.00,35.00
2026-05-26T19:44:00Z,66.00,35.00
2026-05-26T19:46:00Z,65.00,35.00
2026-05-26T19:50:00Z,65.00,35.53
2026-05-26T20:04:00Z,65.00,35.53
2026-05-26T20:05:00Z,66.00,35.53
2026-05-26T20:07:00Z,66.00,35.53
2026-05-26T20:13:00Z,66.00,35.53
2026-05-26T20:19:00Z,66.00,35.53
2026-05-26T20:20:00Z,66.00,35.53
2026-05-26T20:33:00Z,66.00,37.48
2026-05-26T20:38:00Z,66.00,38.00
2026-05-26T20:39:00Z,66.00,37.91
2026-05-26T20:42:00Z,66.00,37.96
2026-05-26T20:43:00Z,64.00,37.96
2026-05-26T20:55:00Z,64.00,37.99
2026-05-26T20:59:00Z,64.00,38.81
2026-05-26T21:01:00Z,64.00,39.00
2026-05-26T21:06:00Z,65.00,37.95
2026-05-26T21:09:00Z,65.54,37.95
2026-05-26T21:12:00Z,65.99,37.95
2026-05-26T21:14:00Z,65.00,37.95
2026-05-26T21:16:00Z,65.00,37.95
2026-05-26T21:17:00Z,65.00,36.00
2026-05-26T21:18:00Z,66.00,36.00
2026-05-26T21:19:00Z,65.30,36.04
