# event_ticker=KXATPCHALLENGERMATCH-26APR10LANGAS
# final_score=6-3 6-2
# match_winner=Martin Landaluce
# fav_player=Martin Landaluce
# dog_player=Hugo Gaston
# kalshi_date=2026-04-10
timestamp,Martin Landaluce,Hugo Gaston
2026-04-09T23:44:00Z,,46.00
2026-04-09T23:46:00Z,55.00,46.00
2026-04-10T00:22:00Z,55.80,46.00
2026-04-10T00:24:00Z,56.00,46.00
2026-04-10T00:40:00Z,56.00,46.00
2026-04-10T00:59:00Z,56.00,46.00
2026-04-10T01:00:00Z,56.00,46.00
2026-04-10T01:17:00Z,56.00,47.00
2026-04-10T01:29:00Z,56.00,47.00
2026-04-10T01:30:00Z,56.00,47.00
2026-04-10T01:36:00Z,56.00,47.00
2026-04-10T01:37:00Z,56.00,47.00
2026-04-10T02:00:00Z,56.00,47.00
2026-04-10T02:03:00Z,56.00,46.00
2026-04-10T02:26:00Z,56.00,46.00
2026-04-10T02:27:00Z,56.00,46.00
2026-04-10T02:48:00Z,56.00,44.00
2026-04-10T02:59:00Z,56.00,44.00
2026-04-10T03:13:00Z,56.00,44.00
2026-04-10T03:31:00Z,56.00,45.00
2026-04-10T03:34:00Z,56.00,45.00
2026-04-10T03:50:00Z,56.70,45.00
2026-04-10T03:51:00Z,57.62,45.00
2026-04-10T03:57:00Z,58.00,45.00
2026-04-10T04:01:00Z,57.00,43.00
2026-04-10T04:04:00Z,56.00,43.00
2026-04-10T04:16:00Z,56.00,43.00
2026-04-10T04:18:00Z,56.00,43.00
2026-04-10T04:21:00Z,56.00,43.00
2026-04-10T04:24:00Z,56.00,43.00
2026-04-10T04:35:00Z,56.00,43.00
2026-04-10T04:47:00Z,56.00,45.00
2026-04-10T04:48:00Z,56.00,45.00
2026-04-10T04:55:00Z,56.00,45.00
2026-04-10T05:02:00Z,56.00,45.00
2026-04-10T05:04:00Z,56.00,45.00
2026-04-10T05:12:00Z,55.00,45.00
2026-04-10T05:19:00Z,55.00,46.00
2026-04-10T05:20:00Z,55.00,45.98
2026-04-10T05:22:00Z,54.00,45.98
2026-04-10T05:24:00Z,55.00,45.98
2026-04-10T05:31:00Z,55.00,46.00
2026-04-10T05:32:00Z,55.00,46.00
2026-04-10T05:41:00Z,55.00,46.00
2026-04-10T05:47:00Z,55.00,46.00
2026-04-10T05:48:00Z,56.00,46.00
2026-04-10T05:53:00Z,56.00,46.00
2026-04-10T05:59:00Z,56.00,46.00
2026-04-10T06:03:00Z,56.00,45.00
2026-04-10T06:06:00Z,56.00,45.00
2026-04-10T06:13:00Z,56.00,45.00
2026-04-10T06:19:00Z,57.00,45.00
2026-04-10T06:28:00Z,57.00,45.00
2026-04-10T06:29:00Z,57.00,45.00
2026-04-10T06:32:00Z,57.00,43.00
2026-04-10T06:47:00Z,56.69,43.00
2026-04-10T06:48:00Z,57.00,43.00
2026-04-10T06:50:00Z,57.00,43.00
2026-04-10T06:52:00Z,57.11,43.00
2026-04-10T06:53:00Z,57.11,43.00
2026-04-10T06:54:00Z,57.11,43.40
2026-04-10T06:55:00Z,57.00,43.40
2026-04-10T06:56:00Z,57.00,43.00
2026-04-10T06:59:00Z,58.00,43.00
2026-04-10T07:04:00Z,57.00,43.00
2026-04-10T07:10:00Z,58.00,43.00
2026-04-10T07:11:00Z,58.00,44.00
2026-04-10T07:15:00Z,58.00,44.00
2026-04-10T07:18:00Z,58.00,44.00
2026-04-10T07:22:00Z,58.00,44.00
2026-04-10T07:23:00Z,58.00,42.00
2026-04-10T07:25:00Z,59.00,42.00
2026-04-10T07:30:00Z,59.00,42.00
2026-04-10T07:34:00Z,59.00,43.00
2026-04-10T07:35:00Z,58.83,42.00
2026-04-10T07:38:00Z,58.83,43.00
2026-04-10T07:56:00Z,59.00,43.00
2026-04-10T08:02:00Z,59.00,43.00
2026-04-10T08:07:00Z,59.00,43.00
2026-04-10T08:27:00Z,59.00,43.00
2026-04-10T08:30:00Z,59.00,43.00
2026-04-10T08:37:00Z,59.00,43.00
2026-04-10T08:43:00Z,59.00,43.00
2026-04-10T08:51:00Z,59.00,43.00
2026-04-10T08:59:00Z,59.00,43.00
2026-04-10T09:09:00Z,59.00,43.00
2026-04-10T09:11:00Z,57.17,44.00
2026-04-10T09:12:00Z,57.17,44.12
2026-04-10T09:20:00Z,57.00,44.12
2026-04-10T09:22:00Z,57.00,44.12
2026-04-10T09:26:00Z,57.00,45.00
2026-04-10T09:35:00Z,57.00,45.00
2026-04-10T09:45:00Z,57.00,45.00
2026-04-10T09:56:00Z,57.00,45.00
2026-04-10T10:01:00Z,57.00,45.00
2026-04-10T10:04:00Z,57.00,45.00
2026-04-10T10:06:00Z,57.00,45.00
2026-04-10T10:07:00Z,57.00,45.00
2026-04-10T10:08:00Z,57.00,45.00
2026-04-10T10:09:00Z,57.00,45.00
2026-04-10T10:11:00Z,57.00,45.00
2026-04-10T10:12:00Z,57.00,45.00
2026-04-10T10:14:00Z,57.00,45.00
2026-04-10T10:17:00Z,57.00,45.00
2026-04-10T10:18:00Z,57.00,45.00
2026-04-10T10:19:00Z,57.00,45.00
2026-04-10T10:20:00Z,57.00,45.00
2026-04-10T10:21:00Z,57.00,45.00
2026-04-10T10:22:00Z,57.96,45.00
2026-04-10T10:23:00Z,57.96,45.00
2026-04-10T10:27:00Z,57.00,45.00
2026-04-10T10:28:00Z,58.00,45.00
2026-04-10T10:29:00Z,58.00,45.00
2026-04-10T10:30:00Z,58.00,45.00
2026-04-10T10:32:00Z,58.00,45.00
2026-04-10T10:36:00Z,58.00,45.00
2026-04-10T10:37:00Z,58.00,45.00
2026-04-10T10:38:00Z,58.00,45.00
2026-04-10T10:39:00Z,57.76,45.00
2026-04-10T10:45:00Z,58.00,44.00
2026-04-10T10:47:00Z,58.00,44.00
2026-04-10T10:48:00Z,58.00,44.00
2026-04-10T10:49:00Z,58.00,41.00
2026-04-10T10:51:00Z,58.00,41.00
2026-04-10T10:52:00Z,58.60,41.00
2026-04-10T10:59:00Z,59.00,41.00
2026-04-10T11:00:00Z,59.00,42.04
2026-04-10T11:01:00Z,58.79,43.00
2026-04-10T11:03:00Z,59.00,43.00
2026-04-10T11:04:00Z,59.00,43.00
2026-04-10T11:05:00Z,59.00,43.00
2026-04-10T11:07:00Z,59.00,43.00
2026-04-10T11:08:00Z,59.00,43.00
2026-04-10T11:09:00Z,59.00,43.00
2026-04-10T11:10:00Z,55.07,42.03
2026-04-10T11:11:00Z,53.03,51.55
2026-04-10T11:12:00Z,54.77,48.00
2026-04-10T11:13:00Z,53.41,48.00
2026-04-10T11:14:00Z,59.03,45.83
2026-04-10T11:15:00Z,58.04,40.04
2026-04-10T11:16:00Z,59.30,40.04
2026-04-10T11:17:00Z,62.00,40.00
2026-04-10T11:18:00Z,57.00,41.00
2026-04-10T11:19:00Z,57.02,44.03
2026-04-10T11:20:00Z,56.47,47.87
2026-04-10T11:21:00Z,57.77,45.88
2026-04-10T11:22:00Z,57.93,45.88
2026-04-10T11:23:00Z,60.49,40.00
2026-04-10T11:24:00Z,60.49,38.00
2026-04-10T11:25:00Z,56.05,41.68
2026-04-10T11:26:00Z,56.62,43.97
2026-04-10T11:27:00Z,56.88,43.05
2026-04-10T11:28:00Z,58.00,43.05
2026-04-10T11:29:00Z,56.82,47.10
2026-04-10T11:30:00Z,55.72,49.00
2026-04-10T11:31:00Z,55.63,44.28
2026-04-10T11:32:00Z,55.63,49.00
2026-04-10T11:33:00Z,55.84,44.00
2026-04-10T11:34:00Z,60.01,40.00
2026-04-10T11:35:00Z,62.90,37.00
2026-04-10T11:36:00Z,62.90,37.06
2026-04-10T11:37:00Z,62.90,38.00
2026-04-10T11:38:00Z,68.32,37.18
2026-04-10T11:39:00Z,64.26,41.46
2026-04-10T11:40:00Z,65.14,37.87
2026-04-10T11:41:00Z,66.51,36.35
2026-04-10T11:42:00Z,66.00,38.00
2026-04-10T11:43:00Z,60.09,38.75
2026-04-10T11:44:00Z,63.67,38.09
2026-04-10T11:45:00Z,60.11,38.71
2026-04-10T11:46:00Z,62.67,41.58
2026-04-10T11:47:00Z,59.77,41.75
2026-04-10T11:48:00Z,63.24,37.29
2026-04-10T11:49:00Z,67.13,31.76
2026-04-10T11:50:00Z,69.94,32.31
2026-04-10T11:51:00Z,68.35,34.25
2026-04-10T11:52:00Z,68.26,33.92
2026-04-10T11:53:00Z,63.44,38.92
2026-04-10T11:54:00Z,63.88,39.28
2026-04-10T11:55:00Z,75.61,17.30
2026-04-10T11:56:00Z,80.23,19.55
2026-04-10T11:57:00Z,84.70,17.60
2026-04-10T11:58:00Z,84.86,15.01
2026-04-10T11:59:00Z,84.05,16.14
2026-04-10T12:00:00Z,85.00,16.00
2026-04-10T12:01:00Z,83.01,17.00
2026-04-10T12:02:00Z,83.59,17.00
2026-04-10T12:03:00Z,83.64,17.00
2026-04-10T12:04:00Z,83.94,17.01
2026-04-10T12:05:00Z,82.55,19.16
2026-04-10T12:06:00Z,82.09,18.68
2026-04-10T12:07:00Z,84.68,15.87
2026-04-10T12:08:00Z,83.88,17.95
2026-04-10T12:09:00Z,81.00,19.98
2026-04-10T12:10:00Z,81.54,18.03
2026-04-10T12:11:00Z,84.26,17.00
2026-04-10T12:12:00Z,85.96,16.00
2026-04-10T12:13:00Z,85.53,15.95
2026-04-10T12:14:00Z,85.00,15.45
2026-04-10T12:15:00Z,84.32,17.29
2026-04-10T12:16:00Z,86.22,14.45
2026-04-10T12:17:00Z,86.55,13.93
2026-04-10T12:18:00Z,93.50,9.04
2026-04-10T12:19:00Z,93.68,5.64
2026-04-10T12:20:00Z,94.09,6.01
2026-04-10T12:21:00Z,94.07,4.18
2026-04-10T12:22:00Z,94.11,4.96
2026-04-10T12:23:00Z,95.98,5.01
2026-04-10T12:24:00Z,96.09,3.29
2026-04-10T12:25:00Z,96.38,3.41
2026-04-10T12:26:00Z,95.10,5.08
2026-04-10T12:27:00Z,98.61,1.15
2026-04-10T12:28:00Z,99.00,1.00
