# event_ticker=KXATPCHALLENGERMATCH-26APR15KINMMO
# final_score=4-6 7-6(4) 6-4
# score_resolution=6-4 6-7 4-6
# match_winner=Michael Mmoh
# fav_player=Cannon Kingsley
# dog_player=Michael Mmoh
# kalshi_date=2026-04-15
timestamp,Cannon Kingsley,Michael Mmoh
2026-04-15T05:26:00Z,28.00,
2026-04-15T05:42:00Z,28.00,75.00
2026-04-15T06:09:00Z,28.00,75.00
2026-04-15T07:26:00Z,28.00,72.11
2026-04-15T07:52:00Z,28.00,73.00
2026-04-15T09:02:00Z,28.00,73.00
2026-04-15T09:15:00Z,28.00,73.00
2026-04-15T09:58:00Z,28.00,73.00
2026-04-15T10:04:00Z,28.00,75.00
2026-04-15T10:22:00Z,28.00,74.00
2026-04-15T12:58:00Z,28.00,75.00
2026-04-15T13:36:00Z,26.00,75.00
2026-04-15T13:54:00Z,26.00,76.00
2026-04-15T14:00:00Z,26.00,76.00
2026-04-15T14:12:00Z,26.00,76.00
2026-04-15T14:49:00Z,26.00,76.00
2026-04-15T15:10:00Z,26.00,76.00
2026-04-15T15:13:00Z,25.00,76.00
2026-04-15T15:19:00Z,25.00,76.00
2026-04-15T15:32:00Z,25.00,76.00
2026-04-15T15:47:00Z,25.00,77.99
2026-04-15T15:56:00Z,25.00,77.99
2026-04-15T16:03:00Z,25.00,77.00
2026-04-15T16:08:00Z,25.00,77.00
2026-04-15T16:12:00Z,25.94,77.00
2026-04-15T16:22:00Z,25.94,77.00
2026-04-15T16:29:00Z,25.94,77.00
2026-04-15T16:32:00Z,25.94,78.00
2026-04-15T16:34:00Z,25.94,78.00
2026-04-15T16:38:00Z,24.00,78.00
2026-04-15T16:41:00Z,24.00,78.00
2026-04-15T16:47:00Z,24.00,78.00
2026-04-15T16:50:00Z,24.00,78.00
2026-04-15T16:55:00Z,24.00,78.00
2026-04-15T16:56:00Z,25.89,77.00
2026-04-15T17:00:00Z,25.89,77.00
2026-04-15T17:01:00Z,25.00,77.00
2026-04-15T17:02:00Z,24.00,78.00
2026-04-15T17:03:00Z,24.00,77.87
2026-04-15T17:04:00Z,24.00,78.00
2026-04-15T17:05:00Z,25.06,78.00
2026-04-15T17:06:00Z,24.64,76.65
2026-04-15T17:07:00Z,29.00,72.34
2026-04-15T17:08:00Z,30.25,70.00
2026-04-15T17:09:00Z,34.58,64.78
2026-04-15T17:10:00Z,38.12,62.98
2026-04-15T17:11:00Z,38.67,63.72
2026-04-15T17:12:00Z,30.01,69.13
2026-04-15T17:13:00Z,26.90,71.78
2026-04-15T17:14:00Z,26.12,74.00
2026-04-15T17:15:00Z,29.70,71.00
2026-04-15T17:16:00Z,33.04,68.74
2026-04-15T17:17:00Z,33.64,68.32
2026-04-15T17:18:00Z,35.24,67.75
2026-04-15T17:19:00Z,35.93,65.92
2026-04-15T17:20:00Z,37.86,64.00
2026-04-15T17:21:00Z,38.49,63.63
2026-04-15T17:22:00Z,39.79,62.24
2026-04-15T17:23:00Z,44.94,57.27
2026-04-15T17:24:00Z,44.07,56.29
2026-04-15T17:25:00Z,47.76,53.71
2026-04-15T17:26:00Z,45.87,57.83
2026-04-15T17:27:00Z,46.12,55.15
2026-04-15T17:28:00Z,49.80,56.01
2026-04-15T17:29:00Z,46.19,56.96
2026-04-15T17:30:00Z,42.56,59.74
2026-04-15T17:31:00Z,40.11,61.00
2026-04-15T17:32:00Z,41.01,59.00
2026-04-15T17:33:00Z,46.67,54.66
2026-04-15T17:34:00Z,48.97,51.66
2026-04-15T17:35:00Z,49.88,51.18
2026-04-15T17:36:00Z,50.44,52.32
2026-04-15T17:37:00Z,52.76,51.17
2026-04-15T17:38:00Z,50.47,51.23
2026-04-15T17:39:00Z,51.14,50.26
2026-04-15T17:40:00Z,54.82,49.10
2026-04-15T17:41:00Z,58.51,42.32
2026-04-15T17:42:00Z,57.03,43.86
2026-04-15T17:43:00Z,56.51,45.43
2026-04-15T17:44:00Z,56.97,46.17
2026-04-15T17:45:00Z,52.94,48.79
2026-04-15T17:46:00Z,59.81,42.09
2026-04-15T17:47:00Z,56.80,44.36
2026-04-15T17:48:00Z,56.56,45.55
2026-04-15T17:49:00Z,62.18,39.41
2026-04-15T17:50:00Z,58.59,40.62
2026-04-15T17:51:00Z,58.45,42.31
2026-04-15T17:52:00Z,57.45,43.34
2026-04-15T17:53:00Z,55.89,45.97
2026-04-15T17:54:00Z,55.09,45.49
2026-04-15T17:55:00Z,52.39,47.57
2026-04-15T17:56:00Z,48.14,51.18
2026-04-15T17:57:00Z,36.42,60.07
2026-04-15T17:58:00Z,40.53,58.22
