# event_ticker=KXATPCHALLENGERMATCH-26MAR09FOROUA
# final_score=6-1 6-2
# score_resolution=1-6 2-6
# match_winner=Jonas Forejtek
# fav_player=Aziz Ouakaa
# dog_player=Jonas Forejtek
# kalshi_date=2026-03-09
timestamp,Aziz Ouakaa,Jonas Forejtek
2026-03-09T00:29:00Z,15.00,
2026-03-09T04:59:00Z,15.00,89.00
2026-03-09T05:10:00Z,11.00,89.00
2026-03-09T05:57:00Z,11.00,89.00
2026-03-09T05:58:00Z,11.00,89.00
2026-03-09T06:07:00Z,12.00,89.00
2026-03-09T06:33:00Z,12.00,89.00
2026-03-09T07:23:00Z,11.00,89.00
2026-03-09T10:17:00Z,12.00,89.00
2026-03-09T10:47:00Z,12.13,89.00
2026-03-09T11:04:00Z,12.00,89.00
2026-03-09T11:06:00Z,12.00,89.00
2026-03-09T11:07:00Z,11.00,90.81
2026-03-09T11:09:00Z,11.00,90.81
2026-03-09T11:10:00Z,10.71,90.00
2026-03-09T11:11:00Z,10.00,90.52
2026-03-09T11:12:00Z,8.64,90.52
2026-03-09T11:13:00Z,8.00,93.00
2026-03-09T11:14:00Z,7.00,93.00
2026-03-09T11:15:00Z,7.00,94.00
2026-03-09T11:16:00Z,4.04,95.47
2026-03-09T11:17:00Z,6.00,95.47
2026-03-09T11:18:00Z,4.00,95.47
2026-03-09T11:20:00Z,5.76,95.47
2026-03-09T11:22:00Z,4.74,96.00
2026-03-09T11:23:00Z,4.74,96.00
2026-03-09T11:24:00Z,6.00,96.93
2026-03-09T11:25:00Z,5.00,96.93
2026-03-09T11:26:00Z,5.00,96.00
2026-03-09T11:27:00Z,6.00,95.01
2026-03-09T11:28:00Z,5.16,95.01
2026-03-09T11:29:00Z,5.16,96.00
2026-03-09T11:30:00Z,5.00,96.00
2026-03-09T11:31:00Z,5.00,96.00
2026-03-09T11:32:00Z,5.00,95.00
2026-03-09T11:33:00Z,3.00,97.25
2026-03-09T11:34:00Z,3.00,98.00
2026-03-09T11:35:00Z,3.00,99.00
2026-03-09T11:36:00Z,2.00,99.00
2026-03-09T11:37:00Z,2.00,99.00
2026-03-09T11:38:00Z,2.00,99.00
2026-03-09T11:40:00Z,2.62,98.00
2026-03-09T11:41:00Z,4.00,98.00
2026-03-09T11:42:00Z,4.00,97.00
2026-03-09T11:43:00Z,8.66,94.51
2026-03-09T11:44:00Z,3.99,95.52
2026-03-09T11:45:00Z,4.00,97.00
2026-03-09T11:46:00Z,4.00,97.00
2026-03-09T11:47:00Z,4.00,97.00
2026-03-09T11:48:00Z,4.40,96.00
2026-03-09T11:49:00Z,3.00,96.15
2026-03-09T11:51:00Z,5.00,96.15
2026-03-09T11:52:00Z,6.08,96.00
2026-03-09T11:53:00Z,5.94,96.00
2026-03-09T11:54:00Z,4.90,95.79
2026-03-09T11:55:00Z,3.98,97.00
2026-03-09T11:56:00Z,4.00,96.48
2026-03-09T11:57:00Z,4.00,95.12
2026-03-09T11:58:00Z,3.00,98.00
2026-03-09T11:59:00Z,3.00,98.69
2026-03-09T12:00:00Z,2.83,98.00
2026-03-09T12:01:00Z,7.54,94.75
2026-03-09T12:02:00Z,2.24,97.01
2026-03-09T12:03:00Z,3.00,97.01
2026-03-09T12:06:00Z,1.00,99.00
2026-03-09T12:07:00Z,1.07,99.00
2026-03-09T12:11:00Z,2.00,99.00
2026-03-09T12:13:00Z,1.00,99.00
