# event_ticker=KXATPCHALLENGERMATCH-26JUN01PINVUK
# final_score=2-6 6-4 6-3
# score_resolution=6-2 4-6 3-6
# match_winner=Aleksandar Vukic
# fav_player=Jack Pinnington Jones
# dog_player=Aleksandar Vukic
# kalshi_date=2026-06-01
timestamp,Jack Pinnington Jones,Aleksandar Vukic
2026-06-02T05:11:00Z,56.00,
2026-06-02T06:28:00Z,55.00,
2026-06-02T07:46:00Z,55.00,46.00
2026-06-02T08:20:00Z,55.00,47.00
2026-06-02T10:12:00Z,55.00,46.00
2026-06-02T10:21:00Z,56.00,46.00
2026-06-02T10:24:00Z,56.00,46.00
2026-06-02T11:20:00Z,56.00,46.00
2026-06-02T12:09:00Z,56.00,46.00
2026-06-02T12:19:00Z,56.00,46.00
2026-06-02T12:23:00Z,56.00,46.00
2026-06-02T12:27:00Z,56.00,46.00
2026-06-02T12:30:00Z,56.00,46.00
2026-06-02T12:43:00Z,56.00,44.32
2026-06-02T12:46:00Z,56.00,44.32
2026-06-02T12:49:00Z,56.00,44.32
2026-06-02T12:54:00Z,56.00,44.32
2026-06-02T12:58:00Z,56.00,44.32
2026-06-02T12:59:00Z,56.00,44.32
2026-06-02T13:02:00Z,56.00,44.32
2026-06-02T13:05:00Z,56.00,44.32
2026-06-02T13:07:00Z,56.00,44.32
2026-06-02T13:10:00Z,56.00,44.32
2026-06-02T13:32:00Z,56.00,44.32
2026-06-02T13:34:00Z,56.00,44.32
2026-06-02T13:35:00Z,56.57,44.32
2026-06-02T13:40:00Z,57.00,44.32
2026-06-02T13:45:00Z,57.00,44.32
2026-06-02T13:46:00Z,57.00,44.32
2026-06-02T13:54:00Z,56.93,44.32
2026-06-02T14:04:00Z,57.00,44.32
2026-06-02T14:07:00Z,57.00,43.00
2026-06-02T14:09:00Z,57.00,43.00
2026-06-02T14:10:00Z,57.00,43.00
2026-06-02T14:12:00Z,57.85,43.00
2026-06-02T14:17:00Z,57.85,45.00
2026-06-02T14:20:00Z,57.85,45.00
2026-06-02T14:21:00Z,57.85,45.75
2026-06-02T14:22:00Z,57.85,46.00
2026-06-02T14:23:00Z,57.85,46.00
2026-06-02T14:25:00Z,57.00,46.00
2026-06-02T14:26:00Z,57.00,43.00
2026-06-02T14:27:00Z,56.74,43.00
2026-06-02T14:28:00Z,56.74,46.00
2026-06-02T14:29:00Z,57.00,47.34
2026-06-02T14:30:00Z,57.00,47.00
2026-06-02T14:34:00Z,57.00,46.90
2026-06-02T14:35:00Z,57.00,46.90
2026-06-02T14:36:00Z,57.00,46.90
2026-06-02T14:38:00Z,57.82,46.90
2026-06-02T14:39:00Z,57.82,43.00
2026-06-02T14:41:00Z,57.00,46.00
2026-06-02T14:43:00Z,57.00,46.00
2026-06-02T14:45:00Z,57.00,46.00
2026-06-02T14:46:00Z,57.00,46.00
2026-06-02T14:49:00Z,57.00,46.00
2026-06-02T14:50:00Z,57.63,46.00
2026-06-02T14:51:00Z,57.00,46.00
2026-06-02T14:57:00Z,57.00,46.90
2026-06-02T14:58:00Z,57.00,46.90
2026-06-02T15:12:00Z,57.00,44.40
2026-06-02T15:13:00Z,57.97,44.40
2026-06-02T15:14:00Z,53.30,44.40
2026-06-02T15:18:00Z,56.00,44.40
2026-06-02T15:19:00Z,56.00,44.40
2026-06-02T15:25:00Z,56.00,45.00
2026-06-02T15:26:00Z,57.00,45.00
2026-06-02T15:27:00Z,57.00,45.63
2026-06-02T15:28:00Z,56.00,46.63
2026-06-02T15:29:00Z,54.99,47.00
2026-06-02T15:30:00Z,55.00,47.00
2026-06-02T15:32:00Z,54.00,47.00
