# event_ticker=KXATPCHALLENGERMATCH-26APR07CADGAS
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Hugo Gaston
# fav_player=Gianluca Cadenasso
# dog_player=Hugo Gaston
# kalshi_date=2026-04-07
timestamp,Gianluca Cadenasso,Hugo Gaston
2026-04-07T01:13:00Z,,60.00
2026-04-07T02:26:00Z,42.00,60.00
2026-04-07T04:11:00Z,42.00,60.00
2026-04-07T04:36:00Z,42.00,60.00
2026-04-07T04:59:00Z,42.71,60.00
2026-04-07T06:04:00Z,42.71,60.00
2026-04-07T06:16:00Z,42.71,60.00
2026-04-07T06:34:00Z,42.71,60.00
2026-04-07T07:07:00Z,42.71,60.00
2026-04-07T08:16:00Z,42.71,60.00
2026-04-07T08:29:00Z,42.71,60.00
2026-04-07T08:49:00Z,42.71,60.00
2026-04-07T10:01:00Z,42.71,60.00
2026-04-07T10:47:00Z,42.71,61.00
2026-04-07T10:51:00Z,42.71,61.00
2026-04-07T10:52:00Z,42.71,61.00
2026-04-07T11:20:00Z,42.71,61.00
2026-04-07T11:22:00Z,42.71,61.00
2026-04-07T11:34:00Z,42.71,61.00
2026-04-07T11:35:00Z,42.71,61.00
2026-04-07T11:36:00Z,42.71,61.00
2026-04-07T11:38:00Z,42.71,61.01
2026-04-07T11:49:00Z,42.71,60.89
2026-04-07T12:05:00Z,42.71,61.00
2026-04-07T12:10:00Z,40.00,61.01
2026-04-07T12:12:00Z,40.00,61.32
2026-04-07T12:17:00Z,41.00,61.23
2026-04-07T12:19:00Z,41.00,61.00
2026-04-07T12:21:00Z,41.94,61.00
2026-04-07T12:22:00Z,41.00,61.00
2026-04-07T12:23:00Z,41.00,61.00
2026-04-07T12:24:00Z,41.69,61.00
2026-04-07T12:27:00Z,41.95,61.00
2026-04-07T12:28:00Z,45.78,56.65
2026-04-07T12:29:00Z,44.76,60.37
2026-04-07T12:30:00Z,44.76,54.00
2026-04-07T12:31:00Z,48.13,54.00
2026-04-07T12:32:00Z,48.13,55.90
2026-04-07T12:33:00Z,41.00,58.00
2026-04-07T12:34:00Z,42.55,58.00
2026-04-07T12:35:00Z,38.00,60.22
2026-04-07T12:36:00Z,41.41,59.53
2026-04-07T12:37:00Z,45.14,54.64
2026-04-07T12:38:00Z,45.14,55.32
2026-04-07T12:39:00Z,46.38,55.98
2026-04-07T12:40:00Z,47.50,58.22
2026-04-07T12:41:00Z,44.00,59.96
2026-04-07T12:42:00Z,44.00,60.01
2026-04-07T12:43:00Z,41.67,58.49
2026-04-07T12:44:00Z,42.42,56.39
