# event_ticker=KXATPCHALLENGERMATCH-26FEB18DIAAGU
# final_score=5-7 7-6(5) 6-3
# score_resolution=5-7 7-6 6-3
# match_winner=Facundo Diaz Acosta
# fav_player=Facundo Diaz Acosta
# dog_player=Joaquin Aguilar Cardozo
# kalshi_date=2026-02-18
timestamp,Facundo Diaz Acosta,Joaquin Aguilar Cardozo
2026-02-18T07:08:00Z,87.00,
2026-02-18T07:18:00Z,87.00,16.00
2026-02-18T07:22:00Z,87.00,18.53
2026-02-18T07:52:00Z,84.00,18.53
2026-02-18T08:56:00Z,84.00,18.53
2026-02-18T09:15:00Z,84.00,18.40
2026-02-18T09:40:00Z,84.00,18.08
2026-02-18T10:03:00Z,84.00,19.00
2026-02-18T10:38:00Z,84.00,19.00
2026-02-18T10:40:00Z,84.00,19.00
2026-02-18T10:51:00Z,84.00,20.00
2026-02-18T11:01:00Z,80.13,20.00
2026-02-18T12:49:00Z,83.00,20.00
2026-02-18T13:01:00Z,83.00,20.00
2026-02-18T14:01:00Z,81.00,20.00
2026-02-18T14:15:00Z,81.00,19.00
2026-02-18T14:25:00Z,84.00,19.00
2026-02-18T14:42:00Z,84.00,19.00
2026-02-18T14:51:00Z,85.00,17.00
2026-02-18T15:10:00Z,85.00,16.00
2026-02-18T15:12:00Z,84.00,16.00
2026-02-18T15:16:00Z,84.00,18.00
2026-02-18T15:20:00Z,84.00,18.00
2026-02-18T15:27:00Z,84.00,18.00
2026-02-18T15:34:00Z,84.00,18.00
2026-02-18T15:51:00Z,84.00,18.00
2026-02-18T16:05:00Z,85.00,18.00
2026-02-18T16:22:00Z,85.00,18.00
2026-02-18T16:28:00Z,85.00,18.00
2026-02-18T16:36:00Z,85.00,18.00
2026-02-18T16:51:00Z,84.00,18.00
2026-02-18T16:57:00Z,84.00,18.00
2026-02-18T17:20:00Z,84.00,18.00
2026-02-18T17:22:00Z,84.97,18.00
2026-02-18T17:25:00Z,84.97,18.00
2026-02-18T17:29:00Z,84.97,18.00
2026-02-18T17:31:00Z,84.00,18.00
2026-02-18T17:32:00Z,84.00,18.00
2026-02-18T17:33:00Z,84.00,18.00
2026-02-18T17:36:00Z,84.98,18.00
2026-02-18T17:43:00Z,84.67,18.00
2026-02-18T17:47:00Z,84.67,18.00
2026-02-18T17:56:00Z,84.67,18.00
2026-02-18T18:11:00Z,84.00,18.00
2026-02-18T18:17:00Z,84.00,18.00
2026-02-18T18:22:00Z,84.94,18.00
2026-02-18T18:23:00Z,84.94,18.00
2026-02-18T18:25:00Z,84.00,18.00
2026-02-18T18:28:00Z,84.00,17.00
2026-02-18T18:29:00Z,84.00,17.00
2026-02-18T18:30:00Z,84.00,17.00
2026-02-18T18:32:00Z,84.00,17.00
2026-02-18T18:37:00Z,85.00,17.00
2026-02-18T18:38:00Z,85.00,17.00
2026-02-18T18:40:00Z,85.00,17.00
2026-02-18T18:44:00Z,86.10,17.00
2026-02-18T18:46:00Z,86.00,17.00
2026-02-18T18:47:00Z,83.00,17.00
2026-02-18T18:49:00Z,86.00,17.00
2026-02-18T18:54:00Z,86.00,17.00
2026-02-18T18:56:00Z,85.00,17.00
2026-02-18T18:58:00Z,85.00,17.00
2026-02-18T18:59:00Z,85.00,17.00
2026-02-18T19:00:00Z,85.00,17.00
2026-02-18T19:01:00Z,85.00,17.00
2026-02-18T19:02:00Z,85.00,16.71
2026-02-18T19:03:00Z,84.05,15.79
2026-02-18T19:04:00Z,83.00,17.90
2026-02-18T19:05:00Z,84.00,25.29
2026-02-18T19:06:00Z,85.32,18.34
2026-02-18T19:07:00Z,82.00,18.07
2026-02-18T19:08:00Z,78.50,22.63
2026-02-18T19:09:00Z,81.05,19.15
2026-02-18T19:10:00Z,77.00,22.18
2026-02-18T19:11:00Z,77.00,20.96
2026-02-18T19:12:00Z,77.36,22.26
2026-02-18T19:13:00Z,78.51,24.23
2026-02-18T19:14:00Z,78.61,22.25
2026-02-18T19:15:00Z,81.00,18.99
2026-02-18T19:16:00Z,83.99,18.98
2026-02-18T19:17:00Z,81.00,19.24
2026-02-18T19:18:00Z,82.12,19.54
2026-02-18T19:19:00Z,80.04,18.69
2026-02-18T19:20:00Z,76.10,24.76
2026-02-18T19:21:00Z,74.00,32.64
2026-02-18T19:22:00Z,70.01,30.91
2026-02-18T19:23:00Z,71.45,29.91
2026-02-18T19:24:00Z,75.65,22.67
2026-02-18T19:25:00Z,75.65,20.57
2026-02-18T19:26:00Z,76.54,27.03
2026-02-18T19:27:00Z,68.00,33.25
2026-02-18T19:28:00Z,68.26,32.85
2026-02-18T19:29:00Z,70.17,32.92
2026-02-18T19:30:00Z,69.31,29.97
2026-02-18T19:31:00Z,73.68,27.89
2026-02-18T19:32:00Z,71.44,29.77
2026-02-18T19:33:00Z,68.00,30.76
2026-02-18T19:34:00Z,65.51,36.05
2026-02-18T19:35:00Z,68.68,33.48
2026-02-18T19:36:00Z,67.87,35.64
2026-02-18T19:37:00Z,70.05,34.52
2026-02-18T19:38:00Z,70.81,32.07
2026-02-18T19:39:00Z,75.15,26.33
2026-02-18T19:40:00Z,80.24,22.37
2026-02-18T19:41:00Z,74.98,26.04
2026-02-18T19:42:00Z,76.53,31.40
2026-02-18T19:43:00Z,67.86,32.90
2026-02-18T19:44:00Z,66.50,31.19
2026-02-18T19:45:00Z,66.00,34.84
2026-02-18T19:46:00Z,66.39,34.76
2026-02-18T19:47:00Z,63.00,37.28
2026-02-18T19:48:00Z,57.18,44.36
2026-02-18T19:49:00Z,56.70,43.19
2026-02-18T19:50:00Z,56.11,45.03
2026-02-18T19:51:00Z,56.85,46.30
2026-02-18T19:52:00Z,58.14,43.53
2026-02-18T19:53:00Z,59.95,41.48
2026-02-18T19:54:00Z,59.71,41.46
2026-02-18T19:55:00Z,59.86,44.22
2026-02-18T19:56:00Z,63.73,41.67
2026-02-18T19:57:00Z,63.06,38.44
2026-02-18T19:58:00Z,61.75,37.24
2026-02-18T19:59:00Z,59.62,44.86
2026-02-18T20:00:00Z,60.55,42.65
2026-02-18T20:01:00Z,56.88,48.42
2026-02-18T20:02:00Z,55.11,46.62
2026-02-18T20:03:00Z,52.19,49.55
