# event_ticker=KXATPMATCH-26MAY06PELNAR
# final_score=4-6 6-3 6-3
# score_resolution=6-4 3-6 3-6
# match_winner=Andrea Pellegrino
# fav_player=Luca Nardi
# dog_player=Andrea Pellegrino
# kalshi_date=2026-05-06
timestamp,Andrea Pellegrino,Luca Nardi
2026-05-07T06:32:00Z,58.00,
2026-05-07T06:40:00Z,58.00,43.00
2026-05-07T06:46:00Z,58.00,43.00
2026-05-07T06:47:00Z,58.00,43.00
2026-05-07T06:48:00Z,58.00,43.00
2026-05-07T06:54:00Z,58.00,43.00
2026-05-07T06:58:00Z,58.00,43.00
2026-05-07T06:59:00Z,59.00,43.00
2026-05-07T07:00:00Z,59.00,43.00
2026-05-07T09:01:00Z,59.00,43.00
2026-05-07T09:02:00Z,59.00,43.00
2026-05-07T09:06:00Z,59.00,43.00
2026-05-07T09:07:00Z,59.00,43.00
2026-05-07T09:21:00Z,59.00,43.00
2026-05-07T09:22:00Z,59.00,43.00
2026-05-07T09:34:00Z,59.00,43.00
2026-05-07T09:38:00Z,59.00,43.00
2026-05-07T09:40:00Z,59.00,43.00
2026-05-07T09:43:00Z,59.00,43.00
2026-05-07T09:44:00Z,59.00,43.00
2026-05-07T09:49:00Z,59.00,41.67
2026-05-07T10:00:00Z,59.00,41.67
2026-05-07T10:01:00Z,59.00,41.00
2026-05-07T10:03:00Z,59.00,41.00
2026-05-07T10:11:00Z,59.00,41.00
2026-05-07T10:22:00Z,59.00,41.00
2026-05-07T10:29:00Z,59.00,41.00
2026-05-07T10:30:00Z,59.00,41.00
2026-05-07T10:35:00Z,58.00,41.00
2026-05-07T11:04:00Z,58.00,41.00
2026-05-07T11:15:00Z,58.00,41.00
2026-05-07T11:18:00Z,58.00,41.00
2026-05-07T11:29:00Z,59.00,41.00
2026-05-07T11:38:00Z,59.00,41.00
2026-05-07T12:00:00Z,59.00,42.00
2026-05-07T12:18:00Z,58.00,42.00
2026-05-07T12:32:00Z,59.00,42.00
2026-05-07T12:37:00Z,59.00,42.00
2026-05-07T12:38:00Z,58.00,42.00
2026-05-07T12:43:00Z,58.00,42.00
2026-05-07T12:47:00Z,58.00,42.00
2026-05-07T13:04:00Z,58.00,42.00
