# event_ticker=KXATPCHALLENGERMATCH-26APR14MORSAK
# final_score=6-4 6-4
# match_winner=Rei Sakamoto
# fav_player=Rei Sakamoto
# dog_player=Alejandro Moro Canas
# kalshi_date=2026-04-14
timestamp,Rei Sakamoto,Alejandro Moro Canas
2026-04-14T15:23:00Z,56.00,
2026-04-14T15:26:00Z,52.00,
2026-04-14T15:43:00Z,52.00,49.00
2026-04-14T15:44:00Z,72.33,42.00
2026-04-14T15:45:00Z,81.00,42.00
2026-04-14T15:46:00Z,82.48,42.00
2026-04-14T15:47:00Z,71.58,42.00
2026-04-14T15:52:00Z,84.00,42.00
2026-04-14T15:53:00Z,84.00,28.00
2026-04-14T15:54:00Z,78.00,28.00
2026-04-14T15:55:00Z,78.00,28.00
2026-04-14T15:57:00Z,79.00,28.00
2026-04-14T15:58:00Z,81.00,28.22
2026-04-14T15:59:00Z,81.00,32.00
2026-04-14T16:00:00Z,80.68,28.00
2026-04-14T16:03:00Z,79.99,28.00
2026-04-14T16:04:00Z,84.91,20.90
2026-04-14T16:05:00Z,84.91,29.00
2026-04-14T16:06:00Z,71.07,34.05
2026-04-14T16:07:00Z,75.08,33.66
2026-04-14T16:08:00Z,68.00,36.25
2026-04-14T16:09:00Z,79.00,37.11
2026-04-14T16:10:00Z,64.87,40.26
2026-04-14T16:11:00Z,64.00,39.34
2026-04-14T16:13:00Z,71.58,42.88
2026-04-14T16:14:00Z,59.41,41.00
2026-04-14T16:15:00Z,59.01,40.32
2026-04-14T16:16:00Z,59.01,34.00
2026-04-14T16:17:00Z,79.25,27.00
2026-04-14T16:18:00Z,69.00,30.97
2026-04-14T16:19:00Z,81.69,30.69
2026-04-14T16:20:00Z,80.00,30.69
2026-04-14T16:21:00Z,78.05,22.10
2026-04-14T16:22:00Z,71.59,25.90
2026-04-14T16:23:00Z,68.15,32.79
2026-04-14T16:24:00Z,64.93,35.00
2026-04-14T16:25:00Z,71.00,30.36
2026-04-14T16:26:00Z,78.38,23.65
2026-04-14T16:27:00Z,80.38,20.00
2026-04-14T16:28:00Z,80.38,22.62
2026-04-14T16:29:00Z,80.00,21.04
2026-04-14T16:30:00Z,81.00,29.43
2026-04-14T16:31:00Z,79.92,22.89
2026-04-14T16:32:00Z,73.00,26.06
2026-04-14T16:33:00Z,69.24,36.78
2026-04-14T16:34:00Z,65.95,37.98
2026-04-14T16:35:00Z,63.05,41.41
2026-04-14T16:36:00Z,61.81,43.11
2026-04-14T16:37:00Z,56.79,46.40
2026-04-14T16:38:00Z,56.82,46.95
2026-04-14T16:39:00Z,56.05,47.00
2026-04-14T16:40:00Z,51.45,53.13
2026-04-14T16:41:00Z,55.75,42.18
2026-04-14T16:42:00Z,59.12,45.35
2026-04-14T16:43:00Z,61.06,46.18
2026-04-14T16:44:00Z,57.04,47.16
2026-04-14T16:45:00Z,53.14,48.36
2026-04-14T16:46:00Z,53.29,54.96
2026-04-14T16:47:00Z,54.26,39.24
2026-04-14T16:48:00Z,58.39,42.13
2026-04-14T16:49:00Z,62.85,39.11
2026-04-14T16:50:00Z,68.91,34.34
2026-04-14T16:51:00Z,65.57,39.91
2026-04-14T16:52:00Z,68.03,35.12
2026-04-14T16:53:00Z,80.20,17.82
2026-04-14T16:54:00Z,78.14,23.63
2026-04-14T16:55:00Z,81.97,18.92
2026-04-14T16:56:00Z,85.04,15.98
2026-04-14T16:57:00Z,89.52,16.38
2026-04-14T16:58:00Z,79.93,25.53
2026-04-14T16:59:00Z,77.89,12.03
2026-04-14T17:00:00Z,84.69,14.79
2026-04-14T17:01:00Z,89.67,17.23
2026-04-14T17:02:00Z,88.70,17.57
2026-04-14T17:03:00Z,89.36,13.42
2026-04-14T17:04:00Z,98.33,1.66
2026-04-14T17:05:00Z,99.00,1.66
2026-04-14T17:06:00Z,99.00,1.66
2026-04-14T17:07:00Z,99.00,1.66
