# event_ticker=KXATPMATCH-25JUL23COBNIS
# final_score=6-2 7-6(3)
# score_resolution=6-2 7-6
# match_winner=Flavio Cobolli
# fav_player=Flavio Cobolli
# dog_player=Yoshihito Nishioka
# kalshi_date=2025-07-23
timestamp,Flavio Cobolli,Yoshihito Nishioka
2025-07-23T20:04:00Z,50.67,7.50
2025-07-23T20:11:00Z,50.67,29.00
2025-07-23T20:12:00Z,50.67,29.00
2025-07-23T20:13:00Z,50.67,29.00
2025-07-23T20:14:00Z,66.00,29.00
2025-07-23T20:21:00Z,66.00,40.00
2025-07-23T20:25:00Z,65.00,40.00
2025-07-23T20:28:00Z,70.00,40.00
2025-07-23T20:42:00Z,70.00,32.00
2025-07-23T20:44:00Z,70.00,32.00
2025-07-23T20:46:00Z,70.00,32.00
2025-07-23T21:09:00Z,71.00,32.00
2025-07-23T21:21:00Z,72.00,32.00
2025-07-23T21:22:00Z,72.00,32.00
2025-07-23T21:29:00Z,72.00,32.00
2025-07-23T21:39:00Z,72.92,32.00
2025-07-23T21:44:00Z,72.00,32.00
2025-07-23T21:45:00Z,72.32,32.00
2025-07-23T22:01:00Z,72.32,33.00
2025-07-23T22:02:00Z,71.00,33.00
2025-07-23T22:34:00Z,71.00,32.00
2025-07-23T22:35:00Z,71.00,31.00
2025-07-23T22:36:00Z,71.00,31.00
2025-07-23T22:54:00Z,70.56,31.00
2025-07-23T22:57:00Z,71.00,31.00
2025-07-23T23:00:00Z,71.00,31.00
2025-07-23T23:02:00Z,71.00,31.00
2025-07-23T23:03:00Z,71.00,31.00
2025-07-23T23:04:00Z,71.00,32.00
2025-07-23T23:05:00Z,71.00,32.00
2025-07-23T23:06:00Z,71.00,32.00
2025-07-23T23:08:00Z,70.00,30.00
2025-07-23T23:09:00Z,71.00,30.00
2025-07-23T23:10:00Z,70.77,31.00
2025-07-23T23:11:00Z,70.77,31.00
2025-07-23T23:14:00Z,70.00,31.00
2025-07-23T23:15:00Z,70.00,31.00
2025-07-23T23:16:00Z,70.00,31.00
2025-07-23T23:17:00Z,70.00,35.00
2025-07-23T23:18:00Z,70.00,34.54
2025-07-23T23:19:00Z,68.00,36.00
2025-07-23T23:20:00Z,68.00,35.23
2025-07-23T23:21:00Z,73.77,31.58
2025-07-23T23:22:00Z,71.00,31.58
2025-07-23T23:23:00Z,69.00,40.00
2025-07-23T23:24:00Z,72.68,35.00
2025-07-23T23:26:00Z,78.01,29.79
2025-07-23T23:27:00Z,79.00,26.62
2025-07-23T23:28:00Z,79.00,25.79
2025-07-23T23:29:00Z,85.00,22.42
2025-07-23T23:30:00Z,81.77,20.00
2025-07-23T23:31:00Z,80.07,20.00
2025-07-23T23:32:00Z,76.00,26.70
2025-07-23T23:33:00Z,74.00,27.00
2025-07-23T23:34:00Z,74.00,30.24
2025-07-23T23:35:00Z,74.00,25.00
2025-07-23T23:37:00Z,81.00,25.00
2025-07-23T23:38:00Z,81.00,25.00
2025-07-23T23:39:00Z,81.00,21.00
2025-07-23T23:40:00Z,81.00,22.00
2025-07-23T23:41:00Z,76.63,24.68
2025-07-23T23:42:00Z,77.96,24.33
2025-07-23T23:43:00Z,81.00,20.00
2025-07-23T23:44:00Z,79.00,20.00
2025-07-23T23:45:00Z,79.00,20.00
2025-07-23T23:46:00Z,80.00,20.98
2025-07-23T23:47:00Z,82.42,17.00
2025-07-23T23:48:00Z,85.00,15.10
2025-07-23T23:49:00Z,86.66,13.97
2025-07-23T23:50:00Z,88.00,14.00
2025-07-23T23:51:00Z,88.00,14.00
2025-07-23T23:52:00Z,88.00,13.00
2025-07-23T23:53:00Z,89.39,13.00
2025-07-23T23:54:00Z,90.00,13.00
2025-07-23T23:55:00Z,90.00,13.00
2025-07-23T23:56:00Z,90.00,7.17
2025-07-23T23:57:00Z,93.48,9.26
2025-07-23T23:58:00Z,89.00,9.26
2025-07-23T23:59:00Z,91.09,9.00
2025-07-24T00:00:00Z,91.09,12.00
2025-07-24T00:01:00Z,86.24,15.75
2025-07-24T00:02:00Z,83.64,15.75
2025-07-24T00:03:00Z,77.31,19.62
2025-07-24T00:04:00Z,79.79,23.75
