# event_ticker=KXATPCHALLENGERMATCH-26MAY13SMIPIN
# final_score=6-4 6-1
# match_winner=Colton Smith
# fav_player=Colton Smith
# dog_player=Jack Pinnington Jones
# kalshi_date=2026-05-13
timestamp,Colton Smith,Jack Pinnington Jones
2026-05-13T01:42:00Z,,67.00
2026-05-13T02:25:00Z,32.00,67.00
2026-05-13T02:53:00Z,32.00,67.00
2026-05-13T02:59:00Z,32.00,68.00
2026-05-13T03:24:00Z,32.00,68.00
2026-05-13T03:59:00Z,32.00,67.00
2026-05-13T04:07:00Z,32.00,68.00
2026-05-13T04:23:00Z,34.00,68.00
2026-05-13T05:01:00Z,34.00,68.00
2026-05-13T05:03:00Z,34.00,68.00
2026-05-13T05:08:00Z,33.00,68.00
2026-05-13T05:13:00Z,33.00,68.00
2026-05-13T05:47:00Z,33.00,68.00
2026-05-13T06:45:00Z,34.00,68.00
2026-05-13T07:58:00Z,34.00,68.00
2026-05-13T08:39:00Z,34.00,68.00
2026-05-13T10:03:00Z,34.00,68.00
2026-05-13T10:36:00Z,33.00,68.00
2026-05-13T10:56:00Z,33.00,68.00
2026-05-13T10:59:00Z,33.00,68.00
2026-05-13T11:02:00Z,33.00,68.00
2026-05-13T11:04:00Z,33.00,68.00
2026-05-13T11:42:00Z,33.02,67.00
2026-05-13T11:43:00Z,34.00,66.11
2026-05-13T11:46:00Z,36.00,66.11
2026-05-13T11:49:00Z,36.00,83.00
2026-05-13T11:50:00Z,34.70,83.00
2026-05-13T11:54:00Z,34.70,75.33
2026-05-13T11:55:00Z,26.00,77.00
2026-05-13T11:56:00Z,34.09,67.64
2026-05-13T11:57:00Z,35.09,65.14
2026-05-13T11:58:00Z,36.39,62.10
2026-05-13T11:59:00Z,44.30,58.16
2026-05-13T12:00:00Z,45.17,57.00
2026-05-13T12:01:00Z,45.60,57.00
2026-05-13T12:02:00Z,44.88,57.16
2026-05-13T12:03:00Z,45.00,57.00
2026-05-13T12:04:00Z,42.97,59.95
2026-05-13T12:05:00Z,44.15,55.47
2026-05-13T12:06:00Z,46.00,58.76
2026-05-13T12:07:00Z,45.00,58.25
2026-05-13T12:08:00Z,50.75,52.93
2026-05-13T12:09:00Z,46.87,54.57
2026-05-13T12:10:00Z,45.17,57.21
2026-05-13T12:11:00Z,43.49,57.67
2026-05-13T12:12:00Z,43.84,58.92
2026-05-13T12:13:00Z,46.00,55.17
2026-05-13T12:14:00Z,44.29,56.43
2026-05-13T12:15:00Z,45.87,55.00
2026-05-13T12:16:00Z,46.00,55.00
2026-05-13T12:17:00Z,45.72,55.34
2026-05-13T12:18:00Z,45.03,54.08
2026-05-13T12:19:00Z,45.24,59.34
2026-05-13T12:20:00Z,37.09,62.61
2026-05-13T12:21:00Z,36.32,65.13
2026-05-13T12:22:00Z,33.32,68.70
2026-05-13T12:23:00Z,28.36,74.39
2026-05-13T12:24:00Z,37.97,66.40
2026-05-13T12:25:00Z,42.71,61.41
2026-05-13T12:26:00Z,41.02,60.81
2026-05-13T12:27:00Z,44.00,57.21
2026-05-13T12:28:00Z,46.38,55.00
2026-05-13T12:29:00Z,46.00,58.83
2026-05-13T12:30:00Z,48.35,53.96
2026-05-13T12:31:00Z,55.47,45.63
2026-05-13T12:32:00Z,53.99,45.68
2026-05-13T12:33:00Z,66.57,40.23
2026-05-13T12:34:00Z,68.84,34.83
2026-05-13T12:35:00Z,66.03,36.43
2026-05-13T12:36:00Z,67.14,34.82
2026-05-13T12:37:00Z,67.07,35.75
2026-05-13T12:38:00Z,65.71,39.70
2026-05-13T12:39:00Z,63.86,39.25
2026-05-13T12:40:00Z,64.83,36.54
2026-05-13T12:41:00Z,67.87,35.73
2026-05-13T12:42:00Z,71.31,31.55
2026-05-13T12:43:00Z,73.32,30.89
2026-05-13T12:44:00Z,74.68,26.78
2026-05-13T12:45:00Z,74.56,26.31
2026-05-13T12:46:00Z,74.41,23.59
2026-05-13T12:47:00Z,72.72,27.83
2026-05-13T12:48:00Z,72.39,29.74
2026-05-13T12:49:00Z,67.79,33.14
2026-05-13T12:50:00Z,65.21,36.90
2026-05-13T12:51:00Z,60.65,40.64
2026-05-13T12:52:00Z,58.09,43.90
2026-05-13T12:53:00Z,67.01,35.99
2026-05-13T12:54:00Z,65.21,35.16
2026-05-13T12:55:00Z,66.50,35.15
2026-05-13T12:56:00Z,69.17,31.83
2026-05-13T12:57:00Z,70.15,31.81
2026-05-13T12:58:00Z,69.92,32.44
2026-05-13T12:59:00Z,67.81,34.98
2026-05-13T13:00:00Z,71.99,30.32
2026-05-13T13:01:00Z,84.63,17.70
2026-05-13T13:02:00Z,83.32,18.83
2026-05-13T13:03:00Z,77.30,25.17
2026-05-13T13:04:00Z,77.04,31.91
2026-05-13T13:05:00Z,83.17,19.95
2026-05-13T13:06:00Z,88.14,13.04
2026-05-13T13:07:00Z,91.18,8.85
2026-05-13T13:08:00Z,92.00,8.62
2026-05-13T13:09:00Z,93.09,4.85
2026-05-13T13:10:00Z,96.44,2.98
2026-05-13T13:11:00Z,98.31,1.59
2026-05-13T13:12:00Z,98.78,1.00
2026-05-13T13:13:00Z,98.13,2.75
2026-05-13T13:14:00Z,98.93,1.00
2026-05-13T13:15:00Z,98.01,1.00
2026-05-13T13:16:00Z,99.00,1.00
2026-05-13T13:17:00Z,99.00,1.00
2026-05-13T13:19:00Z,99.00,1.00
2026-05-13T13:20:00Z,99.00,1.00
2026-05-13T13:21:00Z,99.00,1.00
2026-05-13T13:22:00Z,99.00,1.00
