# event_ticker=KXATPCHALLENGERMATCH-26APR23BENJUB
# final_score=7-5 4-6 5-0 RET
# match_winner=Karim Bennani
# fav_player=Karim Bennani
# dog_player=Paul Jubb
# kalshi_date=2026-04-23
timestamp,Karim Bennani,Paul Jubb
2026-04-23T05:55:00Z,28.00,
2026-04-23T06:53:00Z,28.00,72.00
2026-04-23T09:54:00Z,28.00,73.00
2026-04-23T10:30:00Z,29.00,73.00
2026-04-23T10:45:00Z,29.00,73.00
2026-04-23T11:24:00Z,29.00,73.00
2026-04-23T11:56:00Z,29.00,73.00
2026-04-23T13:28:00Z,29.00,72.00
2026-04-23T14:05:00Z,29.00,72.00
2026-04-23T14:19:00Z,29.00,72.00
2026-04-23T15:12:00Z,28.00,72.00
2026-04-23T15:26:00Z,28.00,72.00
2026-04-23T15:31:00Z,28.00,72.00
2026-04-23T16:00:00Z,28.00,72.00
2026-04-23T16:03:00Z,28.00,70.00
2026-04-23T16:04:00Z,28.00,72.00
2026-04-23T16:13:00Z,29.00,72.00
2026-04-23T16:20:00Z,29.00,72.00
2026-04-23T16:22:00Z,29.00,72.00
2026-04-23T16:30:00Z,29.00,72.00
2026-04-23T16:33:00Z,29.00,72.00
2026-04-23T16:37:00Z,29.00,72.71
2026-04-23T16:39:00Z,29.78,72.00
2026-04-23T16:40:00Z,30.00,72.00
2026-04-23T16:42:00Z,30.00,72.00
2026-04-23T16:43:00Z,30.00,72.22
2026-04-23T16:44:00Z,32.79,70.69
2026-04-23T16:45:00Z,33.00,70.69
2026-04-23T16:46:00Z,34.94,66.65
2026-04-23T16:47:00Z,35.00,65.62
2026-04-23T16:48:00Z,31.00,70.00
2026-04-23T16:49:00Z,29.00,71.90
2026-04-23T16:50:00Z,28.50,70.70
2026-04-23T16:51:00Z,28.00,72.00
2026-04-23T16:52:00Z,30.86,72.00
2026-04-23T16:53:00Z,30.86,66.00
2026-04-23T16:54:00Z,30.86,66.00
2026-04-23T16:55:00Z,34.00,67.00
2026-04-23T16:56:00Z,34.00,68.00
2026-04-23T16:57:00Z,33.00,65.34
2026-04-23T16:58:00Z,32.00,69.00
2026-04-23T16:59:00Z,26.00,72.93
2026-04-23T17:00:00Z,24.00,75.93
2026-04-23T17:01:00Z,27.16,75.53
2026-04-23T17:02:00Z,34.00,68.41
2026-04-23T17:03:00Z,34.00,66.00
2026-04-23T17:04:00Z,36.00,66.00
2026-04-23T17:05:00Z,36.00,66.00
2026-04-23T17:08:00Z,36.00,66.00
2026-04-23T17:09:00Z,36.00,66.00
2026-04-23T17:10:00Z,35.00,66.00
2026-04-23T17:11:00Z,35.00,66.00
2026-04-23T17:12:00Z,36.00,66.00
2026-04-23T17:13:00Z,36.00,66.00
2026-04-23T17:14:00Z,36.00,66.00
2026-04-23T17:15:00Z,36.00,66.00
2026-04-23T17:17:00Z,36.00,66.00
2026-04-23T17:18:00Z,36.00,66.00
2026-04-23T17:20:00Z,36.00,64.91
2026-04-23T17:21:00Z,40.00,59.80
2026-04-23T17:22:00Z,35.06,66.64
2026-04-23T17:23:00Z,30.00,69.00
2026-04-23T17:24:00Z,30.07,73.28
2026-04-23T17:25:00Z,27.40,71.04
2026-04-23T17:26:00Z,31.17,73.18
2026-04-23T17:27:00Z,35.20,65.30
2026-04-23T17:28:00Z,36.00,65.30
2026-04-23T17:29:00Z,39.11,61.00
2026-04-23T17:30:00Z,45.00,54.85
2026-04-23T17:31:00Z,42.75,61.37
2026-04-23T17:32:00Z,43.14,55.60
2026-04-23T17:33:00Z,37.04,62.67
2026-04-23T17:34:00Z,47.76,55.27
2026-04-23T17:35:00Z,52.45,42.31
2026-04-23T17:36:00Z,60.02,40.00
2026-04-23T17:37:00Z,60.95,38.42
2026-04-23T17:38:00Z,63.42,37.70
2026-04-23T17:39:00Z,63.73,37.30
2026-04-23T17:40:00Z,63.80,36.33
2026-04-23T17:41:00Z,67.14,35.63
2026-04-23T17:42:00Z,66.84,32.36
