# event_ticker=KXATPCHALLENGERMATCH-26MAY13RIBDEV
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Eduardo Ribeiro
# fav_player=Murkel Dellien
# dog_player=Eduardo Ribeiro
# kalshi_date=2026-05-13
timestamp,Eduardo Ribeiro,Murkel Dellien
2026-05-13T03:07:00Z,51.00,
2026-05-13T03:49:00Z,51.00,51.00
2026-05-13T03:52:00Z,51.00,51.00
2026-05-13T04:11:00Z,52.00,51.00
2026-05-13T04:26:00Z,49.00,51.00
2026-05-13T04:52:00Z,49.00,51.00
2026-05-13T04:59:00Z,52.00,51.00
2026-05-13T05:21:00Z,53.00,51.00
2026-05-13T05:30:00Z,53.00,51.00
2026-05-13T07:38:00Z,53.00,51.00
2026-05-13T08:11:00Z,51.00,51.00
2026-05-13T09:13:00Z,51.00,51.00
2026-05-13T10:13:00Z,51.00,51.00
2026-05-13T10:58:00Z,53.07,49.00
2026-05-13T11:40:00Z,53.07,47.00
2026-05-13T12:12:00Z,53.07,47.00
2026-05-13T12:15:00Z,53.07,47.00
2026-05-13T12:28:00Z,53.07,46.00
2026-05-13T12:42:00Z,53.07,47.00
2026-05-13T12:50:00Z,54.00,47.00
2026-05-13T12:59:00Z,54.00,47.00
2026-05-13T13:13:00Z,54.00,47.00
2026-05-13T13:20:00Z,54.00,47.00
2026-05-13T13:31:00Z,54.00,47.00
2026-05-13T13:42:00Z,54.00,47.00
2026-05-13T13:47:00Z,54.00,47.00
2026-05-13T13:54:00Z,54.00,47.00
2026-05-13T13:55:00Z,54.00,47.00
2026-05-13T13:59:00Z,54.00,47.00
2026-05-13T14:02:00Z,54.00,47.00
2026-05-13T14:03:00Z,54.00,47.00
2026-05-13T14:05:00Z,54.00,47.00
2026-05-13T14:06:00Z,54.00,47.44
2026-05-13T14:07:00Z,53.00,47.44
2026-05-13T14:09:00Z,53.00,48.00
2026-05-13T14:10:00Z,54.00,48.00
2026-05-13T14:11:00Z,53.01,48.00
2026-05-13T14:12:00Z,53.00,47.10
2026-05-13T14:13:00Z,52.00,48.56
2026-05-13T14:14:00Z,49.18,50.85
2026-05-13T14:15:00Z,48.80,54.86
2026-05-13T14:16:00Z,47.00,53.31
2026-05-13T14:17:00Z,44.89,54.00
2026-05-13T14:18:00Z,48.00,57.00
2026-05-13T14:19:00Z,50.83,52.35
2026-05-13T14:20:00Z,55.09,47.04
2026-05-13T14:21:00Z,60.64,38.81
2026-05-13T14:22:00Z,61.33,38.63
2026-05-13T14:23:00Z,58.80,43.74
2026-05-13T14:24:00Z,55.68,47.19
2026-05-13T14:25:00Z,53.71,47.07
2026-05-13T14:26:00Z,53.71,49.18
2026-05-13T14:27:00Z,56.00,48.00
2026-05-13T14:28:00Z,59.59,40.32
2026-05-13T14:29:00Z,65.00,37.00
2026-05-13T14:30:00Z,61.59,35.73
2026-05-13T14:31:00Z,65.48,35.99
2026-05-13T14:32:00Z,63.41,36.00
2026-05-13T14:33:00Z,65.85,38.17
2026-05-13T14:34:00Z,64.90,37.44
2026-05-13T14:35:00Z,68.00,34.10
2026-05-13T14:36:00Z,67.00,35.00
2026-05-13T14:37:00Z,67.00,35.90
2026-05-13T14:38:00Z,66.00,36.00
2026-05-13T14:39:00Z,67.90,32.61
2026-05-13T14:40:00Z,66.25,34.63
2026-05-13T14:41:00Z,62.58,41.35
2026-05-13T14:42:00Z,65.15,34.77
2026-05-13T14:43:00Z,68.09,34.77
2026-05-13T14:44:00Z,72.52,24.20
2026-05-13T14:45:00Z,75.06,27.05
2026-05-13T14:46:00Z,79.00,22.86
2026-05-13T14:47:00Z,78.86,23.00
2026-05-13T14:48:00Z,78.00,23.92
2026-05-13T14:49:00Z,77.28,24.00
2026-05-13T14:50:00Z,76.00,25.47
2026-05-13T14:51:00Z,74.31,26.00
2026-05-13T14:52:00Z,73.67,25.97
2026-05-13T14:53:00Z,72.00,25.97
2026-05-13T14:54:00Z,73.00,25.39
2026-05-13T14:55:00Z,73.00,28.69
2026-05-13T14:56:00Z,73.52,25.03
2026-05-13T14:57:00Z,72.74,28.61
2026-05-13T14:58:00Z,72.74,29.65
2026-05-13T14:59:00Z,71.36,28.87
2026-05-13T15:00:00Z,71.35,29.54
2026-05-13T15:01:00Z,70.59,30.41
2026-05-13T15:02:00Z,68.26,34.86
2026-05-13T15:03:00Z,75.53,26.07
2026-05-13T15:04:00Z,77.17,25.72
2026-05-13T15:05:00Z,77.00,26.73
2026-05-13T15:06:00Z,71.00,30.72
2026-05-13T15:07:00Z,76.00,23.67
2026-05-13T15:08:00Z,77.22,21.99
2026-05-13T15:09:00Z,78.37,22.27
2026-05-13T15:10:00Z,78.02,22.39
2026-05-13T15:11:00Z,88.07,12.23
2026-05-13T15:12:00Z,88.41,13.89
2026-05-13T15:13:00Z,85.09,15.69
2026-05-13T15:14:00Z,81.96,20.52
2026-05-13T15:15:00Z,74.09,26.66
2026-05-13T15:16:00Z,75.46,29.11
2026-05-13T15:17:00Z,70.97,29.00
2026-05-13T15:18:00Z,71.00,30.00
2026-05-13T15:19:00Z,71.87,28.98
2026-05-13T15:20:00Z,73.16,27.91
2026-05-13T15:21:00Z,73.92,27.84
2026-05-13T15:22:00Z,74.08,27.84
2026-05-13T15:23:00Z,71.80,29.06
2026-05-13T15:24:00Z,70.48,30.12
2026-05-13T15:25:00Z,71.26,29.40
2026-05-13T15:26:00Z,71.05,30.18
2026-05-13T15:27:00Z,70.64,33.72
2026-05-13T15:28:00Z,73.74,29.29
2026-05-13T15:29:00Z,75.10,26.47
2026-05-13T15:30:00Z,74.88,26.70
2026-05-13T15:31:00Z,73.04,28.00
2026-05-13T15:32:00Z,71.11,29.39
2026-05-13T15:33:00Z,69.21,32.47
2026-05-13T15:34:00Z,65.13,40.09
2026-05-13T15:35:00Z,59.19,40.84
2026-05-13T15:36:00Z,68.70,33.87
2026-05-13T15:37:00Z,71.51,28.97
2026-05-13T15:38:00Z,76.17,29.93
2026-05-13T15:39:00Z,86.49,13.01
2026-05-13T15:40:00Z,91.44,7.45
2026-05-13T15:41:00Z,94.02,7.72
2026-05-13T15:42:00Z,84.54,17.54
2026-05-13T15:43:00Z,88.46,17.14
2026-05-13T15:44:00Z,81.53,22.63
2026-05-13T15:45:00Z,91.02,10.10
2026-05-13T15:46:00Z,98.38,2.34
2026-05-13T15:47:00Z,99.00,2.34
