# event_ticker=KXATPCHALLENGERMATCH-26MAY28BONFEL
# final_score=6-7(3) 6-2 6-1
# score_resolution=7-6 2-6 1-6
# match_winner=Kilian Feldbausch
# fav_player=Federico Bondioli
# dog_player=Kilian Feldbausch
# kalshi_date=2026-05-28
timestamp,Federico Bondioli,Kilian Feldbausch
2026-05-28T00:21:00Z,35.77,
2026-05-28T02:52:00Z,34.00,
2026-05-28T03:53:00Z,34.00,
2026-05-28T06:30:00Z,34.00,67.00
2026-05-28T10:19:00Z,34.00,66.00
2026-05-28T10:26:00Z,34.00,66.00
2026-05-28T10:49:00Z,34.00,66.00
2026-05-28T11:24:00Z,34.00,66.00
2026-05-28T11:28:00Z,35.00,66.00
2026-05-28T11:33:00Z,35.00,66.00
2026-05-28T11:35:00Z,35.00,67.00
2026-05-28T11:39:00Z,35.00,67.00
2026-05-28T11:43:00Z,32.00,67.00
2026-05-28T11:44:00Z,33.00,69.00
2026-05-28T11:46:00Z,35.05,69.00
2026-05-28T11:48:00Z,35.05,67.00
2026-05-28T11:50:00Z,36.00,67.00
2026-05-28T11:53:00Z,36.00,68.00
2026-05-28T11:56:00Z,36.00,66.19
2026-05-28T11:57:00Z,41.00,62.06
2026-05-28T11:59:00Z,41.00,61.50
2026-05-28T12:00:00Z,41.00,64.10
2026-05-28T12:02:00Z,41.00,67.49
2026-05-28T12:03:00Z,41.00,69.00
2026-05-28T12:04:00Z,34.38,67.00
2026-05-28T12:05:00Z,34.38,65.00
2026-05-28T12:06:00Z,39.00,59.10
2026-05-28T12:07:00Z,48.00,59.10
2026-05-28T12:08:00Z,49.83,59.10
2026-05-28T12:09:00Z,51.80,59.10
2026-05-28T12:10:00Z,49.02,49.27
2026-05-28T12:12:00Z,58.00,45.39
2026-05-28T12:13:00Z,57.90,45.39
2026-05-28T12:14:00Z,60.99,45.39
2026-05-28T12:15:00Z,57.60,42.63
2026-05-28T12:16:00Z,58.36,42.63
2026-05-28T12:17:00Z,59.00,42.63
2026-05-28T12:18:00Z,61.00,42.63
2026-05-28T12:20:00Z,61.00,40.00
2026-05-28T12:21:00Z,62.00,36.00
2026-05-28T12:22:00Z,62.00,38.00
2026-05-28T12:24:00Z,61.00,38.03
2026-05-28T12:25:00Z,57.00,42.09
2026-05-28T12:26:00Z,50.00,51.02
2026-05-28T12:27:00Z,45.00,55.00
2026-05-28T12:28:00Z,43.27,58.56
2026-05-28T12:29:00Z,46.00,58.56
2026-05-28T12:30:00Z,50.00,58.56
2026-05-28T12:31:00Z,50.89,47.00
2026-05-28T12:32:00Z,51.00,44.98
2026-05-28T12:33:00Z,58.84,43.00
2026-05-28T12:34:00Z,56.00,43.00
2026-05-28T12:35:00Z,55.00,44.12
2026-05-28T12:36:00Z,57.80,46.00
2026-05-28T12:37:00Z,57.00,43.96
2026-05-28T12:38:00Z,46.62,52.71
2026-05-28T12:39:00Z,54.64,44.70
2026-05-28T12:40:00Z,44.00,49.61
2026-05-28T12:41:00Z,44.00,60.00
2026-05-28T12:42:00Z,44.00,57.00
2026-05-28T12:43:00Z,43.18,57.00
2026-05-28T12:44:00Z,50.92,57.00
2026-05-28T12:45:00Z,59.38,40.57
2026-05-28T12:46:00Z,61.00,40.00
2026-05-28T12:47:00Z,65.00,38.14
2026-05-28T12:48:00Z,65.00,35.00
2026-05-28T12:49:00Z,63.54,35.85
2026-05-28T12:50:00Z,64.00,36.00
2026-05-28T12:51:00Z,66.00,36.00
2026-05-28T12:52:00Z,66.00,36.00
