# event_ticker=KXATPMATCH-25AUG15RUBALC
# final_score=6-3 4-6 7-5
# score_resolution=3-6 6-4 5-7
# match_winner=Carlos Alcaraz
# fav_player=Andrey Rublev
# dog_player=Carlos Alcaraz
# kalshi_date=2025-08-15
timestamp,Andrey Rublev,Carlos Alcaraz
2025-08-15T10:16:00Z,26.98,
2025-08-15T10:36:00Z,26.98,77.00
2025-08-15T10:44:00Z,26.98,77.00
2025-08-15T11:00:00Z,26.98,77.00
2025-08-15T11:12:00Z,25.86,77.00
2025-08-15T11:19:00Z,25.86,77.00
2025-08-15T11:22:00Z,25.86,81.00
2025-08-15T11:26:00Z,25.86,81.00
2025-08-15T11:37:00Z,25.86,81.00
2025-08-15T11:47:00Z,25.86,81.16
2025-08-15T11:57:00Z,25.86,82.00
2025-08-15T11:59:00Z,21.95,82.00
2025-08-15T12:00:00Z,21.88,82.00
2025-08-15T12:04:00Z,22.00,82.00
2025-08-15T12:13:00Z,22.00,82.80
2025-08-15T12:14:00Z,22.00,82.96
2025-08-15T12:26:00Z,22.00,82.96
2025-08-15T12:28:00Z,22.00,82.96
2025-08-15T12:39:00Z,22.00,80.00
2025-08-15T12:40:00Z,22.00,81.35
2025-08-15T12:42:00Z,22.00,81.35
2025-08-15T12:47:00Z,22.00,80.00
2025-08-15T12:50:00Z,21.32,80.00
2025-08-15T12:51:00Z,21.32,80.00
2025-08-15T13:02:00Z,21.32,80.00
2025-08-15T13:04:00Z,21.32,80.00
2025-08-15T13:05:00Z,21.32,80.68
2025-08-15T13:27:00Z,21.32,80.92
2025-08-15T13:36:00Z,21.00,80.92
2025-08-15T13:46:00Z,21.00,81.00
2025-08-15T13:50:00Z,21.00,81.00
2025-08-15T14:12:00Z,21.00,81.00
2025-08-15T14:14:00Z,20.00,81.00
2025-08-15T14:16:00Z,20.00,81.00
2025-08-15T14:18:00Z,20.00,80.00
2025-08-15T14:20:00Z,20.00,80.00
2025-08-15T14:21:00Z,20.00,80.00
2025-08-15T14:23:00Z,20.00,81.00
2025-08-15T14:31:00Z,20.00,81.00
2025-08-15T14:37:00Z,19.00,81.83
2025-08-15T14:39:00Z,19.00,82.00
2025-08-15T14:40:00Z,19.00,82.00
2025-08-15T14:43:00Z,19.00,82.00
2025-08-15T14:44:00Z,19.00,82.00
2025-08-15T14:47:00Z,19.00,82.00
2025-08-15T14:51:00Z,19.00,82.00
2025-08-15T14:52:00Z,19.00,81.00
2025-08-15T14:55:00Z,19.00,81.24
2025-08-15T14:56:00Z,19.00,82.00
2025-08-15T14:57:00Z,19.00,80.00
2025-08-15T14:58:00Z,19.00,80.00
2025-08-15T15:02:00Z,19.00,82.00
2025-08-15T15:03:00Z,19.33,82.00
2025-08-15T15:04:00Z,20.00,82.00
2025-08-15T15:07:00Z,20.00,82.00
2025-08-15T15:08:00Z,20.00,82.00
2025-08-15T15:12:00Z,20.00,82.00
2025-08-15T15:13:00Z,20.00,82.00
2025-08-15T15:17:00Z,20.00,82.00
2025-08-15T15:18:00Z,20.00,82.30
2025-08-15T15:23:00Z,20.00,82.00
2025-08-15T15:35:00Z,20.00,82.00
2025-08-15T15:38:00Z,20.00,82.00
2025-08-15T15:43:00Z,20.00,82.00
2025-08-15T15:46:00Z,20.00,82.00
2025-08-15T15:49:00Z,20.00,82.00
2025-08-15T15:55:00Z,20.00,82.00
2025-08-15T15:56:00Z,19.00,82.00
2025-08-15T15:57:00Z,19.00,82.00
2025-08-15T16:03:00Z,19.00,82.00
2025-08-15T16:09:00Z,19.00,82.00
2025-08-15T16:10:00Z,19.00,81.00
2025-08-15T16:12:00Z,19.00,81.00
2025-08-15T16:18:00Z,19.00,82.00
2025-08-15T16:22:00Z,19.00,82.00
2025-08-15T16:24:00Z,19.00,82.00
2025-08-15T16:25:00Z,19.19,82.00
2025-08-15T16:28:00Z,20.00,82.00
2025-08-15T16:31:00Z,20.00,82.00
2025-08-15T16:35:00Z,20.00,82.00
2025-08-15T16:44:00Z,20.00,82.00
2025-08-15T16:46:00Z,18.00,82.00
2025-08-15T16:48:00Z,19.10,82.00
2025-08-15T16:49:00Z,20.14,82.00
2025-08-15T16:52:00Z,20.10,81.00
2025-08-15T16:54:00Z,20.10,80.00
2025-08-15T16:55:00Z,20.10,80.00
2025-08-15T16:56:00Z,20.10,80.00
2025-08-15T16:57:00Z,20.88,80.00
2025-08-15T17:02:00Z,20.88,80.00
2025-08-15T17:04:00Z,20.88,80.10
2025-08-15T17:08:00Z,20.88,81.46
2025-08-15T17:09:00Z,20.00,81.46
2025-08-15T17:10:00Z,20.00,82.00
2025-08-15T17:12:00Z,20.00,82.00
2025-08-15T17:13:00Z,20.00,82.00
2025-08-15T17:17:00Z,20.00,82.00
2025-08-15T17:18:00Z,20.00,82.00
2025-08-15T17:20:00Z,20.00,82.00
2025-08-15T17:22:00Z,20.00,82.00
2025-08-15T17:28:00Z,20.00,82.00
2025-08-15T17:31:00Z,20.00,82.00
2025-08-15T17:32:00Z,20.00,82.00
2025-08-15T17:36:00Z,20.00,82.00
2025-08-15T17:37:00Z,20.00,82.00
2025-08-15T17:38:00Z,20.00,82.00
2025-08-15T17:40:00Z,20.00,82.00
2025-08-15T17:41:00Z,20.00,82.00
2025-08-15T17:46:00Z,20.00,82.00
2025-08-15T17:51:00Z,20.00,82.00
2025-08-15T17:54:00Z,20.00,82.00
2025-08-15T17:57:00Z,20.00,82.00
2025-08-15T17:58:00Z,20.00,82.00
2025-08-15T18:00:00Z,20.00,82.00
2025-08-15T18:01:00Z,20.00,82.00
2025-08-15T18:04:00Z,19.00,82.00
2025-08-15T18:06:00Z,19.00,82.00
