# event_ticker=KXATPCHALLENGERMATCH-26MAY30BLAFEL
# final_score=7-6(1) 6-4
# score_resolution=6-7 4-6
# match_winner=Kilian Feldbausch
# fav_player=Dali Blanch
# dog_player=Kilian Feldbausch
# kalshi_date=2026-05-30
timestamp,Dali Blanch,Kilian Feldbausch
2026-05-30T01:50:00Z,,55.00
2026-05-30T01:55:00Z,45.00,55.00
2026-05-30T02:38:00Z,45.00,55.00
2026-05-30T03:26:00Z,45.00,55.00
2026-05-30T04:02:00Z,45.00,55.00
2026-05-30T04:21:00Z,45.00,55.00
2026-05-30T04:51:00Z,45.00,55.00
2026-05-30T05:32:00Z,45.00,55.00
2026-05-30T05:49:00Z,45.00,55.00
2026-05-30T06:28:00Z,45.00,56.00
2026-05-30T06:32:00Z,45.81,56.00
2026-05-30T06:55:00Z,45.00,56.00
2026-05-30T07:25:00Z,45.00,56.00
2026-05-30T07:27:00Z,45.00,56.00
2026-05-30T07:40:00Z,45.00,56.00
2026-05-30T07:41:00Z,45.00,56.86
2026-05-30T07:47:00Z,45.00,56.00
2026-05-30T08:10:00Z,45.00,56.00
2026-05-30T08:50:00Z,45.00,56.00
2026-05-30T09:29:00Z,45.00,56.00
2026-05-30T11:54:00Z,44.00,56.00
2026-05-30T11:59:00Z,42.45,56.00
2026-05-30T12:08:00Z,44.00,56.00
2026-05-30T12:10:00Z,43.00,56.00
2026-05-30T12:11:00Z,42.82,60.00
2026-05-30T12:12:00Z,44.00,60.00
2026-05-30T12:13:00Z,43.03,58.96
2026-05-30T12:14:00Z,39.10,63.00
2026-05-30T12:15:00Z,34.74,66.88
2026-05-30T12:16:00Z,36.00,68.50
2026-05-30T12:17:00Z,35.11,68.11
2026-05-30T12:18:00Z,34.48,71.00
2026-05-30T12:19:00Z,38.05,65.00
2026-05-30T12:20:00Z,31.14,67.86
2026-05-30T12:21:00Z,31.00,71.65
2026-05-30T12:22:00Z,32.25,71.65
2026-05-30T12:23:00Z,32.00,69.00
2026-05-30T12:24:00Z,30.14,70.02
