# event_ticker=KXATPMATCH-26JAN14SPIMAR
# final_score=6-4 2-6 6-2
# score_resolution=4-6 6-2 2-6
# match_winner=Fabian Marozsan
# fav_player=Eliot Spizzirri
# dog_player=Fabian Marozsan
# kalshi_date=2026-01-14
timestamp,Eliot Spizzirri,Fabian Marozsan
2026-01-15T10:02:00Z,,75.49
2026-01-15T10:03:00Z,,79.00
2026-01-15T10:04:00Z,28.00,56.05
2026-01-15T10:05:00Z,42.56,68.31
2026-01-15T10:06:00Z,42.56,64.19
2026-01-15T10:07:00Z,43.00,63.76
2026-01-15T10:08:00Z,40.44,63.78
2026-01-15T10:09:00Z,42.00,58.66
2026-01-15T10:10:00Z,42.00,63.89
2026-01-15T10:11:00Z,41.69,63.89
2026-01-15T10:12:00Z,42.00,60.36
2026-01-15T10:13:00Z,37.93,62.57
2026-01-15T10:14:00Z,43.00,64.64
2026-01-15T10:15:00Z,43.00,64.39
2026-01-15T10:17:00Z,43.00,64.29
2026-01-15T10:18:00Z,43.00,56.69
2026-01-15T10:19:00Z,43.00,60.00
2026-01-15T10:20:00Z,43.00,51.15
2026-01-15T10:21:00Z,37.66,64.84
2026-01-15T10:22:00Z,30.67,54.41
2026-01-15T10:23:00Z,42.00,64.15
2026-01-15T10:24:00Z,42.00,65.00
2026-01-15T10:25:00Z,42.00,64.07
2026-01-15T10:26:00Z,42.00,53.00
2026-01-15T10:27:00Z,42.00,56.21
2026-01-15T10:29:00Z,42.00,56.00
2026-01-15T10:30:00Z,43.00,56.00
2026-01-15T10:31:00Z,43.00,60.00
2026-01-15T10:32:00Z,43.00,64.50
2026-01-15T10:33:00Z,43.00,65.00
2026-01-15T10:34:00Z,39.74,65.00
2026-01-15T10:35:00Z,39.74,65.00
2026-01-15T10:36:00Z,39.74,65.00
2026-01-15T10:37:00Z,39.74,65.00
2026-01-15T10:38:00Z,39.74,65.00
2026-01-15T10:39:00Z,39.74,65.00
2026-01-15T10:40:00Z,30.44,65.00
2026-01-15T10:42:00Z,30.44,65.00
2026-01-15T10:43:00Z,30.44,65.00
2026-01-15T10:44:00Z,42.00,65.00
2026-01-15T10:45:00Z,42.00,65.00
2026-01-15T10:46:00Z,42.00,65.00
2026-01-15T10:47:00Z,42.00,65.00
2026-01-15T10:49:00Z,42.00,65.00
2026-01-15T10:50:00Z,42.00,63.62
2026-01-15T10:51:00Z,42.00,64.00
2026-01-15T10:52:00Z,42.00,61.53
2026-01-15T10:53:00Z,42.00,53.00
2026-01-15T10:54:00Z,42.00,64.17
2026-01-15T10:56:00Z,42.00,65.00
2026-01-15T10:57:00Z,42.00,65.00
2026-01-15T10:58:00Z,42.00,65.00
2026-01-15T10:59:00Z,42.00,65.00
2026-01-15T11:00:00Z,42.00,65.00
2026-01-15T11:01:00Z,42.00,65.01
2026-01-15T11:02:00Z,41.67,64.24
2026-01-15T11:03:00Z,42.00,64.51
2026-01-15T11:04:00Z,41.11,63.70
2026-01-15T11:05:00Z,40.65,57.15
2026-01-15T11:06:00Z,41.00,57.31
2026-01-15T11:07:00Z,41.00,63.09
2026-01-15T11:08:00Z,41.00,63.50
2026-01-15T11:09:00Z,41.00,62.80
2026-01-15T11:10:00Z,41.00,63.00
2026-01-15T11:11:00Z,36.33,63.00
2026-01-15T11:12:00Z,36.33,64.92
2026-01-15T11:13:00Z,36.33,64.86
2026-01-15T11:14:00Z,40.00,64.00
2026-01-15T11:15:00Z,38.89,64.47
2026-01-15T11:16:00Z,40.36,57.11
2026-01-15T11:17:00Z,40.81,64.00
2026-01-15T11:18:00Z,40.08,70.21
2026-01-15T11:19:00Z,38.49,73.00
2026-01-15T11:20:00Z,36.23,67.97
2026-01-15T11:21:00Z,39.85,67.91
2026-01-15T11:22:00Z,41.51,58.44
2026-01-15T11:23:00Z,39.00,72.61
2026-01-15T11:24:00Z,39.35,69.10
2026-01-15T11:26:00Z,36.00,67.16
2026-01-15T11:28:00Z,39.79,67.74
2026-01-15T11:29:00Z,39.05,58.90
2026-01-15T11:30:00Z,39.05,45.92
2026-01-15T11:31:00Z,42.00,60.42
2026-01-15T11:32:00Z,41.00,66.00
2026-01-15T11:33:00Z,41.00,58.12
2026-01-15T11:34:00Z,36.00,63.00
2026-01-15T11:35:00Z,36.00,63.75
2026-01-15T11:36:00Z,36.00,63.75
2026-01-15T11:37:00Z,35.40,61.49
2026-01-15T11:38:00Z,41.00,59.78
2026-01-15T11:39:00Z,41.00,66.00
2026-01-15T11:40:00Z,40.77,66.00
2026-01-15T11:41:00Z,35.00,66.95
2026-01-15T11:42:00Z,41.00,67.00
2026-01-15T11:43:00Z,41.00,67.00
2026-01-15T11:44:00Z,35.00,67.73
2026-01-15T11:45:00Z,39.09,67.10
2026-01-15T11:46:00Z,38.50,66.00
2026-01-15T11:47:00Z,38.82,66.00
2026-01-15T11:48:00Z,38.82,64.29
2026-01-15T11:49:00Z,40.61,65.56
2026-01-15T11:50:00Z,39.98,63.00
