# event_ticker=KXATPMATCH-26MAR31ETCGOM
# final_score=1-6 6-1 6-4
# score_resolution=6-1 1-6 4-6
# match_winner=Tomas Martin Etcheverry
# fav_player=Federico Agustin Gomez
# dog_player=Tomas Martin Etcheverry
# kalshi_date=2026-03-31
timestamp,Federico Agustin Gomez,Tomas Martin Etcheverry
2026-03-31T07:19:00Z,19.00,
2026-03-31T07:37:00Z,19.00,83.00
2026-03-31T07:44:00Z,19.00,83.00
2026-03-31T08:47:00Z,18.00,83.00
2026-03-31T09:05:00Z,18.00,83.00
2026-03-31T09:08:00Z,18.00,83.00
2026-03-31T09:18:00Z,18.00,83.00
2026-03-31T09:22:00Z,18.00,83.00
2026-03-31T09:39:00Z,18.00,83.00
2026-03-31T09:51:00Z,18.00,83.00
2026-03-31T10:18:00Z,18.00,83.00
2026-03-31T10:41:00Z,18.00,83.00
2026-03-31T10:56:00Z,18.00,83.00
2026-03-31T11:06:00Z,18.00,83.00
2026-03-31T11:18:00Z,18.00,83.00
2026-03-31T11:21:00Z,18.00,83.00
2026-03-31T11:34:00Z,18.00,83.00
2026-03-31T11:39:00Z,18.00,83.00
2026-03-31T11:45:00Z,17.00,83.00
2026-03-31T12:06:00Z,17.00,83.00
2026-03-31T12:10:00Z,17.00,83.00
2026-03-31T12:11:00Z,17.00,83.00
2026-03-31T12:16:00Z,17.00,83.00
2026-03-31T12:17:00Z,17.00,83.00
2026-03-31T12:26:00Z,18.00,83.00
2026-03-31T12:29:00Z,18.00,83.00
2026-03-31T12:31:00Z,18.00,83.00
2026-03-31T12:53:00Z,18.00,83.00
2026-03-31T12:54:00Z,18.00,83.00
2026-03-31T12:55:00Z,18.00,83.00
2026-03-31T12:57:00Z,18.00,83.00
2026-03-31T12:59:00Z,18.00,83.00
2026-03-31T13:02:00Z,18.00,83.00
2026-03-31T13:07:00Z,18.00,83.00
2026-03-31T13:16:00Z,18.00,83.00
2026-03-31T13:26:00Z,18.00,83.00
2026-03-31T13:27:00Z,18.00,83.00
2026-03-31T13:38:00Z,18.00,83.00
2026-03-31T13:51:00Z,18.00,83.00
2026-03-31T14:01:00Z,18.00,83.00
2026-03-31T14:03:00Z,18.00,83.00
2026-03-31T14:11:00Z,18.00,83.00
2026-03-31T14:13:00Z,18.00,83.00
2026-03-31T14:14:00Z,18.00,83.00
2026-03-31T14:18:00Z,18.00,83.00
2026-03-31T14:29:00Z,18.00,83.00
2026-03-31T14:34:00Z,18.00,82.00
2026-03-31T14:35:00Z,18.00,83.00
2026-03-31T14:36:00Z,18.00,83.00
2026-03-31T14:43:00Z,18.00,83.00
2026-03-31T14:48:00Z,18.00,83.00
2026-03-31T14:49:00Z,18.00,83.00
2026-03-31T14:50:00Z,18.00,83.00
2026-03-31T15:04:00Z,18.00,83.00
2026-03-31T15:05:00Z,17.00,83.00
2026-03-31T15:11:00Z,17.00,83.00
2026-03-31T15:12:00Z,18.00,83.00
2026-03-31T15:14:00Z,18.00,83.00
2026-03-31T15:16:00Z,18.00,83.00
2026-03-31T15:21:00Z,18.00,83.00
2026-03-31T15:27:00Z,18.00,83.00
2026-03-31T15:28:00Z,18.00,83.00
2026-03-31T15:32:00Z,18.00,83.00
2026-03-31T15:34:00Z,18.00,83.00
2026-03-31T15:36:00Z,18.00,83.00
2026-03-31T15:37:00Z,18.00,83.00
2026-03-31T15:41:00Z,18.00,83.00
2026-03-31T15:42:00Z,18.00,83.00
2026-03-31T15:47:00Z,18.00,83.00
2026-03-31T15:50:00Z,18.00,83.00
2026-03-31T15:51:00Z,18.00,83.00
2026-03-31T15:53:00Z,18.00,83.00
2026-03-31T15:54:00Z,18.00,83.00
2026-03-31T16:01:00Z,18.00,83.00
2026-03-31T16:12:00Z,18.00,83.00
2026-03-31T16:26:00Z,18.00,83.00
2026-03-31T16:32:00Z,18.00,83.00
2026-03-31T16:33:00Z,18.00,82.00
2026-03-31T16:48:00Z,18.00,83.00
2026-03-31T16:53:00Z,18.00,83.00
