# event_ticker=KXATPCHALLENGERMATCH-26MAR03MIGFIC
# final_score=7-6(1) 7-5
# score_resolution=6-7 5-7
# match_winner=Guto Miguel
# fav_player=Juan Pablo Ficovich
# dog_player=Luis Guto Miguel
# kalshi_date=2026-03-03
timestamp,Juan Pablo Ficovich,Luis Guto Miguel
2026-03-03T12:38:00Z,70.00,32.00
2026-03-03T13:23:00Z,70.00,32.00
2026-03-03T14:47:00Z,70.00,32.00
2026-03-03T14:53:00Z,70.00,31.00
2026-03-03T15:24:00Z,70.00,31.00
2026-03-03T15:30:00Z,70.00,31.00
2026-03-03T16:54:00Z,70.00,32.22
2026-03-03T17:18:00Z,67.00,32.22
2026-03-03T17:22:00Z,67.00,32.22
2026-03-03T17:37:00Z,67.00,35.00
2026-03-03T17:45:00Z,67.00,35.00
2026-03-03T17:52:00Z,67.00,33.00
2026-03-03T17:57:00Z,67.00,33.00
2026-03-03T18:08:00Z,67.00,35.37
2026-03-03T18:11:00Z,67.00,35.37
2026-03-03T18:21:00Z,67.00,35.37
2026-03-03T18:29:00Z,67.00,35.37
2026-03-03T18:34:00Z,67.00,35.37
2026-03-03T19:50:00Z,67.58,35.37
2026-03-03T20:02:00Z,67.00,35.37
2026-03-03T20:15:00Z,67.78,35.37
2026-03-03T20:29:00Z,67.00,35.37
2026-03-03T20:31:00Z,69.00,36.00
2026-03-03T20:33:00Z,65.00,36.00
2026-03-03T20:56:00Z,65.00,38.00
2026-03-03T21:11:00Z,65.00,38.00
2026-03-03T21:14:00Z,64.00,38.00
2026-03-03T21:37:00Z,64.00,38.00
2026-03-03T21:39:00Z,63.00,38.00
2026-03-03T22:04:00Z,63.00,38.00
2026-03-03T22:05:00Z,63.00,38.00
2026-03-03T22:09:00Z,63.00,38.00
2026-03-03T22:22:00Z,63.00,29.00
2026-03-03T22:45:00Z,69.00,29.00
2026-03-03T22:49:00Z,69.00,39.00
2026-03-03T22:50:00Z,69.00,39.00
2026-03-03T22:53:00Z,70.00,39.00
2026-03-03T22:54:00Z,72.00,39.00
2026-03-03T22:55:00Z,73.10,29.00
2026-03-03T23:04:00Z,73.10,39.00
2026-03-03T23:05:00Z,74.00,39.00
2026-03-03T23:09:00Z,74.00,39.00
2026-03-03T23:13:00Z,74.00,39.00
2026-03-03T23:14:00Z,74.00,39.00
2026-03-03T23:15:00Z,74.00,39.00
2026-03-03T23:16:00Z,74.00,39.00
2026-03-03T23:17:00Z,74.00,28.53
2026-03-03T23:18:00Z,74.00,34.00
2026-03-03T23:19:00Z,74.00,34.00
2026-03-03T23:20:00Z,64.00,34.72
2026-03-03T23:21:00Z,64.00,34.72
2026-03-03T23:23:00Z,64.00,38.00
2026-03-03T23:25:00Z,64.97,36.00
2026-03-03T23:31:00Z,64.97,36.00
2026-03-03T23:35:00Z,64.00,36.00
2026-03-03T23:36:00Z,64.00,36.00
2026-03-03T23:43:00Z,64.00,36.00
2026-03-03T23:48:00Z,64.00,36.00
2026-03-03T23:53:00Z,64.00,37.00
2026-03-03T23:54:00Z,64.00,37.00
2026-03-03T23:56:00Z,65.00,37.00
2026-03-03T23:58:00Z,64.00,37.00
2026-03-04T00:03:00Z,64.98,37.00
2026-03-04T00:04:00Z,64.98,37.00
2026-03-04T00:05:00Z,64.98,38.00
2026-03-04T00:06:00Z,64.00,38.00
2026-03-04T00:07:00Z,64.00,38.00
2026-03-04T00:08:00Z,65.00,35.98
2026-03-04T00:09:00Z,64.41,34.98
2026-03-04T00:10:00Z,60.82,38.48
2026-03-04T00:11:00Z,61.99,37.97
2026-03-04T00:12:00Z,66.25,31.35
2026-03-04T00:13:00Z,74.00,31.35
2026-03-04T00:14:00Z,76.64,25.01
2026-03-04T00:15:00Z,70.39,28.17
2026-03-04T00:16:00Z,72.70,28.17
2026-03-04T00:17:00Z,73.87,28.02
2026-03-04T00:18:00Z,74.00,29.00
2026-03-04T00:19:00Z,70.14,28.01
2026-03-04T00:20:00Z,72.45,33.00
2026-03-04T00:21:00Z,68.81,30.33
2026-03-04T00:22:00Z,62.00,32.09
2026-03-04T00:23:00Z,61.97,39.13
2026-03-04T00:24:00Z,61.97,32.96
2026-03-04T00:25:00Z,72.00,31.00
2026-03-04T00:26:00Z,67.19,32.95
2026-03-04T00:27:00Z,67.19,34.86
2026-03-04T00:28:00Z,71.39,30.88
2026-03-04T00:29:00Z,74.00,26.00
2026-03-04T00:30:00Z,73.99,23.09
2026-03-04T00:31:00Z,78.56,22.34
2026-03-04T00:32:00Z,77.99,22.99
2026-03-04T00:33:00Z,75.71,23.00
2026-03-04T00:34:00Z,77.80,22.22
2026-03-04T00:35:00Z,75.48,23.12
2026-03-04T00:36:00Z,75.00,26.66
2026-03-04T00:37:00Z,74.85,28.00
2026-03-04T00:38:00Z,75.00,26.71
2026-03-04T00:39:00Z,74.03,26.12
2026-03-04T00:40:00Z,73.83,27.90
2026-03-04T00:41:00Z,67.61,32.51
2026-03-04T00:42:00Z,66.42,34.15
2026-03-04T00:43:00Z,69.84,29.00
2026-03-04T00:44:00Z,69.54,30.54
2026-03-04T00:45:00Z,73.60,26.04
2026-03-04T00:46:00Z,73.00,27.00
2026-03-04T00:47:00Z,73.00,27.22
2026-03-04T00:50:00Z,69.61,32.31
2026-03-04T00:51:00Z,72.00,29.93
2026-03-04T00:52:00Z,75.08,29.08
2026-03-04T00:53:00Z,62.13,35.05
2026-03-04T00:54:00Z,62.82,37.40
