# event_ticker=KXATPCHALLENGERMATCH-26MAR08WENSAM
# final_score=6-3 6-0
# score_resolution=3-6 0-6
# match_winner=Toby Samuel
# fav_player=Harry Wendelken
# dog_player=Toby Samuel
# kalshi_date=2026-03-08
timestamp,Harry Wendelken,Toby Samuel
2026-03-07T23:12:00Z,,75.00
2026-03-08T00:30:00Z,,75.00
2026-03-08T00:42:00Z,,75.00
2026-03-08T03:03:00Z,27.00,75.00
2026-03-08T03:33:00Z,27.00,74.00
2026-03-08T04:11:00Z,27.00,73.00
2026-03-08T04:54:00Z,27.00,73.00
2026-03-08T05:43:00Z,29.00,73.00
2026-03-08T05:47:00Z,29.00,73.00
2026-03-08T06:01:00Z,30.00,73.00
2026-03-08T06:03:00Z,30.00,72.00
2026-03-08T06:07:00Z,30.00,72.00
2026-03-08T06:12:00Z,30.00,72.00
2026-03-08T07:00:00Z,30.00,72.00
2026-03-08T07:11:00Z,30.00,72.00
2026-03-08T07:17:00Z,30.00,72.00
2026-03-08T07:21:00Z,30.00,72.00
2026-03-08T07:22:00Z,30.00,72.00
2026-03-08T07:23:00Z,31.00,72.00
2026-03-08T07:24:00Z,31.00,72.00
2026-03-08T07:25:00Z,31.00,72.00
2026-03-08T07:26:00Z,31.00,72.00
2026-03-08T07:36:00Z,31.00,72.00
2026-03-08T07:40:00Z,31.00,70.00
2026-03-08T07:47:00Z,28.12,78.15
2026-03-08T07:50:00Z,28.12,73.00
2026-03-08T07:51:00Z,28.12,73.00
2026-03-08T07:54:00Z,29.00,73.00
2026-03-08T07:55:00Z,29.00,73.00
2026-03-08T08:00:00Z,29.00,73.00
2026-03-08T08:04:00Z,29.00,73.00
2026-03-08T08:09:00Z,29.00,73.00
2026-03-08T08:11:00Z,29.00,73.00
2026-03-08T08:12:00Z,29.00,73.00
2026-03-08T08:15:00Z,29.33,73.00
2026-03-08T08:24:00Z,27.10,73.00
2026-03-08T08:32:00Z,29.00,73.00
2026-03-08T08:33:00Z,30.00,73.00
2026-03-08T08:34:00Z,30.00,73.00
2026-03-08T08:35:00Z,30.00,72.00
2026-03-08T08:40:00Z,30.00,72.00
2026-03-08T08:43:00Z,30.00,72.00
2026-03-08T08:45:00Z,30.00,73.00
2026-03-08T08:46:00Z,30.00,73.00
2026-03-08T08:50:00Z,30.00,73.00
2026-03-08T08:51:00Z,30.00,73.00
2026-03-08T08:52:00Z,30.00,73.00
2026-03-08T08:53:00Z,30.00,73.00
2026-03-08T08:55:00Z,30.00,73.00
2026-03-08T08:59:00Z,30.00,73.00
2026-03-08T09:03:00Z,29.00,73.00
2026-03-08T09:04:00Z,29.00,73.00
2026-03-08T09:06:00Z,30.00,73.00
2026-03-08T09:07:00Z,30.00,72.39
2026-03-08T09:08:00Z,30.00,72.39
2026-03-08T09:09:00Z,30.00,72.00
2026-03-08T09:10:00Z,30.00,72.00
2026-03-08T09:11:00Z,30.01,70.59
2026-03-08T09:12:00Z,28.02,74.04
2026-03-08T09:13:00Z,24.30,76.00
2026-03-08T09:14:00Z,22.67,79.09
2026-03-08T09:15:00Z,22.03,77.00
2026-03-08T09:16:00Z,16.88,82.96
2026-03-08T09:17:00Z,18.76,84.07
2026-03-08T09:18:00Z,21.13,79.85
2026-03-08T09:19:00Z,20.89,81.00
2026-03-08T09:20:00Z,26.18,74.91
2026-03-08T09:21:00Z,31.80,71.96
2026-03-08T09:22:00Z,39.00,63.60
2026-03-08T09:23:00Z,37.18,62.39
2026-03-08T09:24:00Z,40.09,62.39
2026-03-08T09:25:00Z,40.25,62.39
2026-03-08T09:26:00Z,44.53,62.39
2026-03-08T09:27:00Z,47.86,52.86
2026-03-08T09:28:00Z,50.01,53.06
2026-03-08T09:29:00Z,43.03,55.23
2026-03-08T09:30:00Z,45.98,53.91
2026-03-08T09:31:00Z,46.00,55.00
2026-03-08T09:33:00Z,42.63,59.00
2026-03-08T09:34:00Z,34.29,65.86
2026-03-08T09:35:00Z,29.00,70.96
2026-03-08T09:36:00Z,24.83,76.35
2026-03-08T09:37:00Z,24.67,76.00
2026-03-08T09:38:00Z,23.00,77.00
2026-03-08T09:39:00Z,19.19,82.33
2026-03-08T09:40:00Z,13.83,88.40
2026-03-08T09:41:00Z,11.19,89.00
2026-03-08T09:42:00Z,19.65,84.81
2026-03-08T09:44:00Z,11.88,88.00
2026-03-08T09:45:00Z,10.39,89.45
2026-03-08T09:46:00Z,7.89,92.46
2026-03-08T09:47:00Z,10.55,91.00
2026-03-08T09:48:00Z,9.00,91.01
2026-03-08T09:49:00Z,8.51,93.00
2026-03-08T09:50:00Z,9.00,93.00
2026-03-08T09:51:00Z,8.00,93.00
2026-03-08T09:52:00Z,4.91,94.00
2026-03-08T09:53:00Z,5.87,92.36
2026-03-08T09:54:00Z,5.68,94.91
2026-03-08T09:55:00Z,4.63,96.72
2026-03-08T09:56:00Z,4.00,96.72
2026-03-08T09:57:00Z,3.46,96.72
2026-03-08T09:58:00Z,3.46,96.00
2026-03-08T09:59:00Z,4.44,96.02
2026-03-08T10:00:00Z,5.04,95.61
2026-03-08T10:01:00Z,5.04,95.00
2026-03-08T10:02:00Z,3.13,96.90
