# event_ticker=KXATPCHALLENGERMATCH-26MAY11ABOZAR
# final_score=6-4 6-1
# score_resolution=4-6 1-6
# match_winner=Valerio Aboian
# fav_player=Carlos Maria Zarate
# dog_player=Valerio Aboian
# kalshi_date=2026-05-11
timestamp,Valerio Aboian,Carlos Maria Zarate
2026-05-11T08:06:00Z,,41.00
2026-05-11T08:57:00Z,56.00,41.00
2026-05-11T09:09:00Z,56.00,41.00
2026-05-11T11:07:00Z,56.00,41.00
2026-05-11T11:31:00Z,56.00,41.00
2026-05-11T11:37:00Z,56.00,41.00
2026-05-11T12:04:00Z,57.00,41.00
2026-05-11T12:19:00Z,56.00,41.00
2026-05-11T12:22:00Z,55.00,41.00
2026-05-11T12:26:00Z,56.00,41.00
2026-05-11T12:27:00Z,56.00,41.00
2026-05-11T12:28:00Z,56.00,41.00
2026-05-11T12:47:00Z,53.00,41.00
2026-05-11T13:46:00Z,55.00,41.00
2026-05-11T13:57:00Z,55.00,41.00
2026-05-11T14:26:00Z,55.00,41.00
2026-05-11T14:39:00Z,55.00,41.00
2026-05-11T14:40:00Z,55.00,41.00
2026-05-11T14:54:00Z,55.00,41.00
2026-05-11T14:55:00Z,55.00,41.00
2026-05-11T15:01:00Z,56.00,41.00
2026-05-11T15:43:00Z,55.00,41.00
2026-05-11T15:55:00Z,55.00,41.00
2026-05-11T16:06:00Z,53.00,41.00
2026-05-11T16:15:00Z,55.00,41.00
2026-05-11T16:16:00Z,55.00,41.00
2026-05-11T16:35:00Z,55.00,41.00
2026-05-11T16:49:00Z,56.00,41.00
2026-05-11T17:13:00Z,56.00,41.00
2026-05-11T17:30:00Z,56.00,41.00
2026-05-11T17:37:00Z,56.00,41.00
2026-05-11T17:40:00Z,56.00,41.00
2026-05-11T17:42:00Z,56.00,41.00
2026-05-11T17:45:00Z,56.00,44.21
2026-05-11T17:47:00Z,56.00,44.21
2026-05-11T17:50:00Z,56.00,44.21
2026-05-11T17:51:00Z,56.00,44.21
2026-05-11T17:53:00Z,56.00,44.21
2026-05-11T18:08:00Z,56.00,44.21
2026-05-11T18:12:00Z,56.00,44.21
2026-05-11T18:13:00Z,56.00,44.21
2026-05-11T18:14:00Z,56.00,44.21
2026-05-11T18:15:00Z,56.00,44.21
2026-05-11T18:16:00Z,56.00,44.21
2026-05-11T18:17:00Z,56.00,44.21
2026-05-11T18:18:00Z,56.00,44.21
2026-05-11T18:19:00Z,56.00,44.21
2026-05-11T18:21:00Z,57.00,44.21
2026-05-11T18:23:00Z,55.10,44.21
2026-05-11T18:26:00Z,56.77,44.21
2026-05-11T18:28:00Z,57.00,45.00
2026-05-11T18:29:00Z,57.00,45.00
2026-05-11T18:30:00Z,57.97,45.00
2026-05-11T18:32:00Z,57.97,45.00
2026-05-11T18:33:00Z,56.00,45.00
2026-05-11T18:34:00Z,56.00,48.04
2026-05-11T18:35:00Z,55.00,48.04
2026-05-11T18:36:00Z,55.00,47.98
2026-05-11T18:38:00Z,56.01,49.00
2026-05-11T18:39:00Z,57.00,46.38
2026-05-11T18:40:00Z,57.84,43.57
2026-05-11T18:41:00Z,60.96,43.57
2026-05-11T18:42:00Z,61.85,45.00
2026-05-11T18:43:00Z,61.42,40.00
2026-05-11T18:44:00Z,65.46,33.78
2026-05-11T18:45:00Z,71.59,39.00
2026-05-11T18:46:00Z,74.48,33.02
2026-05-11T18:47:00Z,79.18,18.84
2026-05-11T18:48:00Z,85.36,17.13
2026-05-11T18:49:00Z,87.00,17.00
2026-05-11T18:50:00Z,87.00,16.00
2026-05-11T18:51:00Z,87.00,16.00
2026-05-11T18:52:00Z,87.00,17.74
2026-05-11T18:53:00Z,86.32,18.00
2026-05-11T18:54:00Z,87.00,17.66
2026-05-11T18:55:00Z,87.00,17.18
2026-05-11T18:56:00Z,87.31,17.23
2026-05-11T18:57:00Z,79.13,18.98
2026-05-11T18:58:00Z,83.00,19.00
2026-05-11T18:59:00Z,83.00,18.92
2026-05-11T19:00:00Z,79.29,17.00
2026-05-11T19:01:00Z,83.00,20.00
2026-05-11T19:02:00Z,82.00,21.00
2026-05-11T19:04:00Z,80.00,18.96
2026-05-11T19:05:00Z,82.00,18.80
2026-05-11T19:06:00Z,82.10,20.03
2026-05-11T19:07:00Z,83.96,19.01
2026-05-11T19:08:00Z,83.10,18.61
2026-05-11T19:09:00Z,77.40,19.34
2026-05-11T19:10:00Z,82.00,19.00
2026-05-11T19:11:00Z,82.58,19.07
2026-05-11T19:12:00Z,82.58,21.64
2026-05-11T19:13:00Z,82.58,24.17
2026-05-11T19:14:00Z,79.00,25.08
2026-05-11T19:15:00Z,80.00,18.41
2026-05-11T19:16:00Z,80.44,24.00
2026-05-11T19:17:00Z,80.44,24.00
2026-05-11T19:18:00Z,81.00,23.00
2026-05-11T19:19:00Z,81.00,23.00
2026-05-11T19:20:00Z,81.00,23.00
2026-05-11T19:21:00Z,83.20,18.79
2026-05-11T19:22:00Z,84.01,20.00
2026-05-11T19:23:00Z,84.00,16.00
2026-05-11T19:24:00Z,83.00,15.92
2026-05-11T19:25:00Z,86.77,15.92
2026-05-11T19:26:00Z,87.16,14.36
2026-05-11T19:27:00Z,86.15,15.73
2026-05-11T19:28:00Z,86.43,12.78
2026-05-11T19:29:00Z,92.63,10.68
2026-05-11T19:30:00Z,87.87,10.32
2026-05-11T19:31:00Z,92.47,10.95
2026-05-11T19:32:00Z,92.00,10.00
2026-05-11T19:33:00Z,90.27,10.90
2026-05-11T19:34:00Z,93.13,7.00
2026-05-11T19:35:00Z,96.87,5.60
2026-05-11T19:36:00Z,96.26,5.25
2026-05-11T19:37:00Z,97.76,3.63
2026-05-11T19:38:00Z,98.77,3.91
2026-05-11T19:39:00Z,98.88,3.01
2026-05-11T19:40:00Z,98.91,3.00
2026-05-11T19:41:00Z,99.00,1.00
2026-05-11T19:42:00Z,99.00,2.00
2026-05-11T19:43:00Z,99.00,1.07
2026-05-11T19:44:00Z,99.00,1.00
2026-05-11T19:45:00Z,99.00,1.00
2026-05-11T19:47:00Z,99.00,1.00
