# event_ticker=KXATPCHALLENGERMATCH-26APR22BROSCH
# final_score=6-7(6) 6-3 6-2
# score_resolution=6-7 6-3 6-2
# match_winner=Tristan Schoolkate
# fav_player=Tristan Schoolkate
# dog_player=Liam Broady
# kalshi_date=2026-04-22
timestamp,Liam Broady,Tristan Schoolkate
2026-04-22T18:18:00Z,53.00,
2026-04-22T18:52:00Z,51.00,
2026-04-22T19:21:00Z,51.00,48.00
2026-04-22T19:32:00Z,52.00,48.00
2026-04-22T19:43:00Z,52.00,48.00
2026-04-22T19:47:00Z,53.38,48.00
2026-04-22T19:51:00Z,54.00,48.00
2026-04-22T19:55:00Z,54.00,45.00
2026-04-22T20:17:00Z,54.00,47.00
2026-04-22T20:32:00Z,54.00,47.00
2026-04-22T20:54:00Z,52.00,47.00
2026-04-22T21:16:00Z,52.00,48.00
2026-04-22T21:25:00Z,54.00,48.00
2026-04-22T21:35:00Z,54.00,45.00
2026-04-22T21:49:00Z,54.00,47.00
2026-04-22T21:58:00Z,54.00,47.00
2026-04-22T22:53:00Z,53.00,47.00
2026-04-22T22:54:00Z,53.00,47.00
2026-04-22T22:57:00Z,51.16,47.00
2026-04-22T23:09:00Z,55.00,47.00
2026-04-22T23:11:00Z,55.00,45.00
2026-04-22T23:32:00Z,53.00,45.00
2026-04-22T23:43:00Z,55.00,45.00
2026-04-22T23:48:00Z,55.95,45.00
2026-04-22T23:54:00Z,56.00,45.00
2026-04-22T23:57:00Z,56.00,47.06
2026-04-23T00:05:00Z,56.00,48.00
2026-04-23T00:06:00Z,56.00,48.00
2026-04-23T00:09:00Z,56.00,48.00
2026-04-23T00:17:00Z,56.00,47.04
2026-04-23T00:57:00Z,56.00,48.00
2026-04-23T00:58:00Z,56.00,48.00
2026-04-23T01:19:00Z,54.00,48.00
2026-04-23T01:22:00Z,54.00,48.00
2026-04-23T01:30:00Z,53.00,48.00
2026-04-23T01:35:00Z,54.00,48.00
2026-04-23T01:47:00Z,54.00,48.00
2026-04-23T01:54:00Z,54.00,48.00
2026-04-23T01:55:00Z,54.00,48.00
2026-04-23T01:58:00Z,54.00,48.00
2026-04-23T02:01:00Z,54.00,48.00
2026-04-23T02:05:00Z,54.00,48.00
2026-04-23T02:08:00Z,54.00,48.00
2026-04-23T02:09:00Z,54.00,48.00
2026-04-23T02:11:00Z,54.00,48.00
2026-04-23T02:12:00Z,54.00,48.00
2026-04-23T02:14:00Z,54.00,48.00
2026-04-23T02:16:00Z,54.00,48.00
2026-04-23T02:18:00Z,54.00,48.00
2026-04-23T02:21:00Z,54.00,48.00
2026-04-23T02:22:00Z,54.00,48.00
2026-04-23T02:25:00Z,54.00,48.00
2026-04-23T02:28:00Z,54.00,48.00
2026-04-23T02:29:00Z,54.00,48.00
2026-04-23T02:31:00Z,54.00,48.00
2026-04-23T02:36:00Z,54.00,48.00
2026-04-23T02:37:00Z,54.00,48.00
2026-04-23T02:38:00Z,54.00,48.00
2026-04-23T02:39:00Z,54.00,48.00
2026-04-23T02:41:00Z,54.00,48.00
2026-04-23T02:45:00Z,54.00,48.05
2026-04-23T02:46:00Z,54.00,49.00
2026-04-23T02:49:00Z,54.00,49.00
2026-04-23T02:51:00Z,54.00,49.00
2026-04-23T02:52:00Z,54.00,49.00
2026-04-23T02:53:00Z,54.00,49.00
2026-04-23T02:57:00Z,54.00,49.00
2026-04-23T02:59:00Z,53.00,49.00
2026-04-23T03:00:00Z,54.00,49.00
2026-04-23T03:02:00Z,54.00,49.00
2026-04-23T03:03:00Z,54.00,49.00
2026-04-23T03:05:00Z,54.00,49.00
2026-04-23T03:09:00Z,54.00,49.00
2026-04-23T03:12:00Z,54.00,48.00
2026-04-23T03:13:00Z,54.00,48.00
2026-04-23T03:14:00Z,54.00,48.00
2026-04-23T03:17:00Z,54.27,48.00
2026-04-23T03:19:00Z,54.27,45.31
2026-04-23T03:21:00Z,55.00,47.90
2026-04-23T03:24:00Z,54.00,47.90
2026-04-23T03:30:00Z,54.00,47.98
2026-04-23T03:31:00Z,54.99,47.75
2026-04-23T03:32:00Z,54.44,48.00
2026-04-23T03:34:00Z,55.33,48.00
2026-04-23T03:35:00Z,55.00,48.00
2026-04-23T03:36:00Z,55.00,48.00
2026-04-23T03:40:00Z,55.66,48.00
2026-04-23T03:41:00Z,55.00,48.00
2026-04-23T03:42:00Z,55.00,47.00
2026-04-23T03:44:00Z,55.97,47.00
2026-04-23T03:48:00Z,55.00,47.00
2026-04-23T03:56:00Z,55.00,47.43
2026-04-23T04:00:00Z,55.00,47.43
2026-04-23T04:03:00Z,55.00,48.00
2026-04-23T04:04:00Z,55.44,44.84
2026-04-23T04:06:00Z,53.02,45.99
