# event_ticker=KXATPCHALLENGERMATCH-26APR03DAMRIN
# final_score=6-2 4-6 6-2
# match_winner=Daniel Rincon
# fav_player=Daniel Rincon
# dog_player=Miguel Damas
# kalshi_date=2026-04-03
timestamp,Daniel Rincon,Miguel Damas
2026-04-02T21:53:00Z,,53.00
2026-04-02T22:04:00Z,,50.00
2026-04-03T00:01:00Z,,49.00
2026-04-03T01:32:00Z,,49.00
2026-04-03T02:05:00Z,52.00,49.00
2026-04-03T03:03:00Z,52.00,49.00
2026-04-03T03:34:00Z,52.00,49.00
2026-04-03T04:48:00Z,52.00,49.00
2026-04-03T05:18:00Z,51.00,49.00
2026-04-03T05:33:00Z,51.00,50.00
2026-04-03T05:45:00Z,51.00,49.00
2026-04-03T06:01:00Z,52.00,49.00
2026-04-03T06:03:00Z,52.00,49.00
2026-04-03T06:04:00Z,52.00,49.00
2026-04-03T06:13:00Z,52.00,49.00
2026-04-03T06:23:00Z,52.00,49.32
2026-04-03T06:25:00Z,52.00,50.00
2026-04-03T06:46:00Z,53.39,50.00
2026-04-03T06:52:00Z,53.39,48.00
2026-04-03T06:53:00Z,53.39,48.00
2026-04-03T06:54:00Z,53.39,48.00
2026-04-03T07:05:00Z,54.00,48.00
2026-04-03T07:08:00Z,54.00,48.00
2026-04-03T07:20:00Z,54.00,48.00
2026-04-03T07:22:00Z,54.00,48.00
2026-04-03T07:24:00Z,54.00,48.00
2026-04-03T07:33:00Z,54.00,48.00
2026-04-03T07:41:00Z,54.00,48.00
2026-04-03T07:49:00Z,53.00,48.00
2026-04-03T08:19:00Z,53.00,48.00
2026-04-03T08:28:00Z,53.00,48.00
2026-04-03T08:33:00Z,52.97,47.00
2026-04-03T08:38:00Z,52.00,47.00
2026-04-03T08:42:00Z,52.00,50.00
2026-04-03T08:43:00Z,52.00,50.00
2026-04-03T08:45:00Z,52.32,50.00
2026-04-03T08:46:00Z,52.07,50.00
2026-04-03T08:47:00Z,55.72,48.12
2026-04-03T08:48:00Z,56.88,42.62
2026-04-03T08:49:00Z,52.04,46.77
2026-04-03T08:50:00Z,56.00,50.00
2026-04-03T08:51:00Z,56.15,49.63
2026-04-03T08:52:00Z,50.03,51.23
2026-04-03T08:53:00Z,54.75,51.00
2026-04-03T08:54:00Z,60.14,43.62
2026-04-03T08:55:00Z,62.00,42.63
2026-04-03T08:56:00Z,58.67,40.71
2026-04-03T08:57:00Z,54.69,47.57
2026-04-03T08:58:00Z,49.38,49.93
2026-04-03T08:59:00Z,48.29,55.51
2026-04-03T09:00:00Z,44.23,56.70
2026-04-03T09:01:00Z,42.19,57.96
2026-04-03T09:02:00Z,42.19,58.00
2026-04-03T09:03:00Z,44.29,59.00
2026-04-03T09:04:00Z,51.38,50.00
2026-04-03T09:05:00Z,52.00,49.48
2026-04-03T09:06:00Z,54.34,46.00
2026-04-03T09:07:00Z,54.42,47.15
2026-04-03T09:08:00Z,54.56,48.54
2026-04-03T09:09:00Z,53.64,43.61
2026-04-03T09:10:00Z,64.15,37.10
2026-04-03T09:11:00Z,63.00,38.42
2026-04-03T09:12:00Z,64.45,35.37
2026-04-03T09:13:00Z,70.51,34.13
2026-04-03T09:14:00Z,70.13,30.45
2026-04-03T09:15:00Z,70.23,31.13
2026-04-03T09:16:00Z,73.23,26.34
2026-04-03T09:17:00Z,73.09,27.13
2026-04-03T09:18:00Z,78.42,22.00
2026-04-03T09:19:00Z,79.00,21.48
2026-04-03T09:20:00Z,77.33,24.00
2026-04-03T09:21:00Z,80.13,24.00
2026-04-03T09:22:00Z,80.56,19.00
2026-04-03T09:23:00Z,81.00,19.00
2026-04-03T09:24:00Z,81.00,19.00
2026-04-03T09:25:00Z,81.45,16.70
2026-04-03T09:26:00Z,83.62,15.18
2026-04-03T09:27:00Z,90.46,11.78
2026-04-03T09:28:00Z,91.14,11.83
2026-04-03T09:29:00Z,89.43,10.07
2026-04-03T09:30:00Z,82.46,12.82
2026-04-03T09:31:00Z,87.99,12.00
2026-04-03T09:33:00Z,81.32,16.00
2026-04-03T09:34:00Z,83.11,17.84
2026-04-03T09:35:00Z,80.03,20.06
2026-04-03T09:36:00Z,79.45,21.27
2026-04-03T09:37:00Z,84.10,15.46
2026-04-03T09:38:00Z,88.83,14.00
2026-04-03T09:39:00Z,83.50,17.63
2026-04-03T09:40:00Z,79.36,22.44
2026-04-03T09:41:00Z,74.82,24.77
2026-04-03T09:42:00Z,75.00,23.90
2026-04-03T09:43:00Z,71.86,29.73
2026-04-03T09:44:00Z,66.24,35.43
2026-04-03T09:45:00Z,62.91,35.91
2026-04-03T09:46:00Z,60.00,40.13
2026-04-03T09:47:00Z,60.88,42.30
2026-04-03T09:48:00Z,61.04,37.08
2026-04-03T09:49:00Z,61.86,40.93
2026-04-03T09:50:00Z,67.00,33.02
2026-04-03T09:51:00Z,72.36,27.70
2026-04-03T09:52:00Z,72.70,28.08
2026-04-03T09:53:00Z,68.97,33.30
2026-04-03T09:54:00Z,68.97,30.36
2026-04-03T09:55:00Z,74.99,31.85
2026-04-03T09:56:00Z,62.55,39.83
2026-04-03T09:57:00Z,56.76,44.00
2026-04-03T09:58:00Z,57.55,43.98
2026-04-03T09:59:00Z,51.60,45.29
2026-04-03T10:00:00Z,56.46,49.79
2026-04-03T10:01:00Z,59.81,41.97
2026-04-03T10:02:00Z,68.09,32.96
2026-04-03T10:03:00Z,67.68,29.10
