# event_ticker=KXATPCHALLENGERMATCH-26FEB17SAKSAN
# final_score=6-3 7-5
# score_resolution=3-6 5-7
# match_winner=Carlos Sanchez Jover
# fav_player=Pedro Sakamoto
# dog_player=Carlos Sanchez Jover
# kalshi_date=2026-02-17
timestamp,Pedro Sakamoto,Carlos Sanchez Jover
2026-02-17T03:36:00Z,,66.00
2026-02-17T03:45:00Z,,66.00
2026-02-17T05:09:00Z,,66.00
2026-02-17T07:57:00Z,,64.50
2026-02-17T09:06:00Z,38.00,64.50
2026-02-17T09:23:00Z,38.00,66.00
2026-02-17T10:31:00Z,38.00,66.00
2026-02-17T12:00:00Z,38.00,66.00
2026-02-17T12:09:00Z,38.00,66.00
2026-02-17T12:16:00Z,38.00,66.00
2026-02-17T12:51:00Z,38.00,66.00
2026-02-17T12:55:00Z,38.00,66.00
2026-02-17T13:13:00Z,38.00,66.00
2026-02-17T13:53:00Z,38.00,66.00
2026-02-17T13:55:00Z,34.00,66.00
2026-02-17T14:15:00Z,34.00,68.00
2026-02-17T14:34:00Z,34.00,67.86
2026-02-17T14:40:00Z,34.00,67.50
2026-02-17T14:45:00Z,34.00,66.00
2026-02-17T14:46:00Z,37.95,66.44
2026-02-17T14:47:00Z,37.00,66.00
2026-02-17T14:49:00Z,52.00,68.05
2026-02-17T14:50:00Z,33.00,68.05
2026-02-17T14:51:00Z,38.96,68.05
2026-02-17T14:52:00Z,33.00,70.00
2026-02-17T14:54:00Z,30.00,73.00
2026-02-17T14:55:00Z,35.00,70.82
2026-02-17T14:56:00Z,35.00,68.47
2026-02-17T14:57:00Z,36.00,68.47
2026-02-17T14:58:00Z,34.00,65.69
2026-02-17T15:00:00Z,42.96,65.69
2026-02-17T15:01:00Z,40.36,58.73
2026-02-17T15:02:00Z,34.38,67.97
2026-02-17T15:03:00Z,34.00,67.97
2026-02-17T15:04:00Z,33.03,66.00
2026-02-17T15:05:00Z,33.00,67.78
2026-02-17T15:06:00Z,36.50,63.23
2026-02-17T15:07:00Z,37.96,63.23
2026-02-17T15:08:00Z,37.96,64.03
2026-02-17T15:09:00Z,35.00,66.84
2026-02-17T15:10:00Z,35.00,67.00
2026-02-17T15:11:00Z,38.92,67.00
2026-02-17T15:12:00Z,35.00,67.80
2026-02-17T15:13:00Z,36.86,67.80
2026-02-17T15:14:00Z,38.01,62.00
2026-02-17T15:15:00Z,39.03,65.00
2026-02-17T15:16:00Z,41.03,59.26
2026-02-17T15:17:00Z,40.51,58.96
2026-02-17T15:18:00Z,40.51,66.81
2026-02-17T15:19:00Z,35.00,67.00
2026-02-17T15:20:00Z,33.04,67.00
2026-02-17T15:21:00Z,21.29,70.61
2026-02-17T15:22:00Z,22.91,77.23
2026-02-17T15:23:00Z,26.12,77.50
2026-02-17T15:24:00Z,26.12,79.37
2026-02-17T15:26:00Z,26.12,80.69
2026-02-17T15:27:00Z,17.81,85.25
2026-02-17T15:28:00Z,15.85,85.00
2026-02-17T15:29:00Z,15.94,85.00
2026-02-17T15:30:00Z,15.84,86.00
2026-02-17T15:31:00Z,15.84,84.00
2026-02-17T15:32:00Z,12.00,89.84
2026-02-17T15:33:00Z,10.84,89.71
2026-02-17T15:34:00Z,6.59,93.00
2026-02-17T15:35:00Z,14.57,89.00
2026-02-17T15:36:00Z,15.00,85.30
2026-02-17T15:37:00Z,16.50,85.08
2026-02-17T15:38:00Z,16.30,83.00
2026-02-17T15:39:00Z,14.00,83.00
2026-02-17T15:40:00Z,16.96,89.00
2026-02-17T15:41:00Z,16.96,87.18
2026-02-17T15:42:00Z,19.14,83.09
2026-02-17T15:43:00Z,20.00,83.09
2026-02-17T15:44:00Z,18.00,82.40
2026-02-17T15:46:00Z,16.00,86.00
2026-02-17T15:47:00Z,16.00,82.27
2026-02-17T15:48:00Z,15.00,88.50
2026-02-17T15:49:00Z,9.88,91.44
2026-02-17T15:50:00Z,10.60,89.11
2026-02-17T15:51:00Z,6.00,93.00
2026-02-17T15:52:00Z,11.55,88.02
2026-02-17T15:53:00Z,13.67,89.66
2026-02-17T15:54:00Z,16.95,87.18
2026-02-17T15:55:00Z,14.81,84.76
2026-02-17T15:56:00Z,19.97,83.69
2026-02-17T15:57:00Z,15.23,86.67
2026-02-17T15:58:00Z,10.57,90.98
2026-02-17T15:59:00Z,10.57,91.08
2026-02-17T16:00:00Z,15.34,82.04
2026-02-17T16:01:00Z,18.16,80.94
2026-02-17T16:02:00Z,22.25,78.98
2026-02-17T16:03:00Z,21.93,80.94
2026-02-17T16:04:00Z,19.93,81.31
2026-02-17T16:05:00Z,17.88,84.00
2026-02-17T16:06:00Z,15.07,87.00
2026-02-17T16:07:00Z,18.94,82.28
2026-02-17T16:08:00Z,24.83,77.29
2026-02-17T16:09:00Z,25.74,77.00
2026-02-17T16:10:00Z,27.26,76.00
2026-02-17T16:11:00Z,19.39,81.29
2026-02-17T16:12:00Z,17.98,82.16
2026-02-17T16:13:00Z,17.91,83.88
2026-02-17T16:14:00Z,13.21,85.36
2026-02-17T16:15:00Z,9.22,91.56
2026-02-17T16:16:00Z,4.32,95.16
2026-02-17T16:17:00Z,3.77,96.26
2026-02-17T16:18:00Z,2.25,98.63
2026-02-17T16:19:00Z,3.41,98.91
2026-02-17T16:20:00Z,1.00,98.91
2026-02-17T16:21:00Z,1.00,99.00
2026-02-17T16:22:00Z,1.00,99.00
