# event_ticker=KXATPCHALLENGERMATCH-26JUN03TOPNAV
# final_score=6-3 6-4
# match_winner=Emilio Nava
# fav_player=Emilio Nava
# dog_player=Marko ToPo
# kalshi_date=2026-06-03
timestamp,Marko ToPo,Emilio Nava
2026-06-02T22:43:00Z,,78.00
2026-06-02T23:07:00Z,25.00,78.00
2026-06-02T23:33:00Z,25.00,77.00
2026-06-03T00:06:00Z,25.00,78.00
2026-06-03T00:14:00Z,24.00,78.00
2026-06-03T00:34:00Z,24.00,78.00
2026-06-03T02:14:00Z,24.00,78.00
2026-06-03T02:40:00Z,24.00,78.00
2026-06-03T02:52:00Z,24.00,78.00
2026-06-03T02:56:00Z,24.00,78.00
2026-06-03T03:18:00Z,24.00,78.00
2026-06-03T03:31:00Z,23.68,78.00
2026-06-03T03:35:00Z,23.68,78.00
2026-06-03T03:50:00Z,22.00,78.00
2026-06-03T04:05:00Z,24.00,78.00
2026-06-03T04:09:00Z,24.00,78.00
2026-06-03T04:21:00Z,24.00,78.00
2026-06-03T04:24:00Z,24.00,78.00
2026-06-03T04:26:00Z,24.00,78.00
2026-06-03T04:35:00Z,24.00,78.00
2026-06-03T04:44:00Z,23.00,78.00
2026-06-03T04:48:00Z,23.00,78.00
2026-06-03T04:52:00Z,23.00,78.00
2026-06-03T05:06:00Z,23.00,78.00
2026-06-03T05:08:00Z,23.00,78.00
2026-06-03T05:10:00Z,22.52,78.00
2026-06-03T05:15:00Z,23.00,78.00
2026-06-03T05:21:00Z,23.82,78.00
2026-06-03T05:22:00Z,25.00,78.00
2026-06-03T05:23:00Z,25.00,77.00
2026-06-03T05:50:00Z,25.00,77.00
2026-06-03T06:04:00Z,25.00,77.00
2026-06-03T06:05:00Z,25.00,77.00
2026-06-03T06:09:00Z,25.00,77.00
2026-06-03T06:16:00Z,25.00,77.00
2026-06-03T06:28:00Z,25.00,77.00
2026-06-03T06:39:00Z,25.00,77.97
2026-06-03T06:40:00Z,25.00,78.00
2026-06-03T06:41:00Z,24.00,78.00
2026-06-03T06:49:00Z,24.00,78.00
2026-06-03T06:51:00Z,24.00,78.00
2026-06-03T06:59:00Z,24.00,78.00
2026-06-03T07:13:00Z,24.00,78.00
2026-06-03T07:14:00Z,24.00,78.00
2026-06-03T07:24:00Z,24.00,78.00
2026-06-03T08:14:00Z,24.00,78.00
2026-06-03T08:18:00Z,24.00,78.00
2026-06-03T08:31:00Z,23.31,78.00
2026-06-03T08:34:00Z,23.31,78.00
2026-06-03T08:37:00Z,23.31,78.00
2026-06-03T08:45:00Z,23.31,78.00
2026-06-03T08:48:00Z,23.31,78.00
2026-06-03T08:51:00Z,23.31,78.00
2026-06-03T08:53:00Z,24.00,78.00
2026-06-03T08:55:00Z,24.00,78.00
2026-06-03T08:58:00Z,23.00,78.00
2026-06-03T08:59:00Z,23.00,78.00
2026-06-03T09:06:00Z,23.00,78.00
2026-06-03T09:10:00Z,23.00,78.00
2026-06-03T09:13:00Z,23.00,78.00
2026-06-03T09:26:00Z,23.00,78.00
