# event_ticker=KXATPMATCH-26MAR20KOULEH
# final_score=6-2 7-5
# score_resolution=2-6 5-7
# match_winner=Jiri Lehecka
# fav_player=Moise Kouame
# dog_player=Jiri Lehecka
# kalshi_date=2026-03-20
timestamp,Moise Kouame,Jiri Lehecka
2026-03-20T13:32:00Z,17.00,
2026-03-20T13:47:00Z,17.00,
2026-03-20T13:54:00Z,17.00,84.00
2026-03-20T14:01:00Z,17.00,85.00
2026-03-20T14:14:00Z,17.00,85.00
2026-03-20T14:33:00Z,17.00,85.00
2026-03-20T14:50:00Z,15.00,85.00
2026-03-20T15:12:00Z,17.00,85.00
2026-03-20T15:47:00Z,17.00,85.00
2026-03-20T15:57:00Z,17.00,85.00
2026-03-20T16:41:00Z,17.00,85.00
2026-03-20T16:54:00Z,15.00,85.00
2026-03-20T17:16:00Z,15.00,85.00
2026-03-20T18:24:00Z,17.00,85.00
2026-03-20T18:55:00Z,17.00,85.00
2026-03-20T19:01:00Z,17.00,85.00
2026-03-20T19:26:00Z,17.00,85.00
2026-03-20T19:42:00Z,17.79,85.00
2026-03-20T20:06:00Z,17.98,85.00
2026-03-20T20:19:00Z,17.90,85.00
2026-03-20T20:22:00Z,17.00,85.00
2026-03-20T20:45:00Z,17.00,85.00
2026-03-20T20:46:00Z,17.00,85.00
2026-03-20T20:54:00Z,17.93,85.00
2026-03-20T21:11:00Z,18.00,85.00
2026-03-20T21:24:00Z,18.00,85.00
2026-03-20T21:39:00Z,18.00,85.00
2026-03-20T21:41:00Z,18.00,85.00
2026-03-20T21:51:00Z,18.00,85.00
2026-03-20T21:55:00Z,18.00,85.00
2026-03-20T21:57:00Z,18.00,85.00
2026-03-20T22:03:00Z,17.00,85.00
2026-03-20T22:04:00Z,16.00,85.00
2026-03-20T22:25:00Z,17.00,85.00
2026-03-20T22:28:00Z,17.00,85.00
2026-03-20T22:30:00Z,17.00,85.00
2026-03-20T22:35:00Z,17.00,84.00
2026-03-20T22:49:00Z,17.00,84.00
2026-03-20T22:59:00Z,17.00,85.00
2026-03-20T23:25:00Z,17.00,85.00
2026-03-20T23:41:00Z,17.00,84.00
2026-03-20T23:55:00Z,16.00,84.00
2026-03-20T23:56:00Z,17.00,84.00
2026-03-21T00:07:00Z,17.00,84.00
2026-03-21T00:09:00Z,17.00,85.00
2026-03-21T00:13:00Z,17.00,85.00
2026-03-21T00:17:00Z,17.00,85.00
