# event_ticker=KXATPCHALLENGERMATCH-26FEB18VANKUK
# final_score=6-3 6-2
# match_winner=Luca Van Assche
# fav_player=Luca Van Assche
# dog_player=Mikhail Kukushkin
# kalshi_date=2026-02-18
timestamp,Luca Van Assche,Mikhail Kukushkin
2026-02-18T07:24:00Z,67.00,
2026-02-18T10:07:00Z,67.00,
2026-02-18T14:19:00Z,65.00,
2026-02-18T14:33:00Z,65.00,
2026-02-18T14:50:00Z,66.00,36.00
2026-02-18T14:51:00Z,65.00,36.00
2026-02-18T14:52:00Z,65.00,38.00
2026-02-18T14:54:00Z,65.00,38.00
2026-02-18T15:00:00Z,65.57,36.00
2026-02-18T15:11:00Z,66.00,35.00
2026-02-18T15:17:00Z,65.00,35.00
2026-02-18T15:18:00Z,65.00,35.00
2026-02-18T15:21:00Z,66.00,35.00
2026-02-18T15:48:00Z,66.00,36.00
2026-02-18T15:54:00Z,66.00,36.81
2026-02-18T16:01:00Z,65.00,36.81
2026-02-18T16:04:00Z,65.00,36.81
2026-02-18T16:08:00Z,65.00,36.81
2026-02-18T16:36:00Z,65.00,36.81
2026-02-18T16:52:00Z,65.00,36.81
2026-02-18T16:59:00Z,65.00,36.81
2026-02-18T17:00:00Z,65.00,37.00
2026-02-18T17:05:00Z,65.00,37.00
2026-02-18T17:10:00Z,65.00,37.00
2026-02-18T17:17:00Z,65.00,37.00
2026-02-18T17:22:00Z,65.00,37.00
2026-02-18T17:23:00Z,63.00,37.00
2026-02-18T17:26:00Z,63.00,38.00
2026-02-18T17:31:00Z,65.00,38.00
2026-02-18T17:32:00Z,65.00,38.00
2026-02-18T17:34:00Z,65.00,37.00
2026-02-18T17:41:00Z,63.00,37.00
2026-02-18T17:50:00Z,66.00,37.00
2026-02-18T18:00:00Z,66.00,37.00
2026-02-18T18:10:00Z,66.00,37.00
2026-02-18T18:16:00Z,66.00,37.00
2026-02-18T18:18:00Z,66.00,37.00
2026-02-18T18:19:00Z,64.00,37.00
2026-02-18T18:21:00Z,66.00,37.00
2026-02-18T18:24:00Z,66.00,37.00
2026-02-18T18:25:00Z,66.00,37.00
2026-02-18T18:26:00Z,66.00,37.00
2026-02-18T18:31:00Z,66.00,37.00
2026-02-18T18:33:00Z,66.00,37.00
2026-02-18T18:34:00Z,66.00,37.00
2026-02-18T18:35:00Z,66.00,37.00
2026-02-18T18:37:00Z,66.00,37.00
2026-02-18T18:38:00Z,66.00,37.00
2026-02-18T18:44:00Z,65.85,37.00
2026-02-18T18:47:00Z,65.85,38.00
2026-02-18T18:53:00Z,64.97,38.00
2026-02-18T18:56:00Z,64.99,38.00
2026-02-18T19:00:00Z,64.98,38.00
2026-02-18T19:04:00Z,64.98,38.99
2026-02-18T19:05:00Z,64.00,38.99
2026-02-18T19:06:00Z,64.00,39.57
2026-02-18T19:07:00Z,64.00,38.99
2026-02-18T19:08:00Z,65.30,36.58
2026-02-18T19:09:00Z,63.37,38.73
2026-02-18T19:10:00Z,58.26,42.00
2026-02-18T19:11:00Z,57.04,42.00
2026-02-18T19:12:00Z,60.56,40.59
2026-02-18T19:13:00Z,52.70,47.03
2026-02-18T19:14:00Z,49.93,51.01
2026-02-18T19:15:00Z,57.19,48.30
2026-02-18T19:16:00Z,59.89,39.85
2026-02-18T19:17:00Z,59.44,40.00
2026-02-18T19:18:00Z,54.04,42.46
2026-02-18T19:19:00Z,56.59,48.55
2026-02-18T19:20:00Z,65.14,38.70
2026-02-18T19:21:00Z,67.52,33.72
2026-02-18T19:22:00Z,70.71,30.99
2026-02-18T19:23:00Z,71.92,29.54
2026-02-18T19:24:00Z,70.94,30.00
2026-02-18T19:25:00Z,71.00,29.49
2026-02-18T19:26:00Z,64.98,35.00
2026-02-18T19:27:00Z,67.22,33.65
2026-02-18T19:28:00Z,67.00,35.41
2026-02-18T19:29:00Z,66.01,36.00
2026-02-18T19:30:00Z,67.55,35.39
2026-02-18T19:31:00Z,71.13,29.89
2026-02-18T19:32:00Z,71.76,30.00
2026-02-18T19:33:00Z,73.37,28.15
2026-02-18T19:34:00Z,72.99,30.18
2026-02-18T19:35:00Z,73.12,30.06
2026-02-18T19:36:00Z,75.71,26.88
2026-02-18T19:37:00Z,81.59,20.09
2026-02-18T19:38:00Z,85.44,17.00
2026-02-18T19:39:00Z,85.87,13.48
2026-02-18T19:40:00Z,85.89,15.00
2026-02-18T19:41:00Z,82.54,16.06
2026-02-18T19:42:00Z,82.86,14.00
2026-02-18T19:43:00Z,85.80,15.02
2026-02-18T19:44:00Z,84.00,16.80
2026-02-18T19:45:00Z,83.00,17.41
2026-02-18T19:46:00Z,84.38,17.00
2026-02-18T19:47:00Z,84.08,15.79
2026-02-18T19:48:00Z,85.76,16.00
2026-02-18T19:49:00Z,84.46,16.00
2026-02-18T19:50:00Z,87.64,15.81
2026-02-18T19:51:00Z,86.17,12.81
2026-02-18T19:52:00Z,83.32,15.69
2026-02-18T19:53:00Z,81.61,18.77
2026-02-18T19:54:00Z,81.68,19.02
2026-02-18T19:55:00Z,84.83,17.58
2026-02-18T19:56:00Z,83.95,17.00
2026-02-18T19:57:00Z,84.20,18.97
2026-02-18T19:58:00Z,78.26,22.10
2026-02-18T19:59:00Z,78.31,25.93
2026-02-18T20:00:00Z,81.40,20.00
2026-02-18T20:01:00Z,80.09,21.33
2026-02-18T20:02:00Z,81.18,19.99
2026-02-18T20:03:00Z,84.32,18.33
2026-02-18T20:04:00Z,86.07,16.86
2026-02-18T20:05:00Z,86.87,16.00
2026-02-18T20:06:00Z,84.20,17.72
2026-02-18T20:07:00Z,83.29,18.90
2026-02-18T20:08:00Z,82.70,19.82
2026-02-18T20:09:00Z,80.00,21.00
2026-02-18T20:10:00Z,80.00,20.39
2026-02-18T20:11:00Z,83.48,16.71
2026-02-18T20:12:00Z,82.74,17.24
2026-02-18T20:13:00Z,82.61,18.26
2026-02-18T20:14:00Z,81.67,19.55
2026-02-18T20:15:00Z,79.66,20.32
2026-02-18T20:16:00Z,83.44,18.49
2026-02-18T20:17:00Z,82.68,18.04
2026-02-18T20:18:00Z,85.77,18.02
2026-02-18T20:19:00Z,88.06,8.55
2026-02-18T20:20:00Z,94.83,7.47
2026-02-18T20:21:00Z,94.95,5.93
2026-02-18T20:22:00Z,95.84,4.26
2026-02-18T20:23:00Z,96.54,3.52
2026-02-18T20:24:00Z,97.67,3.71
2026-02-18T20:25:00Z,97.71,3.94
2026-02-18T20:26:00Z,96.56,3.13
2026-02-18T20:27:00Z,97.30,3.09
2026-02-18T20:28:00Z,98.01,2.80
2026-02-18T20:29:00Z,98.72,2.00
2026-02-18T20:30:00Z,98.98,1.02
2026-02-18T20:31:00Z,99.00,1.00
2026-02-18T20:32:00Z,99.00,1.00
2026-02-18T20:33:00Z,99.00,1.00
2026-02-18T20:34:00Z,99.00,1.00
2026-02-18T20:35:00Z,99.00,1.00
2026-02-18T20:36:00Z,99.00,1.00
2026-02-18T20:37:00Z,99.00,1.00
2026-02-18T20:38:00Z,99.00,1.00
2026-02-18T20:39:00Z,99.00,1.00
2026-02-18T20:40:00Z,99.00,1.00
