# event_ticker=KXATPMATCH-25JUL25CAZRIN
# final_score=7-5 6-3
# match_winner=Arthur Cazaux
# fav_player=Arthur Cazaux
# dog_player=Arthur Rinderknech
# kalshi_date=2025-07-25
timestamp,Arthur Cazaux,Arthur Rinderknech
2025-07-25T01:39:00Z,63.00,
2025-07-25T01:43:00Z,63.00,
2025-07-25T01:47:00Z,60.00,
2025-07-25T01:49:00Z,60.28,
2025-07-25T02:09:00Z,61.00,
2025-07-25T02:11:00Z,61.00,47.35
2025-07-25T02:17:00Z,61.00,47.00
2025-07-25T02:23:00Z,60.00,47.00
2025-07-25T02:27:00Z,60.00,47.00
2025-07-25T02:35:00Z,59.00,47.00
2025-07-25T02:41:00Z,59.00,44.00
2025-07-25T02:43:00Z,59.00,44.00
2025-07-25T02:45:00Z,59.00,44.00
2025-07-25T02:51:00Z,60.20,44.00
2025-07-25T02:52:00Z,61.00,44.00
2025-07-25T02:53:00Z,61.00,44.00
2025-07-25T02:56:00Z,61.00,44.00
2025-07-25T03:04:00Z,61.00,43.00
2025-07-25T03:05:00Z,61.00,43.00
2025-07-25T03:06:00Z,61.00,43.00
2025-07-25T03:07:00Z,61.00,43.35
2025-07-25T03:08:00Z,61.00,44.00
2025-07-25T03:09:00Z,61.00,43.00
2025-07-25T03:14:00Z,61.00,43.00
2025-07-25T03:15:00Z,61.00,43.00
2025-07-25T03:17:00Z,61.00,43.00
2025-07-25T03:20:00Z,59.70,43.00
2025-07-25T03:21:00Z,60.00,43.00
2025-07-25T03:23:00Z,59.19,43.00
2025-07-25T03:26:00Z,60.00,43.00
2025-07-25T03:27:00Z,60.00,43.00
2025-07-25T03:29:00Z,60.00,43.00
2025-07-25T03:30:00Z,60.00,43.00
2025-07-25T03:31:00Z,61.00,43.00
2025-07-25T03:33:00Z,61.00,43.28
2025-07-25T03:34:00Z,61.00,43.28
2025-07-25T03:35:00Z,61.00,43.28
2025-07-25T03:36:00Z,61.00,43.28
2025-07-25T03:43:00Z,61.00,43.28
2025-07-25T03:44:00Z,60.00,43.28
2025-07-25T03:46:00Z,60.00,43.00
2025-07-25T03:47:00Z,61.00,43.00
2025-07-25T03:48:00Z,60.00,43.00
2025-07-25T03:51:00Z,60.00,43.00
