# event_ticker=KXATPCHALLENGERMATCH-26MAR24ESTJAN
# final_score=6-4 6-1
# score_resolution=4-6 1-6
# match_winner=Maxime Janvier
# fav_player=Juan Estevez
# dog_player=Maxime Janvier
# kalshi_date=2026-03-24
timestamp,Juan Estevez,Maxime Janvier
2026-03-24T05:32:00Z,69.00,
2026-03-24T05:51:00Z,69.00,
2026-03-24T06:00:00Z,69.00,
2026-03-24T06:17:00Z,69.00,
2026-03-24T06:18:00Z,69.00,
2026-03-24T06:45:00Z,69.00,
2026-03-24T06:57:00Z,69.00,
2026-03-24T07:00:00Z,69.00,
2026-03-24T07:39:00Z,69.00,
2026-03-24T08:01:00Z,64.00,
2026-03-24T08:22:00Z,68.00,
2026-03-24T08:28:00Z,69.00,
2026-03-24T10:32:00Z,67.25,
2026-03-24T10:46:00Z,68.00,
2026-03-24T11:59:00Z,68.00,33.00
2026-03-24T12:18:00Z,68.00,33.00
2026-03-24T13:41:00Z,69.00,33.00
2026-03-24T13:47:00Z,69.00,33.00
2026-03-24T14:02:00Z,69.00,33.00
2026-03-24T14:52:00Z,69.00,33.00
2026-03-24T15:02:00Z,69.00,33.00
2026-03-24T15:08:00Z,69.00,33.00
2026-03-24T16:02:00Z,69.00,32.00
2026-03-24T16:17:00Z,69.00,32.00
2026-03-24T16:20:00Z,69.00,32.00
2026-03-24T16:23:00Z,69.79,32.00
2026-03-24T16:24:00Z,70.00,32.00
2026-03-24T16:27:00Z,70.00,32.00
2026-03-24T16:28:00Z,70.00,32.00
2026-03-24T16:48:00Z,70.00,30.00
2026-03-24T16:51:00Z,70.30,30.00
2026-03-24T16:54:00Z,70.00,30.00
2026-03-24T16:55:00Z,70.00,30.00
2026-03-24T16:56:00Z,71.00,30.00
2026-03-24T17:05:00Z,71.00,32.00
2026-03-24T17:07:00Z,71.00,32.00
2026-03-24T17:09:00Z,70.00,32.00
2026-03-24T17:10:00Z,70.00,30.00
2026-03-24T17:11:00Z,74.00,26.06
2026-03-24T17:12:00Z,69.01,32.98
2026-03-24T17:13:00Z,76.50,23.00
2026-03-24T17:14:00Z,78.00,23.00
2026-03-24T17:15:00Z,78.00,21.00
2026-03-24T17:16:00Z,79.99,20.28
2026-03-24T17:17:00Z,72.48,27.26
2026-03-24T17:18:00Z,68.00,33.71
2026-03-24T17:19:00Z,68.00,35.00
2026-03-24T17:20:00Z,68.00,31.00
2026-03-24T17:21:00Z,68.00,29.54
2026-03-24T17:22:00Z,68.00,29.54
2026-03-24T17:23:00Z,63.91,38.15
2026-03-24T17:24:00Z,61.00,40.00
2026-03-24T17:26:00Z,60.00,40.00
2026-03-24T17:27:00Z,60.00,41.94
2026-03-24T17:28:00Z,60.00,38.61
2026-03-24T17:29:00Z,63.00,35.00
2026-03-24T17:30:00Z,69.00,28.63
2026-03-24T17:31:00Z,76.18,23.86
2026-03-24T17:32:00Z,79.00,23.86
2026-03-24T17:33:00Z,74.00,25.24
2026-03-24T17:34:00Z,65.63,35.16
2026-03-24T17:35:00Z,71.86,28.31
2026-03-24T17:36:00Z,70.00,31.25
2026-03-24T17:37:00Z,70.00,28.00
2026-03-24T17:38:00Z,70.00,30.93
2026-03-24T17:39:00Z,71.69,31.89
2026-03-24T17:40:00Z,65.84,38.77
2026-03-24T17:41:00Z,65.84,37.39
2026-03-24T17:42:00Z,60.00,37.39
2026-03-24T17:43:00Z,62.67,36.27
2026-03-24T17:44:00Z,61.00,44.56
2026-03-24T17:45:00Z,50.03,50.33
2026-03-24T17:46:00Z,59.03,42.61
2026-03-24T17:47:00Z,59.03,38.70
2026-03-24T17:48:00Z,58.24,38.70
2026-03-24T17:49:00Z,56.00,46.00
2026-03-24T17:50:00Z,53.94,46.00
2026-03-24T17:51:00Z,54.00,47.00
2026-03-24T17:52:00Z,54.73,47.00
2026-03-24T17:53:00Z,52.21,51.83
2026-03-24T17:54:00Z,49.92,53.00
2026-03-24T17:55:00Z,48.40,51.13
2026-03-24T17:56:00Z,38.86,63.47
2026-03-24T17:57:00Z,34.00,66.32
2026-03-24T17:58:00Z,34.00,65.00
2026-03-24T17:59:00Z,34.00,66.00
2026-03-24T18:00:00Z,37.77,67.00
2026-03-24T18:01:00Z,32.36,69.37
2026-03-24T18:02:00Z,33.20,64.20
2026-03-24T18:03:00Z,31.95,68.64
2026-03-24T18:04:00Z,32.92,68.00
2026-03-24T18:05:00Z,33.24,67.00
2026-03-24T18:06:00Z,29.24,69.64
2026-03-24T18:07:00Z,28.02,73.79
2026-03-24T18:08:00Z,29.32,69.38
2026-03-24T18:09:00Z,33.28,66.00
2026-03-24T18:10:00Z,35.66,65.99
2026-03-24T18:11:00Z,37.61,62.29
2026-03-24T18:12:00Z,41.72,60.27
2026-03-24T18:13:00Z,47.02,56.51
2026-03-24T18:14:00Z,38.39,58.89
2026-03-24T18:15:00Z,44.00,58.00
2026-03-24T18:16:00Z,38.68,63.38
2026-03-24T18:17:00Z,39.56,63.82
2026-03-24T18:18:00Z,37.44,62.41
2026-03-24T18:19:00Z,34.32,67.52
2026-03-24T18:20:00Z,32.35,69.79
2026-03-24T18:21:00Z,17.85,72.98
2026-03-24T18:22:00Z,18.12,81.52
2026-03-24T18:23:00Z,24.08,77.03
2026-03-24T18:24:00Z,34.04,78.26
2026-03-24T18:25:00Z,13.65,85.51
2026-03-24T18:26:00Z,12.66,83.99
2026-03-24T18:27:00Z,17.67,82.92
2026-03-24T18:28:00Z,15.34,86.87
2026-03-24T18:29:00Z,15.75,86.94
2026-03-24T18:30:00Z,8.50,89.34
2026-03-24T18:31:00Z,8.58,91.12
2026-03-24T18:32:00Z,5.00,93.68
2026-03-24T18:33:00Z,3.57,97.28
2026-03-24T18:34:00Z,5.00,98.62
2026-03-24T18:35:00Z,1.00,98.99
2026-03-24T18:36:00Z,1.00,98.99
2026-03-24T18:37:00Z,1.00,99.00
