# event_ticker=KXATPMATCH-25SEP21OCOTAB
# final_score=4-6 7-5 6-2
# match_winner=Alejandro Tabilo
# fav_player=Alejandro Tabilo
# dog_player=Christopher O'Connell
# kalshi_date=2025-09-21
timestamp,Alejandro Tabilo,Christopher O'Connell
2025-09-20T19:20:00Z,,39.00
2025-09-20T19:21:00Z,62.00,39.00
2025-09-20T19:37:00Z,62.00,39.00
2025-09-20T19:38:00Z,63.00,37.00
2025-09-20T19:54:00Z,63.00,39.00
2025-09-20T20:24:00Z,63.00,39.00
2025-09-20T20:37:00Z,63.00,39.00
2025-09-20T20:43:00Z,63.00,39.00
2025-09-20T21:15:00Z,63.00,38.00
2025-09-20T21:21:00Z,63.00,38.00
2025-09-20T22:02:00Z,64.00,38.00
2025-09-20T22:31:00Z,65.00,38.00
2025-09-20T23:32:00Z,65.00,38.00
2025-09-20T23:42:00Z,65.00,36.00
2025-09-20T23:46:00Z,65.00,36.00
2025-09-21T00:06:00Z,65.00,36.00
2025-09-21T00:10:00Z,65.00,36.00
2025-09-21T00:42:00Z,65.00,36.00
2025-09-21T00:43:00Z,65.00,36.00
2025-09-21T01:06:00Z,63.19,36.00
2025-09-21T01:14:00Z,65.00,36.00
2025-09-21T01:23:00Z,64.00,36.00
2025-09-21T01:34:00Z,64.00,36.00
2025-09-21T01:41:00Z,64.00,36.00
2025-09-21T01:42:00Z,65.00,36.00
2025-09-21T01:48:00Z,65.00,36.00
2025-09-21T01:50:00Z,65.00,36.00
2025-09-21T01:51:00Z,65.00,36.00
2025-09-21T02:04:00Z,65.00,36.00
2025-09-21T02:11:00Z,65.00,36.00
2025-09-21T02:24:00Z,65.00,36.00
2025-09-21T02:26:00Z,65.00,36.00
2025-09-21T02:31:00Z,65.00,36.00
2025-09-21T02:32:00Z,65.00,35.00
2025-09-21T02:39:00Z,65.00,35.00
2025-09-21T02:42:00Z,65.00,35.00
2025-09-21T02:47:00Z,65.00,35.00
2025-09-21T02:51:00Z,65.00,36.00
2025-09-21T02:53:00Z,65.00,36.00
2025-09-21T02:54:00Z,65.00,36.00
2025-09-21T02:59:00Z,65.00,36.00
2025-09-21T03:02:00Z,64.00,36.00
2025-09-21T03:13:00Z,66.00,36.00
2025-09-21T03:15:00Z,65.00,36.00
2025-09-21T03:16:00Z,65.00,36.00
2025-09-21T03:18:00Z,65.00,36.00
2025-09-21T03:19:00Z,65.00,36.00
2025-09-21T03:20:00Z,65.00,36.00
2025-09-21T03:23:00Z,65.00,36.00
2025-09-21T03:28:00Z,65.00,36.00
2025-09-21T03:30:00Z,65.00,35.00
2025-09-21T03:32:00Z,65.00,35.00
2025-09-21T03:33:00Z,65.00,35.00
2025-09-21T03:43:00Z,64.00,35.00
2025-09-21T03:44:00Z,64.00,35.00
2025-09-21T03:54:00Z,64.00,35.00
2025-09-21T04:00:00Z,64.00,36.00
2025-09-21T04:01:00Z,63.00,36.00
2025-09-21T04:04:00Z,63.00,36.00
2025-09-21T04:05:00Z,63.00,36.00
2025-09-21T04:12:00Z,64.00,36.00
2025-09-21T04:13:00Z,64.00,36.00
2025-09-21T04:14:00Z,64.00,36.00
2025-09-21T04:16:00Z,64.00,36.00
2025-09-21T04:17:00Z,64.00,36.00
2025-09-21T04:18:00Z,64.00,36.00
2025-09-21T04:19:00Z,64.18,36.00
2025-09-21T04:22:00Z,64.18,36.00
2025-09-21T04:23:00Z,64.18,36.79
2025-09-21T04:24:00Z,65.00,36.79
2025-09-21T04:27:00Z,65.00,36.79
2025-09-21T04:29:00Z,64.00,36.79
2025-09-21T04:30:00Z,64.00,36.79
2025-09-21T04:32:00Z,64.00,37.00
2025-09-21T04:34:00Z,64.00,37.00
2025-09-21T04:35:00Z,64.00,37.00
2025-09-21T04:36:00Z,64.00,37.00
2025-09-21T04:38:00Z,64.00,37.00
2025-09-21T04:40:00Z,64.00,37.00
2025-09-21T04:42:00Z,64.00,37.00
2025-09-21T04:43:00Z,64.00,37.00
2025-09-21T04:44:00Z,64.00,37.00
2025-09-21T04:45:00Z,64.00,36.00
2025-09-21T04:47:00Z,64.00,36.00
2025-09-21T04:48:00Z,64.00,36.00
2025-09-21T04:49:00Z,64.00,37.00
2025-09-21T04:50:00Z,64.00,37.00
2025-09-21T04:51:00Z,64.00,37.00
2025-09-21T04:52:00Z,64.00,37.00
2025-09-21T04:55:00Z,64.00,37.00
2025-09-21T04:56:00Z,64.71,37.00
2025-09-21T04:57:00Z,65.00,37.00
2025-09-21T04:59:00Z,64.00,37.00
2025-09-21T05:00:00Z,64.00,37.00
2025-09-21T05:01:00Z,64.00,37.00
2025-09-21T05:02:00Z,64.00,37.00
2025-09-21T05:05:00Z,69.37,37.00
2025-09-21T05:06:00Z,69.37,36.97
2025-09-21T05:08:00Z,71.00,36.97
2025-09-21T05:09:00Z,71.00,37.00
2025-09-21T05:10:00Z,67.44,36.00
2025-09-21T05:11:00Z,66.00,36.00
2025-09-21T05:12:00Z,66.00,35.00
2025-09-21T05:13:00Z,65.97,35.78
2025-09-21T05:14:00Z,65.00,37.00
2025-09-21T05:15:00Z,68.67,31.00
2025-09-21T05:16:00Z,69.55,29.00
