# event_ticker=KXATPCHALLENGERMATCH-26MAY29SAKNAG
# final_score=6-1 6-4
# match_winner=Stefanos Sakellaridis
# fav_player=Stefanos Sakellaridis
# dog_player=Sumit Nagal
# kalshi_date=2026-05-29
timestamp,Stefanos Sakellaridis,Sumit Nagal
2026-05-28T22:53:00Z,54.00,48.00
2026-05-28T23:21:00Z,54.00,48.00
2026-05-28T23:27:00Z,54.00,48.00
2026-05-28T23:59:00Z,53.00,48.00
2026-05-29T01:18:00Z,53.00,48.00
2026-05-29T01:19:00Z,53.00,47.00
2026-05-29T01:41:00Z,53.00,47.00
2026-05-29T01:47:00Z,53.00,47.00
2026-05-29T01:51:00Z,55.00,47.00
2026-05-29T02:05:00Z,55.00,47.00
2026-05-29T02:45:00Z,55.24,47.00
2026-05-29T02:48:00Z,55.24,46.00
2026-05-29T02:58:00Z,55.00,46.00
2026-05-29T03:03:00Z,55.00,46.00
2026-05-29T03:10:00Z,55.00,46.00
2026-05-29T03:27:00Z,56.04,46.00
2026-05-29T03:31:00Z,56.00,46.00
2026-05-29T03:35:00Z,56.00,46.00
2026-05-29T03:59:00Z,56.00,46.00
2026-05-29T04:09:00Z,56.00,46.00
2026-05-29T04:14:00Z,56.00,46.00
2026-05-29T04:15:00Z,57.00,46.00
2026-05-29T04:16:00Z,57.00,44.87
2026-05-29T04:25:00Z,56.78,44.87
2026-05-29T04:29:00Z,57.80,44.87
2026-05-29T04:40:00Z,57.80,43.00
2026-05-29T04:41:00Z,55.05,43.00
2026-05-29T04:42:00Z,55.05,43.00
2026-05-29T04:44:00Z,57.00,43.00
2026-05-29T04:45:00Z,58.39,43.00
2026-05-29T04:48:00Z,57.00,43.00
2026-05-29T04:49:00Z,57.00,42.00
2026-05-29T04:52:00Z,57.00,43.00
2026-05-29T04:56:00Z,57.00,43.00
2026-05-29T04:59:00Z,57.00,43.00
2026-05-29T05:16:00Z,57.00,43.00
2026-05-29T05:27:00Z,58.10,43.00
2026-05-29T05:33:00Z,58.98,42.00
2026-05-29T05:34:00Z,59.00,42.00
2026-05-29T05:41:00Z,59.00,42.00
2026-05-29T05:45:00Z,59.00,42.00
2026-05-29T05:47:00Z,59.00,42.00
2026-05-29T05:51:00Z,57.00,42.00
2026-05-29T05:53:00Z,57.00,42.00
2026-05-29T05:56:00Z,57.00,42.00
2026-05-29T06:04:00Z,57.00,42.32
2026-05-29T06:11:00Z,57.00,43.00
