# event_ticker=KXATPMATCH-25JUL30FILCAR
# final_score=6-3 6-4
# match_winner=Arthur Fils
# fav_player=Arthur Fils
# dog_player=Pablo Carreno Busta
# kalshi_date=2025-07-30
timestamp,Arthur Fils,Pablo Carreno Busta
2025-07-30T13:19:00Z,,31.00
2025-07-30T13:51:00Z,,32.00
2025-07-30T13:55:00Z,,32.00
2025-07-30T14:40:00Z,70.00,32.00
2025-07-30T14:55:00Z,70.00,32.00
2025-07-30T15:38:00Z,70.00,32.00
2025-07-30T16:02:00Z,70.00,32.00
2025-07-30T18:34:00Z,70.00,32.00
2025-07-30T18:40:00Z,68.00,31.00
2025-07-30T19:11:00Z,69.00,31.00
2025-07-30T19:13:00Z,69.00,31.00
2025-07-30T20:10:00Z,71.00,31.00
2025-07-30T20:49:00Z,71.00,30.00
2025-07-30T20:57:00Z,71.00,30.00
2025-07-30T21:28:00Z,71.00,31.00
2025-07-30T21:39:00Z,71.00,29.00
2025-07-30T21:48:00Z,69.00,29.00
2025-07-30T21:56:00Z,69.00,32.00
2025-07-30T22:01:00Z,69.00,32.00
2025-07-30T22:13:00Z,69.00,32.00
2025-07-30T22:16:00Z,69.00,32.00
2025-07-30T22:22:00Z,69.00,32.00
2025-07-30T22:29:00Z,69.00,32.00
2025-07-30T22:31:00Z,69.93,32.00
2025-07-30T22:33:00Z,70.00,32.00
2025-07-30T22:35:00Z,70.00,32.00
2025-07-30T22:38:00Z,70.00,32.00
2025-07-30T22:45:00Z,70.00,32.00
2025-07-30T22:49:00Z,70.00,32.00
2025-07-30T23:05:00Z,71.00,32.00
2025-07-30T23:06:00Z,71.00,32.00
2025-07-30T23:10:00Z,71.00,33.00
2025-07-30T23:14:00Z,71.00,33.00
2025-07-30T23:18:00Z,71.00,37.94
2025-07-30T23:21:00Z,72.00,37.94
2025-07-30T23:22:00Z,71.00,37.94
2025-07-30T23:24:00Z,74.48,37.94
2025-07-30T23:26:00Z,77.74,28.18
2025-07-30T23:27:00Z,74.09,35.03
2025-07-30T23:28:00Z,74.09,34.00
2025-07-30T23:29:00Z,68.14,39.59
2025-07-30T23:30:00Z,68.05,36.24
2025-07-30T23:31:00Z,75.92,32.01
2025-07-30T23:34:00Z,74.61,28.00
2025-07-30T23:36:00Z,80.88,19.00
2025-07-30T23:37:00Z,82.00,19.00
2025-07-30T23:38:00Z,82.00,18.42
2025-07-30T23:40:00Z,87.00,18.42
2025-07-30T23:41:00Z,87.12,18.42
2025-07-30T23:43:00Z,87.12,16.00
2025-07-30T23:44:00Z,88.00,16.00
2025-07-30T23:46:00Z,87.85,18.00
2025-07-30T23:51:00Z,87.85,11.00
2025-07-30T23:53:00Z,91.00,11.00
2025-07-30T23:54:00Z,91.00,12.00
2025-07-30T23:55:00Z,90.00,12.00
2025-07-30T23:56:00Z,90.00,12.33
2025-07-30T23:58:00Z,90.00,12.33
2025-07-30T23:59:00Z,90.00,14.00
2025-07-31T00:00:00Z,90.00,14.00
2025-07-31T00:02:00Z,87.22,14.00
2025-07-31T00:05:00Z,87.22,15.00
2025-07-31T00:06:00Z,86.00,15.00
2025-07-31T00:08:00Z,85.00,17.00
2025-07-31T00:10:00Z,89.00,14.00
2025-07-31T00:14:00Z,87.00,14.00
2025-07-31T00:15:00Z,86.00,17.00
2025-07-31T00:16:00Z,86.45,13.33
2025-07-31T00:17:00Z,89.00,13.33
2025-07-31T00:19:00Z,89.00,13.00
2025-07-31T00:20:00Z,88.00,13.00
2025-07-31T00:21:00Z,86.00,13.00
2025-07-31T00:22:00Z,87.00,13.00
2025-07-31T00:23:00Z,91.00,10.00
2025-07-31T00:24:00Z,96.00,6.00
2025-07-31T00:26:00Z,95.33,3.85
2025-07-31T00:27:00Z,92.95,8.00
2025-07-31T00:28:00Z,92.95,10.00
2025-07-31T00:29:00Z,93.06,7.00
2025-07-31T00:32:00Z,93.06,7.00
2025-07-31T00:34:00Z,95.00,7.00
2025-07-31T00:35:00Z,96.00,5.00
2025-07-31T00:37:00Z,96.00,5.00
2025-07-31T00:38:00Z,96.00,5.00
2025-07-31T00:39:00Z,97.00,5.00
2025-07-31T00:43:00Z,99.00,5.00
2025-07-31T00:45:00Z,97.00,5.00
2025-07-31T00:46:00Z,94.00,6.00
2025-07-31T00:47:00Z,97.00,3.00
2025-07-31T00:48:00Z,97.00,2.00
2025-07-31T00:51:00Z,97.00,1.00
2025-07-31T00:52:00Z,98.00,2.99
2025-07-31T00:53:00Z,98.83,4.00
