# event_ticker=KXATPCHALLENGERMATCH-26APR29BAUGUE
# final_score=7-5 6-2
# match_winner=Roberto Bautista Agut
# fav_player=Roberto Bautista Agut
# dog_player=Sascha Gueymard Wayenburg
# kalshi_date=2026-04-29
timestamp,Roberto Bautista Agut,Sascha Gueymard Wayenburg
2026-04-29T01:47:00Z,64.00,
2026-04-29T02:36:00Z,61.41,
2026-04-29T02:40:00Z,62.00,
2026-04-29T02:46:00Z,62.00,39.00
2026-04-29T02:55:00Z,62.00,39.00
2026-04-29T02:58:00Z,62.00,39.00
2026-04-29T03:13:00Z,62.00,39.00
2026-04-29T03:21:00Z,62.00,39.00
2026-04-29T03:43:00Z,62.00,39.00
2026-04-29T03:57:00Z,62.00,39.00
2026-04-29T04:24:00Z,62.00,39.00
2026-04-29T04:26:00Z,62.00,39.00
2026-04-29T04:38:00Z,62.00,39.00
2026-04-29T04:39:00Z,62.00,39.00
2026-04-29T04:44:00Z,62.00,39.00
2026-04-29T05:05:00Z,62.00,38.00
2026-04-29T05:48:00Z,62.00,38.00
2026-04-29T06:29:00Z,62.00,38.00
2026-04-29T06:30:00Z,62.00,38.00
2026-04-29T06:33:00Z,62.00,38.00
2026-04-29T07:12:00Z,62.00,38.00
2026-04-29T07:36:00Z,62.00,38.00
2026-04-29T07:46:00Z,61.00,41.00
2026-04-29T08:08:00Z,62.00,41.00
2026-04-29T09:21:00Z,61.00,40.00
2026-04-29T09:50:00Z,60.00,42.97
2026-04-29T10:11:00Z,60.00,42.00
2026-04-29T10:12:00Z,60.00,42.55
2026-04-29T10:14:00Z,60.00,42.55
2026-04-29T10:25:00Z,60.00,42.55
2026-04-29T10:35:00Z,60.00,42.55
2026-04-29T10:38:00Z,60.00,43.00
2026-04-29T10:39:00Z,60.00,43.00
2026-04-29T10:40:00Z,60.72,40.00
2026-04-29T10:41:00Z,63.23,40.00
2026-04-29T10:42:00Z,64.00,40.00
2026-04-29T10:43:00Z,65.95,35.05
2026-04-29T10:44:00Z,67.00,35.00
2026-04-29T10:45:00Z,72.00,31.27
2026-04-29T10:46:00Z,71.97,32.41
2026-04-29T10:47:00Z,76.00,24.00
2026-04-29T10:48:00Z,79.00,24.00
2026-04-29T10:50:00Z,80.00,24.00
2026-04-29T10:51:00Z,80.00,20.00
2026-04-29T10:52:00Z,77.91,24.00
2026-04-29T10:53:00Z,77.91,23.00
2026-04-29T10:54:00Z,79.02,22.00
2026-04-29T10:55:00Z,80.00,22.00
2026-04-29T10:56:00Z,80.00,22.00
2026-04-29T10:57:00Z,80.00,22.00
2026-04-29T10:58:00Z,80.00,22.00
2026-04-29T10:59:00Z,79.98,21.00
2026-04-29T11:00:00Z,77.14,21.00
2026-04-29T11:01:00Z,79.00,21.00
2026-04-29T11:02:00Z,76.91,21.00
2026-04-29T11:03:00Z,76.91,27.98
2026-04-29T11:04:00Z,68.00,31.69
2026-04-29T11:05:00Z,63.00,38.98
2026-04-29T11:06:00Z,60.15,39.00
2026-04-29T11:07:00Z,57.50,44.60
2026-04-29T11:08:00Z,57.23,44.60
2026-04-29T11:09:00Z,56.01,45.00
2026-04-29T11:10:00Z,57.06,43.97
2026-04-29T11:11:00Z,59.89,38.00
2026-04-29T11:12:00Z,62.00,39.00
2026-04-29T11:13:00Z,63.64,40.48
2026-04-29T11:14:00Z,63.64,43.74
2026-04-29T11:15:00Z,59.00,43.00
2026-04-29T11:16:00Z,57.24,42.06
2026-04-29T11:17:00Z,59.02,40.36
2026-04-29T11:18:00Z,63.77,40.36
2026-04-29T11:19:00Z,63.00,37.00
2026-04-29T11:20:00Z,65.00,37.00
2026-04-29T11:21:00Z,65.89,30.00
2026-04-29T11:22:00Z,70.66,28.37
2026-04-29T11:23:00Z,76.95,24.79
2026-04-29T11:24:00Z,68.66,30.27
2026-04-29T11:25:00Z,73.00,30.27
2026-04-29T11:26:00Z,67.57,32.37
2026-04-29T11:27:00Z,79.28,24.75
2026-04-29T11:28:00Z,81.77,19.00
2026-04-29T11:29:00Z,81.77,19.00
2026-04-29T11:30:00Z,81.77,19.00
2026-04-29T11:31:00Z,81.13,19.00
2026-04-29T11:32:00Z,83.85,17.03
2026-04-29T11:33:00Z,83.60,17.00
2026-04-29T11:34:00Z,84.50,15.03
2026-04-29T11:35:00Z,85.00,15.03
2026-04-29T11:36:00Z,85.00,18.00
2026-04-29T11:37:00Z,84.00,18.00
2026-04-29T11:38:00Z,81.04,18.99
2026-04-29T11:39:00Z,76.01,22.02
2026-04-29T11:40:00Z,77.00,23.00
2026-04-29T11:41:00Z,77.00,16.00
2026-04-29T11:42:00Z,84.06,18.00
2026-04-29T11:43:00Z,84.06,16.00
2026-04-29T11:44:00Z,86.03,14.02
2026-04-29T11:45:00Z,90.82,11.00
2026-04-29T11:46:00Z,94.69,5.00
2026-04-29T11:47:00Z,95.55,6.01
2026-04-29T11:48:00Z,95.02,4.00
2026-04-29T11:49:00Z,96.56,4.00
2026-04-29T11:50:00Z,98.00,4.00
2026-04-29T11:51:00Z,96.08,4.00
2026-04-29T11:52:00Z,96.00,4.00
2026-04-29T11:53:00Z,96.00,4.00
2026-04-29T11:54:00Z,98.00,3.00
2026-04-29T11:55:00Z,98.48,2.00
2026-04-29T11:56:00Z,97.00,2.26
2026-04-29T11:57:00Z,97.00,2.00
2026-04-29T11:58:00Z,99.00,1.00
2026-04-29T11:59:00Z,97.00,1.00
2026-04-29T12:00:00Z,99.00,1.00
2026-04-29T12:01:00Z,99.00,1.00
2026-04-29T12:03:00Z,99.00,1.00
