# event_ticker=KXATPMATCH-25JUL18CERDZU
# final_score=6-0 3-6 6-3
# score_resolution=0-6 6-3 3-6
# match_winner=Francisco Cerundolo
# fav_player=Damir Dzumhur
# dog_player=Francisco Cerundolo
# kalshi_date=2025-07-18
timestamp,Damir Dzumhur,Francisco Cerundolo
2025-07-18T04:04:00Z,25.00,
2025-07-18T04:22:00Z,25.00,79.00
2025-07-18T05:19:00Z,25.00,79.00
2025-07-18T05:29:00Z,25.00,79.00
2025-07-18T05:52:00Z,25.00,80.00
2025-07-18T06:31:00Z,25.00,80.00
2025-07-18T06:42:00Z,25.00,80.00
2025-07-18T12:01:00Z,20.00,80.00
2025-07-18T12:03:00Z,20.00,81.00
2025-07-18T12:05:00Z,20.00,81.00
2025-07-18T12:08:00Z,20.00,79.00
2025-07-18T12:09:00Z,20.50,79.00
2025-07-18T12:11:00Z,21.00,79.00
2025-07-18T12:12:00Z,21.00,79.00
2025-07-18T12:13:00Z,21.00,81.00
2025-07-18T12:16:00Z,21.00,81.00
2025-07-18T12:26:00Z,21.00,81.00
2025-07-18T12:29:00Z,21.00,81.00
2025-07-18T12:32:00Z,21.00,81.00
2025-07-18T12:41:00Z,21.00,81.00
2025-07-18T13:03:00Z,21.00,81.00
2025-07-18T13:06:00Z,21.00,81.00
2025-07-18T13:11:00Z,20.00,81.00
2025-07-18T13:12:00Z,20.00,81.00
2025-07-18T13:22:00Z,20.00,81.00
2025-07-18T13:24:00Z,20.00,81.00
2025-07-18T13:26:00Z,20.00,81.00
2025-07-18T13:28:00Z,20.00,81.00
2025-07-18T13:38:00Z,21.00,81.00
2025-07-18T13:44:00Z,21.00,81.00
2025-07-18T13:45:00Z,20.00,81.00
2025-07-18T13:49:00Z,21.00,81.00
2025-07-18T13:52:00Z,21.00,81.00
2025-07-18T14:01:00Z,21.00,80.00
2025-07-18T14:09:00Z,21.00,81.00
2025-07-18T14:10:00Z,20.00,81.00
2025-07-18T14:17:00Z,21.00,81.00
2025-07-18T14:27:00Z,20.00,81.00
2025-07-18T14:28:00Z,21.00,81.00
2025-07-18T14:36:00Z,20.00,81.00
2025-07-18T14:37:00Z,20.00,81.00
2025-07-18T14:39:00Z,20.00,81.00
2025-07-18T14:40:00Z,20.00,81.00
2025-07-18T14:41:00Z,20.00,81.00
2025-07-18T14:44:00Z,20.00,81.00
2025-07-18T14:46:00Z,20.00,81.00
2025-07-18T14:47:00Z,20.00,81.00
2025-07-18T14:48:00Z,20.00,81.00
2025-07-18T14:52:00Z,20.00,81.00
2025-07-18T14:54:00Z,20.00,81.00
2025-07-18T14:56:00Z,20.00,81.00
2025-07-18T14:57:00Z,20.00,81.00
2025-07-18T14:59:00Z,20.00,81.00
2025-07-18T15:01:00Z,21.00,81.00
2025-07-18T15:02:00Z,21.00,82.00
2025-07-18T15:03:00Z,21.00,82.00
2025-07-18T15:04:00Z,20.00,82.00
2025-07-18T15:06:00Z,20.00,82.95
2025-07-18T15:07:00Z,20.00,83.00
2025-07-18T15:08:00Z,19.00,83.00
2025-07-18T15:09:00Z,19.00,83.00
2025-07-18T15:10:00Z,19.00,83.00
2025-07-18T15:12:00Z,19.03,83.00
2025-07-18T15:17:00Z,20.00,82.00
2025-07-18T15:18:00Z,20.00,82.00
2025-07-18T15:19:00Z,20.00,82.00
2025-07-18T15:22:00Z,20.00,82.00
2025-07-18T15:23:00Z,20.00,85.22
2025-07-18T15:26:00Z,22.88,85.22
2025-07-18T15:27:00Z,20.00,85.22
2025-07-18T15:28:00Z,20.00,85.22
2025-07-18T15:29:00Z,20.55,82.00
2025-07-18T15:30:00Z,20.00,82.00
2025-07-18T15:31:00Z,18.00,82.00
2025-07-18T15:32:00Z,17.60,84.51
2025-07-18T15:33:00Z,15.63,84.51
2025-07-18T15:35:00Z,13.00,84.51
2025-07-18T15:36:00Z,14.00,88.00
2025-07-18T15:37:00Z,13.00,88.00
