# event_ticker=KXATPCHALLENGERMATCH-26MAY11DLFDEV
# final_score=6-1 6-3
# score_resolution=1-6 3-6
# match_winner=Murkel Dellien
# fav_player=Santiago De la Fuente
# dog_player=Murkel Dellien
# kalshi_date=2026-05-11
timestamp,Santiago De la Fuente,Murkel Dellien
2026-05-12T02:19:00Z,23.00,
2026-05-12T02:52:00Z,23.00,
2026-05-12T03:03:00Z,23.00,77.00
2026-05-12T03:16:00Z,24.00,77.00
2026-05-12T03:17:00Z,23.00,77.00
2026-05-12T03:48:00Z,23.00,77.00
2026-05-12T06:07:00Z,25.00,77.00
2026-05-12T06:13:00Z,25.00,77.00
2026-05-12T11:56:00Z,25.00,77.00
2026-05-12T11:57:00Z,25.00,77.00
2026-05-12T12:17:00Z,25.00,77.00
2026-05-12T12:36:00Z,25.00,77.00
2026-05-12T12:44:00Z,25.00,77.00
2026-05-12T12:55:00Z,25.00,77.00
2026-05-12T13:01:00Z,25.00,77.00
2026-05-12T13:11:00Z,22.19,77.79
2026-05-12T13:12:00Z,20.19,80.15
2026-05-12T13:13:00Z,16.01,80.15
2026-05-12T13:14:00Z,16.01,86.00
2026-05-12T13:15:00Z,16.94,83.00
2026-05-12T13:16:00Z,19.00,83.00
2026-05-12T13:17:00Z,20.98,83.00
2026-05-12T13:18:00Z,20.98,84.00
2026-05-12T13:19:00Z,20.98,83.37
2026-05-12T13:20:00Z,21.79,79.30
2026-05-12T13:21:00Z,24.41,74.88
2026-05-12T13:22:00Z,26.34,74.00
2026-05-12T13:23:00Z,32.00,74.00
2026-05-12T13:24:00Z,32.00,73.00
2026-05-12T13:25:00Z,32.00,78.86
2026-05-12T13:26:00Z,32.00,81.00
2026-05-12T13:27:00Z,19.00,83.34
2026-05-12T13:28:00Z,13.24,86.00
2026-05-12T13:29:00Z,13.24,86.00
2026-05-12T13:30:00Z,13.24,86.98
2026-05-12T13:31:00Z,13.24,88.00
2026-05-12T13:32:00Z,11.86,88.87
2026-05-12T13:33:00Z,11.86,90.75
2026-05-12T13:34:00Z,9.00,92.88
2026-05-12T13:35:00Z,8.00,94.00
2026-05-12T13:37:00Z,8.00,93.00
2026-05-12T13:38:00Z,8.00,93.00
2026-05-12T13:39:00Z,6.00,91.00
2026-05-12T13:42:00Z,6.00,93.32
2026-05-12T13:43:00Z,6.00,95.00
2026-05-12T13:44:00Z,6.00,95.00
2026-05-12T13:45:00Z,6.00,94.00
2026-05-12T13:47:00Z,6.00,95.00
2026-05-12T13:48:00Z,5.00,96.00
2026-05-12T13:49:00Z,3.95,96.02
2026-05-12T13:50:00Z,3.00,95.72
2026-05-12T13:51:00Z,3.00,98.00
2026-05-12T13:52:00Z,4.00,98.00
2026-05-12T13:53:00Z,5.00,97.00
2026-05-12T13:54:00Z,6.00,97.00
2026-05-12T13:55:00Z,7.00,97.00
2026-05-12T13:56:00Z,9.00,92.18
2026-05-12T13:57:00Z,5.07,92.18
2026-05-12T13:58:00Z,6.62,94.96
2026-05-12T13:59:00Z,10.97,92.00
2026-05-12T14:00:00Z,12.73,88.00
2026-05-12T14:01:00Z,14.59,83.28
2026-05-12T14:02:00Z,16.00,83.28
2026-05-12T14:04:00Z,14.00,86.00
2026-05-12T14:05:00Z,14.00,86.00
2026-05-12T14:06:00Z,14.00,88.00
2026-05-12T14:07:00Z,14.00,88.03
2026-05-12T14:08:00Z,13.97,88.59
2026-05-12T14:09:00Z,14.00,91.00
2026-05-12T14:10:00Z,8.06,92.20
2026-05-12T14:11:00Z,8.06,91.00
2026-05-12T14:12:00Z,8.06,93.00
2026-05-12T14:13:00Z,6.00,94.00
2026-05-12T14:14:00Z,9.00,93.00
2026-05-12T14:15:00Z,9.00,93.13
2026-05-12T14:17:00Z,9.00,93.00
2026-05-12T14:18:00Z,8.14,93.00
2026-05-12T14:19:00Z,10.36,90.81
2026-05-12T14:20:00Z,11.93,90.81
2026-05-12T14:21:00Z,11.00,92.57
2026-05-12T14:22:00Z,5.83,95.00
2026-05-12T14:24:00Z,2.84,97.00
2026-05-12T14:25:00Z,1.95,99.00
2026-05-12T14:26:00Z,1.00,98.91
2026-05-12T14:27:00Z,1.00,98.75
2026-05-12T14:28:00Z,1.00,98.75
2026-05-12T14:29:00Z,1.00,99.00
2026-05-12T14:31:00Z,1.00,99.00
