# event_ticker=KXATPCHALLENGERMATCH-26FEB27GRACIN
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Federico Cina
# fav_player=Alastair Gray
# dog_player=Federico Cina
# kalshi_date=2026-02-27
timestamp,Alastair Gray,Federico Cina
2026-02-26T21:31:00Z,,74.00
2026-02-26T21:55:00Z,30.00,74.00
2026-02-26T23:45:00Z,30.00,74.00
2026-02-26T23:50:00Z,30.00,74.00
2026-02-27T00:25:00Z,26.00,73.00
2026-02-27T00:49:00Z,30.00,73.00
2026-02-27T02:47:00Z,29.00,73.00
2026-02-27T03:00:00Z,29.00,72.00
2026-02-27T03:30:00Z,29.00,72.00
2026-02-27T04:00:00Z,28.50,72.00
2026-02-27T04:03:00Z,28.50,72.00
2026-02-27T04:07:00Z,28.50,72.00
2026-02-27T04:10:00Z,29.00,72.00
2026-02-27T04:11:00Z,29.00,72.00
2026-02-27T04:13:00Z,29.00,72.00
2026-02-27T04:20:00Z,29.00,72.00
2026-02-27T04:51:00Z,29.00,72.00
2026-02-27T04:55:00Z,29.00,72.00
2026-02-27T04:58:00Z,29.00,72.00
2026-02-27T04:59:00Z,29.00,72.00
2026-02-27T05:21:00Z,29.00,72.00
2026-02-27T05:22:00Z,29.00,72.00
2026-02-27T05:26:00Z,29.00,72.00
2026-02-27T05:27:00Z,29.00,72.00
2026-02-27T05:32:00Z,28.00,72.00
2026-02-27T05:43:00Z,28.00,71.00
2026-02-27T05:47:00Z,29.00,71.00
2026-02-27T05:48:00Z,29.00,72.00
2026-02-27T05:49:00Z,29.00,72.00
2026-02-27T05:51:00Z,29.00,72.00
2026-02-27T05:52:00Z,28.00,72.00
2026-02-27T06:02:00Z,29.00,72.00
2026-02-27T06:07:00Z,29.00,72.00
2026-02-27T06:08:00Z,29.00,72.00
2026-02-27T06:10:00Z,29.00,72.00
2026-02-27T06:11:00Z,29.00,72.00
2026-02-27T06:19:00Z,29.13,72.00
2026-02-27T06:22:00Z,30.00,72.00
2026-02-27T06:23:00Z,30.00,72.00
2026-02-27T06:27:00Z,30.00,72.00
2026-02-27T06:28:00Z,30.00,72.00
2026-02-27T06:30:00Z,30.00,72.00
