# event_ticker=KXATPMATCH-26FEB16FUCHAB
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Marton Fucsovics
# fav_player=Hady Habib
# dog_player=Marton Fucsovics
# kalshi_date=2026-02-16
timestamp,Hady Habib,Marton Fucsovics
2026-02-17T00:21:00Z,,85.00
2026-02-17T00:41:00Z,,85.00
2026-02-17T00:44:00Z,,85.00
2026-02-17T00:53:00Z,,85.00
2026-02-17T00:56:00Z,,85.00
2026-02-17T01:11:00Z,,84.00
2026-02-17T01:22:00Z,16.00,84.00
2026-02-17T01:25:00Z,16.00,84.00
2026-02-17T01:47:00Z,16.00,84.00
2026-02-17T01:48:00Z,16.00,85.00
2026-02-17T02:16:00Z,16.00,85.00
2026-02-17T02:25:00Z,16.00,85.00
2026-02-17T02:26:00Z,16.00,85.00
2026-02-17T02:36:00Z,16.00,85.00
2026-02-17T02:43:00Z,16.00,85.00
2026-02-17T02:48:00Z,16.00,85.00
2026-02-17T02:51:00Z,16.00,85.00
2026-02-17T02:55:00Z,16.00,85.00
2026-02-17T03:03:00Z,16.00,85.00
2026-02-17T03:10:00Z,16.00,85.00
2026-02-17T03:11:00Z,16.00,84.00
2026-02-17T03:13:00Z,16.00,85.00
2026-02-17T03:16:00Z,16.00,85.00
2026-02-17T03:18:00Z,16.00,85.00
2026-02-17T03:23:00Z,16.00,85.00
2026-02-17T03:24:00Z,16.00,85.00
2026-02-17T03:25:00Z,16.00,85.00
2026-02-17T03:41:00Z,16.00,85.00
2026-02-17T03:42:00Z,16.00,85.00
2026-02-17T03:47:00Z,16.00,85.00
2026-02-17T03:49:00Z,16.00,85.00
2026-02-17T03:52:00Z,16.00,85.00
2026-02-17T04:02:00Z,16.00,85.00
2026-02-17T04:04:00Z,16.00,85.00
2026-02-17T04:07:00Z,16.00,85.00
2026-02-17T04:14:00Z,16.00,83.73
2026-02-17T04:22:00Z,16.00,85.00
2026-02-17T04:25:00Z,16.00,85.00
2026-02-17T04:27:00Z,16.00,85.00
2026-02-17T04:28:00Z,16.00,85.00
2026-02-17T04:31:00Z,16.00,85.00
2026-02-17T04:34:00Z,16.00,85.00
2026-02-17T04:37:00Z,16.00,85.00
2026-02-17T04:40:00Z,16.00,85.00
2026-02-17T04:42:00Z,16.00,85.00
2026-02-17T04:50:00Z,16.00,85.00
2026-02-17T05:01:00Z,16.00,85.00
2026-02-17T05:03:00Z,16.00,85.00
2026-02-17T05:06:00Z,16.00,85.00
2026-02-17T05:07:00Z,16.00,85.00
2026-02-17T05:16:00Z,16.00,85.00
2026-02-17T05:17:00Z,16.00,85.00
2026-02-17T05:25:00Z,16.00,85.00
2026-02-17T05:30:00Z,16.00,85.00
2026-02-17T05:32:00Z,16.00,85.00
2026-02-17T05:34:00Z,16.00,85.00
2026-02-17T05:37:00Z,16.00,85.00
2026-02-17T05:41:00Z,16.00,85.00
2026-02-17T05:52:00Z,16.00,84.00
2026-02-17T05:56:00Z,16.00,85.00
2026-02-17T06:01:00Z,16.00,85.00
2026-02-17T06:03:00Z,16.00,85.00
2026-02-17T06:04:00Z,16.00,85.00
2026-02-17T06:12:00Z,16.00,85.00
2026-02-17T06:27:00Z,16.00,85.00
2026-02-17T06:50:00Z,16.00,85.00
2026-02-17T07:03:00Z,16.00,85.00
2026-02-17T07:06:00Z,16.00,85.00
2026-02-17T07:37:00Z,16.00,85.00
2026-02-17T07:38:00Z,16.00,85.00
2026-02-17T07:39:00Z,16.00,85.00
2026-02-17T08:06:00Z,16.00,85.00
2026-02-17T08:10:00Z,16.00,85.00
2026-02-17T08:18:00Z,16.00,84.00
2026-02-17T08:32:00Z,16.00,85.00
2026-02-17T08:34:00Z,16.00,85.00
2026-02-17T08:39:00Z,16.00,84.00
2026-02-17T08:45:00Z,16.00,84.00
