# event_ticker=KXATPCHALLENGERMATCH-26APR27CECMIC
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Marco Cecchinato
# fav_player=Daniel Michalski
# dog_player=Marco Cecchinato
# kalshi_date=2026-04-27
timestamp,Marco Cecchinato,Daniel Michalski
2026-04-27T03:25:00Z,62.00,
2026-04-27T03:34:00Z,61.95,
2026-04-27T04:05:00Z,62.00,
2026-04-27T04:15:00Z,62.00,
2026-04-27T04:59:00Z,62.00,
2026-04-27T06:01:00Z,62.00,37.10
2026-04-27T06:23:00Z,63.00,37.10
2026-04-27T06:34:00Z,63.00,37.10
2026-04-27T06:42:00Z,63.00,37.10
2026-04-27T08:50:00Z,62.00,36.00
2026-04-27T09:40:00Z,62.00,36.00
2026-04-27T10:29:00Z,66.00,36.00
2026-04-27T10:37:00Z,66.00,36.00
2026-04-27T10:59:00Z,66.00,36.00
2026-04-27T11:06:00Z,65.00,36.00
2026-04-27T11:07:00Z,65.00,36.00
2026-04-27T11:13:00Z,66.84,35.00
2026-04-27T11:14:00Z,67.79,35.00
2026-04-27T11:41:00Z,68.00,35.00
2026-04-27T11:45:00Z,68.00,35.00
2026-04-27T11:46:00Z,68.00,35.00
2026-04-27T11:50:00Z,68.00,35.00
2026-04-27T11:52:00Z,68.00,35.00
2026-04-27T11:54:00Z,68.00,35.00
2026-04-27T11:58:00Z,68.00,35.00
2026-04-27T12:08:00Z,67.90,35.00
2026-04-27T12:10:00Z,67.00,35.00
2026-04-27T12:11:00Z,68.00,34.46
2026-04-27T12:12:00Z,63.63,36.05
2026-04-27T12:13:00Z,63.50,37.20
2026-04-27T12:14:00Z,61.10,38.38
2026-04-27T12:15:00Z,65.37,36.00
2026-04-27T12:16:00Z,67.34,36.00
2026-04-27T12:17:00Z,66.00,36.00
2026-04-27T12:18:00Z,67.64,36.00
2026-04-27T12:19:00Z,73.66,29.38
2026-04-27T12:20:00Z,70.10,29.96
2026-04-27T12:21:00Z,72.60,29.88
2026-04-27T12:22:00Z,76.17,23.55
2026-04-27T12:23:00Z,80.30,23.55
2026-04-27T12:24:00Z,82.00,19.00
2026-04-27T12:25:00Z,81.00,19.00
2026-04-27T12:26:00Z,80.96,19.00
2026-04-27T12:27:00Z,84.00,17.00
2026-04-27T12:28:00Z,81.20,17.06
2026-04-27T12:29:00Z,82.00,19.00
2026-04-27T12:30:00Z,80.00,21.00
2026-04-27T12:31:00Z,80.65,21.00
2026-04-27T12:33:00Z,79.53,20.00
2026-04-27T12:34:00Z,79.53,19.00
2026-04-27T12:35:00Z,83.00,19.00
2026-04-27T12:36:00Z,82.00,19.00
2026-04-27T12:37:00Z,80.77,19.00
2026-04-27T12:38:00Z,81.00,20.00
2026-04-27T12:39:00Z,82.27,20.00
2026-04-27T12:40:00Z,82.00,18.00
2026-04-27T12:41:00Z,84.00,17.00
2026-04-27T12:42:00Z,84.00,16.29
2026-04-27T12:43:00Z,83.33,17.00
2026-04-27T12:45:00Z,82.00,17.00
2026-04-27T12:46:00Z,83.01,18.49
2026-04-27T12:47:00Z,81.14,18.00
2026-04-27T12:48:00Z,82.73,18.00
2026-04-27T12:49:00Z,83.00,18.00
2026-04-27T12:50:00Z,82.17,16.42
2026-04-27T12:51:00Z,83.39,16.42
2026-04-27T12:52:00Z,83.39,16.58
2026-04-27T12:53:00Z,82.65,19.02
2026-04-27T12:54:00Z,81.99,20.00
2026-04-27T12:55:00Z,80.04,20.00
2026-04-27T12:56:00Z,82.44,19.00
2026-04-27T12:58:00Z,82.03,17.00
2026-04-27T12:59:00Z,83.98,17.15
2026-04-27T13:00:00Z,81.00,19.06
2026-04-27T13:01:00Z,85.00,17.00
2026-04-27T13:02:00Z,86.86,13.32
2026-04-27T13:03:00Z,90.46,10.00
2026-04-27T13:04:00Z,93.45,6.00
2026-04-27T13:05:00Z,95.00,6.00
2026-04-27T13:06:00Z,95.08,6.00
2026-04-27T13:07:00Z,94.02,6.00
2026-04-27T13:08:00Z,94.98,5.99
2026-04-27T13:09:00Z,94.50,5.99
2026-04-27T13:10:00Z,95.82,4.12
2026-04-27T13:11:00Z,96.17,4.53
2026-04-27T13:12:00Z,98.00,2.00
2026-04-27T13:13:00Z,99.00,1.67
2026-04-27T13:14:00Z,98.92,1.02
2026-04-27T13:15:00Z,98.98,1.95
2026-04-27T13:16:00Z,99.00,1.95
2026-04-27T13:19:00Z,99.00,1.95
2026-04-27T13:21:00Z,99.00,1.95
2026-04-27T13:22:00Z,98.99,1.00
2026-04-27T13:24:00Z,99.00,1.00
2026-04-27T13:25:00Z,99.00,1.00
2026-04-27T13:29:00Z,99.00,1.00
2026-04-27T13:31:00Z,99.00,1.00
2026-04-27T13:32:00Z,99.00,1.00
