# event_ticker=KXATPCHALLENGERMATCH-26MAR16JUSPRA
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Juan Carlos Prado Angelo
# fav_player=Guido Ivan Justo
# dog_player=Juan Carlos Prado Angelo
# kalshi_date=2026-03-16
timestamp,Guido Ivan Justo,Juan Carlos Prado Angelo
2026-03-17T14:27:00Z,,53.00
2026-03-17T17:00:00Z,,53.00
2026-03-17T17:31:00Z,,53.00
2026-03-17T18:09:00Z,,53.15
2026-03-17T20:43:00Z,,55.00
2026-03-17T20:56:00Z,47.80,55.31
2026-03-17T21:26:00Z,46.00,56.00
2026-03-17T22:12:00Z,46.00,56.00
2026-03-17T23:11:00Z,46.00,56.00
2026-03-17T23:15:00Z,46.00,55.00
2026-03-17T23:17:00Z,46.00,55.00
2026-03-17T23:21:00Z,46.00,60.03
2026-03-17T23:24:00Z,34.93,66.85
2026-03-17T23:25:00Z,38.57,66.85
2026-03-17T23:26:00Z,38.50,66.85
2026-03-17T23:27:00Z,38.00,63.00
2026-03-17T23:29:00Z,38.00,57.07
2026-03-17T23:30:00Z,41.59,59.00
2026-03-17T23:31:00Z,38.00,59.00
2026-03-17T23:32:00Z,38.00,63.00
2026-03-17T23:33:00Z,35.00,63.94
2026-03-17T23:35:00Z,28.00,71.90
2026-03-17T23:36:00Z,28.00,73.00
2026-03-17T23:37:00Z,27.00,74.60
2026-03-17T23:38:00Z,24.00,75.99
2026-03-17T23:39:00Z,24.00,78.00
2026-03-17T23:40:00Z,21.00,79.88
2026-03-17T23:41:00Z,23.00,80.00
2026-03-17T23:45:00Z,23.00,77.00
2026-03-17T23:46:00Z,23.00,80.00
2026-03-17T23:47:00Z,23.00,78.00
2026-03-17T23:48:00Z,21.00,78.00
2026-03-17T23:49:00Z,21.00,79.00
2026-03-17T23:50:00Z,21.00,81.00
2026-03-17T23:51:00Z,21.00,80.41
2026-03-17T23:53:00Z,21.00,78.35
2026-03-17T23:54:00Z,21.00,80.00
2026-03-17T23:55:00Z,18.00,83.76
2026-03-17T23:56:00Z,22.00,83.76
2026-03-17T23:57:00Z,25.68,82.72
2026-03-17T23:58:00Z,25.68,79.00
2026-03-17T23:59:00Z,24.00,73.00
2026-03-18T00:00:00Z,28.00,72.36
2026-03-18T00:01:00Z,28.00,69.12
2026-03-18T00:02:00Z,28.00,78.01
2026-03-18T00:03:00Z,20.00,80.08
2026-03-18T00:04:00Z,19.25,80.48
2026-03-18T00:05:00Z,20.00,81.00
2026-03-18T00:06:00Z,20.00,81.00
2026-03-18T00:08:00Z,20.00,81.00
2026-03-18T00:09:00Z,20.00,81.00
2026-03-18T00:10:00Z,20.00,80.01
2026-03-18T00:11:00Z,19.96,81.00
2026-03-18T00:12:00Z,20.00,80.00
2026-03-18T00:13:00Z,20.21,80.00
2026-03-18T00:15:00Z,14.30,85.07
2026-03-18T00:16:00Z,14.30,89.99
2026-03-18T00:17:00Z,10.14,91.05
2026-03-18T00:18:00Z,13.60,89.03
2026-03-18T00:19:00Z,13.60,90.03
2026-03-18T00:20:00Z,10.04,91.00
2026-03-18T00:21:00Z,12.00,88.00
2026-03-18T00:22:00Z,8.00,91.81
2026-03-18T00:23:00Z,7.42,91.81
2026-03-18T00:24:00Z,6.46,94.85
2026-03-18T00:25:00Z,8.00,96.00
2026-03-18T00:26:00Z,9.00,96.29
2026-03-18T00:27:00Z,8.61,92.97
2026-03-18T00:28:00Z,8.09,92.00
2026-03-18T00:29:00Z,8.02,93.81
2026-03-18T00:30:00Z,9.99,90.94
2026-03-18T00:31:00Z,12.04,88.00
2026-03-18T00:32:00Z,11.68,88.14
2026-03-18T00:33:00Z,11.68,92.37
2026-03-18T00:34:00Z,8.19,90.02
2026-03-18T00:35:00Z,9.52,90.38
2026-03-18T00:36:00Z,7.00,90.38
2026-03-18T00:37:00Z,5.27,94.00
2026-03-18T00:38:00Z,6.00,95.01
2026-03-18T00:39:00Z,8.00,94.35
2026-03-18T00:40:00Z,4.00,96.00
2026-03-18T00:41:00Z,7.16,95.00
2026-03-18T00:42:00Z,10.00,91.00
2026-03-18T00:43:00Z,10.00,90.99
2026-03-18T00:44:00Z,6.91,93.00
2026-03-18T00:45:00Z,4.00,96.48
2026-03-18T00:46:00Z,4.73,96.00
2026-03-18T00:47:00Z,7.00,96.00
2026-03-18T00:48:00Z,4.78,95.56
2026-03-18T00:49:00Z,3.85,96.17
2026-03-18T00:50:00Z,5.99,98.00
2026-03-18T00:51:00Z,1.30,97.99
2026-03-18T00:52:00Z,1.30,99.00
2026-03-18T00:53:00Z,1.30,99.00
2026-03-18T00:54:00Z,2.77,98.62
2026-03-18T00:55:00Z,4.11,97.98
2026-03-18T00:56:00Z,3.00,98.00
2026-03-18T00:57:00Z,3.59,96.26
2026-03-18T00:58:00Z,6.00,95.00
2026-03-18T00:59:00Z,5.00,95.00
2026-03-18T01:00:00Z,8.39,95.90
2026-03-18T01:01:00Z,2.06,96.51
2026-03-18T01:02:00Z,1.00,99.00
2026-03-18T01:06:00Z,1.00,99.00
