# event_ticker=KXATPCHALLENGERMATCH-26APR14KRUDUT
# final_score=2-6 6-3 6-4
# match_winner=Mitchell Krueger
# fav_player=Mitchell Krueger
# dog_player=Daniel Dutra Da Silva
# kalshi_date=2026-04-14
timestamp,Mitchell Krueger,Daniel Dutra Da Silva
2026-04-14T22:44:00Z,68.00,
2026-04-14T22:48:00Z,68.00,
2026-04-14T22:49:00Z,68.00,54.00
2026-04-14T22:50:00Z,68.00,54.00
2026-04-14T22:52:00Z,68.00,54.00
2026-04-14T22:55:00Z,68.00,54.00
2026-04-14T22:56:00Z,68.00,54.00
2026-04-14T22:57:00Z,52.09,53.00
2026-04-14T22:58:00Z,52.00,55.00
2026-04-14T23:01:00Z,52.00,60.00
2026-04-14T23:02:00Z,56.90,60.00
2026-04-14T23:03:00Z,56.90,54.00
2026-04-14T23:04:00Z,64.89,54.00
2026-04-14T23:05:00Z,80.00,8.00
2026-04-14T23:07:00Z,9.00,56.00
2026-04-14T23:12:00Z,9.00,53.94
2026-04-14T23:16:00Z,53.21,53.94
2026-04-14T23:19:00Z,56.00,53.00
2026-04-14T23:20:00Z,56.00,53.00
2026-04-14T23:22:00Z,56.00,52.91
2026-04-14T23:23:00Z,56.00,51.00
2026-04-14T23:26:00Z,56.00,51.75
2026-04-14T23:27:00Z,56.90,51.75
2026-04-14T23:29:00Z,56.90,50.00
2026-04-14T23:30:00Z,66.27,49.97
2026-04-14T23:31:00Z,66.27,50.00
2026-04-14T23:36:00Z,66.27,49.00
2026-04-14T23:38:00Z,57.00,49.00
2026-04-14T23:41:00Z,57.00,43.57
2026-04-14T23:42:00Z,72.42,43.57
2026-04-14T23:44:00Z,62.05,43.18
2026-04-14T23:45:00Z,62.05,47.79
2026-04-14T23:46:00Z,68.00,50.00
2026-04-14T23:48:00Z,55.77,50.00
2026-04-14T23:49:00Z,56.00,50.00
2026-04-14T23:50:00Z,52.05,50.00
2026-04-14T23:51:00Z,57.00,50.00
2026-04-14T23:52:00Z,57.00,50.00
2026-04-14T23:53:00Z,57.00,50.00
2026-04-14T23:55:00Z,57.00,50.00
2026-04-14T23:56:00Z,57.00,50.00
2026-04-14T23:57:00Z,57.00,50.00
2026-04-14T23:59:00Z,54.00,47.98
2026-04-15T00:00:00Z,56.64,47.98
2026-04-15T00:01:00Z,56.64,48.00
2026-04-15T00:02:00Z,56.64,48.00
2026-04-15T00:03:00Z,66.92,47.97
2026-04-15T00:04:00Z,58.93,46.36
2026-04-15T00:05:00Z,58.93,40.24
2026-04-15T00:06:00Z,66.97,46.66
2026-04-15T00:07:00Z,67.90,39.31
2026-04-15T00:08:00Z,54.27,47.35
2026-04-15T00:09:00Z,51.14,51.78
2026-04-15T00:10:00Z,46.16,57.38
2026-04-15T00:11:00Z,35.40,63.47
2026-04-15T00:12:00Z,37.79,65.40
2026-04-15T00:13:00Z,40.05,63.60
2026-04-15T00:14:00Z,40.00,64.86
2026-04-15T00:15:00Z,40.00,60.97
2026-04-15T00:16:00Z,39.40,66.59
2026-04-15T00:17:00Z,40.23,60.22
2026-04-15T00:18:00Z,43.67,57.20
2026-04-15T00:19:00Z,51.26,51.59
2026-04-15T00:20:00Z,53.23,54.00
2026-04-15T00:21:00Z,51.89,55.91
2026-04-15T00:22:00Z,52.15,53.47
2026-04-15T00:23:00Z,53.62,50.95
2026-04-15T00:24:00Z,45.06,55.71
2026-04-15T00:25:00Z,39.19,63.13
2026-04-15T00:26:00Z,34.70,70.48
2026-04-15T00:27:00Z,39.57,67.78
2026-04-15T00:28:00Z,32.58,66.83
2026-04-15T00:29:00Z,35.00,67.00
2026-04-15T00:30:00Z,33.58,68.78
2026-04-15T00:31:00Z,30.74,70.94
2026-04-15T00:32:00Z,31.00,73.99
2026-04-15T00:33:00Z,27.49,73.01
2026-04-15T00:34:00Z,28.00,73.00
2026-04-15T00:35:00Z,27.87,71.97
2026-04-15T00:36:00Z,35.79,73.26
2026-04-15T00:37:00Z,42.43,63.01
2026-04-15T00:38:00Z,42.57,58.69
2026-04-15T00:39:00Z,40.72,60.25
2026-04-15T00:40:00Z,42.52,59.55
2026-04-15T00:41:00Z,34.29,66.91
2026-04-15T00:42:00Z,48.40,60.90
2026-04-15T00:43:00Z,46.21,57.15
2026-04-15T00:44:00Z,48.14,51.44
2026-04-15T00:45:00Z,52.23,45.18
2026-04-15T00:46:00Z,48.19,50.97
2026-04-15T00:47:00Z,48.03,52.82
2026-04-15T00:48:00Z,53.73,54.19
2026-04-15T00:49:00Z,48.00,54.12
2026-04-15T00:50:00Z,47.57,53.26
2026-04-15T00:51:00Z,43.80,55.97
2026-04-15T00:52:00Z,44.00,57.80
2026-04-15T00:53:00Z,45.05,58.32
2026-04-15T00:54:00Z,35.73,65.00
2026-04-15T00:55:00Z,39.09,63.74
2026-04-15T00:56:00Z,35.65,69.30
2026-04-15T00:57:00Z,33.02,71.08
2026-04-15T00:58:00Z,35.86,63.64
2026-04-15T00:59:00Z,40.37,64.45
2026-04-15T01:00:00Z,42.50,57.39
2026-04-15T01:01:00Z,38.08,66.35
2026-04-15T01:02:00Z,37.62,69.97
2026-04-15T01:03:00Z,45.61,57.70
2026-04-15T01:04:00Z,46.00,57.67
2026-04-15T01:05:00Z,46.53,56.97
2026-04-15T01:06:00Z,46.17,64.40
2026-04-15T01:07:00Z,41.48,58.89
2026-04-15T01:08:00Z,47.78,56.70
2026-04-15T01:09:00Z,51.70,50.09
2026-04-15T01:10:00Z,54.88,46.32
2026-04-15T01:11:00Z,57.42,45.77
2026-04-15T01:12:00Z,61.72,41.84
2026-04-15T01:13:00Z,61.99,38.42
2026-04-15T01:14:00Z,60.92,38.01
2026-04-15T01:15:00Z,58.00,41.72
2026-04-15T01:16:00Z,56.01,43.21
2026-04-15T01:17:00Z,53.22,46.23
2026-04-15T01:18:00Z,59.11,42.62
2026-04-15T01:19:00Z,59.74,40.77
2026-04-15T01:20:00Z,61.53,38.65
