# event_ticker=KXATPCHALLENGERMATCH-26MAR08RODMAL
# final_score=7-6(5) 6-3
# score_resolution=6-7 3-6
# match_winner=Santiago Rodriguez Taverna
# fav_player=Bastian Malla
# dog_player=Santiago Rodriguez Taverna
# kalshi_date=2026-03-08
timestamp,Bastian Malla,Santiago Rodriguez Taverna
2026-03-10T08:07:00Z,,63.00
2026-03-10T09:43:00Z,,63.00
2026-03-10T11:37:00Z,,61.77
2026-03-10T12:10:00Z,45.76,55.90
2026-03-10T12:18:00Z,42.00,55.90
2026-03-10T13:48:00Z,42.00,63.00
2026-03-10T15:27:00Z,42.00,63.00
2026-03-10T15:32:00Z,42.00,55.00
2026-03-10T15:36:00Z,42.00,63.00
2026-03-10T16:30:00Z,41.00,63.00
2026-03-10T16:43:00Z,41.00,55.00
2026-03-10T17:02:00Z,41.00,55.00
2026-03-10T17:55:00Z,38.00,64.77
2026-03-10T18:05:00Z,38.00,63.32
2026-03-10T18:22:00Z,38.00,63.32
2026-03-10T18:24:00Z,38.00,64.00
2026-03-10T19:08:00Z,38.00,64.00
2026-03-10T19:09:00Z,38.00,64.00
2026-03-10T19:11:00Z,38.00,63.00
2026-03-10T19:12:00Z,38.00,58.00
2026-03-10T19:13:00Z,38.00,63.00
2026-03-10T19:14:00Z,38.00,63.00
2026-03-10T19:16:00Z,38.00,64.00
2026-03-10T19:35:00Z,38.00,64.00
2026-03-10T19:42:00Z,38.00,67.00
2026-03-10T19:47:00Z,39.00,67.00
2026-03-10T19:48:00Z,38.89,65.00
2026-03-10T19:49:00Z,39.03,69.00
2026-03-10T19:50:00Z,40.83,60.00
2026-03-10T19:51:00Z,45.00,58.00
2026-03-10T19:52:00Z,45.88,57.58
2026-03-10T19:53:00Z,43.20,55.00
2026-03-10T19:54:00Z,44.25,57.00
2026-03-10T19:55:00Z,42.50,63.97
2026-03-10T19:56:00Z,43.50,60.00
2026-03-10T19:57:00Z,43.33,60.00
2026-03-10T19:58:00Z,47.70,55.00
2026-03-10T19:59:00Z,43.00,59.00
2026-03-10T20:00:00Z,35.00,73.20
2026-03-10T20:01:00Z,40.50,64.38
2026-03-10T20:02:00Z,38.82,64.83
2026-03-10T20:03:00Z,39.71,62.35
2026-03-10T20:04:00Z,37.06,70.52
2026-03-10T20:05:00Z,37.06,65.57
2026-03-10T20:06:00Z,34.08,66.16
2026-03-10T20:07:00Z,32.64,70.22
2026-03-10T20:08:00Z,27.86,74.00
2026-03-10T20:09:00Z,25.00,76.00
2026-03-10T20:10:00Z,27.79,74.00
2026-03-10T20:11:00Z,30.74,72.36
2026-03-10T20:12:00Z,28.31,75.71
2026-03-10T20:13:00Z,22.33,76.05
2026-03-10T20:14:00Z,22.47,76.05
2026-03-10T20:15:00Z,23.47,79.25
2026-03-10T20:16:00Z,25.70,80.76
2026-03-10T20:17:00Z,23.00,78.28
2026-03-10T20:18:00Z,22.78,76.00
2026-03-10T20:19:00Z,26.00,81.76
2026-03-10T20:20:00Z,36.81,67.17
2026-03-10T20:21:00Z,37.91,65.38
2026-03-10T20:22:00Z,35.71,68.68
2026-03-10T20:23:00Z,28.08,68.68
2026-03-10T20:24:00Z,25.00,77.74
2026-03-10T20:25:00Z,25.00,80.68
