# event_ticker=KXATPMATCH-26APR07COBBLO
# final_score=6-3 6-3
# match_winner=Alexander Blockx
# fav_player=Alexander Blockx
# dog_player=Flavio Cobolli
# kalshi_date=2026-04-07
timestamp,Alexander Blockx,Flavio Cobolli
2026-04-08T03:54:00Z,,66.00
2026-04-08T03:56:00Z,,66.63
2026-04-08T03:59:00Z,,67.00
2026-04-08T04:10:00Z,35.00,66.00
2026-04-08T04:16:00Z,35.00,66.00
2026-04-08T04:20:00Z,35.00,66.00
2026-04-08T04:22:00Z,35.12,66.00
2026-04-08T04:26:00Z,35.12,66.00
2026-04-08T04:35:00Z,35.12,65.00
2026-04-08T04:36:00Z,35.12,65.80
2026-04-08T04:37:00Z,35.12,66.00
2026-04-08T04:44:00Z,36.00,66.00
2026-04-08T04:47:00Z,36.00,66.00
2026-04-08T04:48:00Z,36.00,66.00
2026-04-08T04:50:00Z,36.00,66.00
2026-04-08T04:52:00Z,36.00,66.00
2026-04-08T04:55:00Z,36.00,66.00
2026-04-08T04:58:00Z,36.00,64.00
2026-04-08T04:59:00Z,36.00,66.00
2026-04-08T05:00:00Z,36.00,66.00
2026-04-08T05:04:00Z,36.00,66.00
2026-04-08T05:13:00Z,36.00,66.00
2026-04-08T05:14:00Z,36.00,66.00
2026-04-08T05:15:00Z,36.00,66.00
2026-04-08T05:17:00Z,36.00,66.00
2026-04-08T05:23:00Z,36.00,66.00
2026-04-08T05:28:00Z,36.00,66.00
2026-04-08T05:30:00Z,36.00,66.00
2026-04-08T05:31:00Z,36.00,66.00
2026-04-08T05:33:00Z,36.00,66.00
2026-04-08T05:34:00Z,36.00,66.00
2026-04-08T05:35:00Z,35.46,66.00
2026-04-08T05:37:00Z,35.46,66.00
2026-04-08T05:41:00Z,35.46,66.00
2026-04-08T05:45:00Z,35.46,66.00
2026-04-08T05:46:00Z,35.46,66.00
2026-04-08T05:48:00Z,35.46,67.00
2026-04-08T05:50:00Z,35.46,66.00
2026-04-08T05:52:00Z,35.46,66.00
2026-04-08T05:53:00Z,36.00,66.00
2026-04-08T05:54:00Z,36.00,66.00
2026-04-08T05:55:00Z,36.00,66.00
2026-04-08T05:56:00Z,36.00,66.00
2026-04-08T05:59:00Z,36.00,66.00
2026-04-08T06:03:00Z,36.00,66.00
2026-04-08T06:07:00Z,36.00,66.00
2026-04-08T06:08:00Z,36.00,66.00
2026-04-08T06:11:00Z,36.00,66.00
2026-04-08T06:12:00Z,36.00,66.00
2026-04-08T06:13:00Z,36.00,66.00
2026-04-08T06:16:00Z,36.00,66.00
2026-04-08T06:18:00Z,36.00,66.00
2026-04-08T06:22:00Z,35.00,66.00
2026-04-08T06:24:00Z,35.00,66.00
2026-04-08T06:25:00Z,35.00,66.00
2026-04-08T06:26:00Z,35.00,66.00
2026-04-08T06:29:00Z,35.72,65.00
2026-04-08T06:36:00Z,34.00,65.00
2026-04-08T06:39:00Z,34.00,66.00
2026-04-08T06:40:00Z,34.00,66.00
2026-04-08T06:45:00Z,34.00,66.00
2026-04-08T06:47:00Z,34.00,66.00
2026-04-08T06:50:00Z,34.00,65.00
2026-04-08T06:57:00Z,34.00,66.00
2026-04-08T07:00:00Z,34.00,66.00
2026-04-08T07:02:00Z,34.00,66.00
2026-04-08T07:07:00Z,34.00,66.00
2026-04-08T07:08:00Z,34.00,66.00
2026-04-08T07:25:00Z,34.00,66.00
2026-04-08T07:32:00Z,34.00,66.00
2026-04-08T07:38:00Z,34.00,65.00
2026-04-08T07:46:00Z,34.00,65.00
2026-04-08T07:47:00Z,34.00,65.00
2026-04-08T07:50:00Z,34.00,65.00
2026-04-08T07:59:00Z,34.00,65.00
2026-04-08T08:00:00Z,34.00,65.00
2026-04-08T08:01:00Z,36.00,64.00
2026-04-08T08:07:00Z,39.00,64.00
2026-04-08T08:11:00Z,39.00,64.00
2026-04-08T08:14:00Z,39.00,64.00
2026-04-08T08:15:00Z,39.00,64.00
2026-04-08T08:37:00Z,39.00,64.00
2026-04-08T08:46:00Z,39.00,64.00
2026-04-08T08:48:00Z,39.00,64.00
2026-04-08T08:51:00Z,39.00,64.00
2026-04-08T08:54:00Z,39.00,64.00
2026-04-08T08:57:00Z,39.00,64.00
2026-04-08T09:16:00Z,39.00,64.00
2026-04-08T09:22:00Z,39.00,64.00
2026-04-08T09:24:00Z,39.00,63.00
2026-04-08T09:25:00Z,39.00,63.00
2026-04-08T09:37:00Z,39.00,63.00
2026-04-08T09:43:00Z,39.00,63.00
2026-04-08T09:49:00Z,39.00,63.00
2026-04-08T09:56:00Z,39.00,63.00
2026-04-08T09:58:00Z,39.00,63.00
2026-04-08T09:59:00Z,37.94,63.00
2026-04-08T10:00:00Z,37.94,63.00
2026-04-08T10:01:00Z,37.94,64.00
2026-04-08T10:04:00Z,38.00,64.00
2026-04-08T10:10:00Z,38.00,64.00
2026-04-08T10:11:00Z,38.00,64.00
2026-04-08T10:22:00Z,38.00,64.00
2026-04-08T10:29:00Z,38.00,64.00
2026-04-08T10:30:00Z,38.00,64.00
2026-04-08T10:32:00Z,38.00,64.00
2026-04-08T10:33:00Z,38.00,64.00
2026-04-08T10:42:00Z,38.00,64.00
2026-04-08T10:45:00Z,38.00,64.00
2026-04-08T10:50:00Z,39.00,64.00
2026-04-08T10:51:00Z,39.00,64.00
2026-04-08T10:52:00Z,39.00,64.00
2026-04-08T10:57:00Z,39.00,63.00
2026-04-08T11:13:00Z,39.00,64.00
2026-04-08T11:17:00Z,37.00,64.00
2026-04-08T11:24:00Z,37.00,64.00
2026-04-08T11:26:00Z,37.00,64.00
2026-04-08T11:30:00Z,39.00,64.00
2026-04-08T11:31:00Z,39.00,64.00
2026-04-08T11:35:00Z,37.00,64.00
2026-04-08T11:37:00Z,37.00,64.00
2026-04-08T11:39:00Z,37.00,64.00
2026-04-08T11:40:00Z,39.00,64.00
2026-04-08T11:41:00Z,39.00,64.00
2026-04-08T11:43:00Z,39.00,64.00
2026-04-08T11:44:00Z,39.00,64.00
2026-04-08T11:45:00Z,39.00,64.00
2026-04-08T11:47:00Z,39.00,64.00
2026-04-08T11:48:00Z,39.00,64.00
2026-04-08T11:49:00Z,39.00,64.00
2026-04-08T11:50:00Z,39.00,64.00
2026-04-08T11:51:00Z,39.00,64.00
2026-04-08T11:53:00Z,39.00,64.00
2026-04-08T11:55:00Z,39.00,64.00
2026-04-08T11:56:00Z,37.00,64.00
2026-04-08T11:57:00Z,36.15,64.00
2026-04-08T11:58:00Z,35.02,64.00
2026-04-08T11:59:00Z,35.02,64.26
2026-04-08T12:00:00Z,36.15,64.00
2026-04-08T12:01:00Z,36.15,64.00
2026-04-08T12:03:00Z,36.15,64.00
2026-04-08T12:04:00Z,36.15,64.00
2026-04-08T12:05:00Z,37.00,64.00
2026-04-08T12:08:00Z,37.00,64.00
2026-04-08T12:09:00Z,37.00,64.00
2026-04-08T12:12:00Z,37.00,64.00
2026-04-08T12:13:00Z,37.00,64.00
2026-04-08T12:19:00Z,37.00,64.00
2026-04-08T12:21:00Z,37.00,64.00
2026-04-08T12:25:00Z,38.00,62.11
2026-04-08T12:26:00Z,38.00,63.00
2026-04-08T12:29:00Z,38.00,63.00
2026-04-08T12:31:00Z,38.00,63.00
2026-04-08T12:32:00Z,38.00,64.00
2026-04-08T12:35:00Z,38.00,64.00
2026-04-08T12:41:00Z,38.00,64.00
2026-04-08T12:42:00Z,38.00,64.00
2026-04-08T12:43:00Z,38.00,64.00
2026-04-08T12:45:00Z,38.00,64.00
2026-04-08T12:46:00Z,38.00,64.00
2026-04-08T12:47:00Z,38.00,64.00
2026-04-08T12:49:00Z,38.00,64.00
2026-04-08T12:53:00Z,38.00,64.00
2026-04-08T12:55:00Z,38.00,63.00
2026-04-08T12:56:00Z,38.00,63.00
2026-04-08T13:03:00Z,38.00,63.00
2026-04-08T13:08:00Z,38.00,63.00
2026-04-08T13:10:00Z,38.00,63.00
2026-04-08T13:13:00Z,38.00,63.00
2026-04-08T13:15:00Z,38.00,63.00
2026-04-08T13:16:00Z,38.00,63.00
2026-04-08T13:17:00Z,38.00,63.00
2026-04-08T13:18:00Z,38.00,62.00
2026-04-08T13:19:00Z,38.00,63.00
2026-04-08T13:20:00Z,38.00,63.00
2026-04-08T13:21:00Z,38.00,63.00
2026-04-08T13:23:00Z,38.00,63.00
2026-04-08T13:24:00Z,38.00,63.00
2026-04-08T13:25:00Z,37.00,63.00
2026-04-08T13:26:00Z,37.00,63.00
2026-04-08T13:28:00Z,37.00,63.00
2026-04-08T13:30:00Z,37.00,62.00
2026-04-08T13:31:00Z,37.00,63.00
2026-04-08T13:32:00Z,38.00,63.00
2026-04-08T13:33:00Z,38.00,62.97
2026-04-08T13:34:00Z,38.00,63.00
2026-04-08T13:35:00Z,38.00,64.00
2026-04-08T13:37:00Z,38.00,64.00
2026-04-08T13:38:00Z,38.00,64.00
2026-04-08T13:39:00Z,38.00,64.00
2026-04-08T13:40:00Z,38.00,64.00
2026-04-08T13:41:00Z,38.00,64.00
2026-04-08T13:42:00Z,38.00,64.00
2026-04-08T13:43:00Z,38.00,64.00
2026-04-08T13:44:00Z,38.00,64.00
2026-04-08T13:45:00Z,38.00,64.00
2026-04-08T13:46:00Z,38.00,64.00
2026-04-08T13:47:00Z,37.00,64.00
2026-04-08T13:48:00Z,37.00,64.00
2026-04-08T13:50:00Z,38.00,63.00
2026-04-08T13:51:00Z,38.00,63.00
2026-04-08T13:52:00Z,38.00,63.00
2026-04-08T13:53:00Z,39.00,63.00
2026-04-08T13:54:00Z,39.00,63.00
2026-04-08T13:55:00Z,39.00,63.00
2026-04-08T13:57:00Z,39.00,63.00
2026-04-08T13:58:00Z,39.00,63.00
2026-04-08T13:59:00Z,39.00,63.00
2026-04-08T14:01:00Z,39.00,63.00
2026-04-08T14:02:00Z,38.00,62.99
2026-04-08T14:03:00Z,38.00,63.00
2026-04-08T14:04:00Z,38.00,63.00
2026-04-08T14:05:00Z,38.00,63.00
2026-04-08T14:06:00Z,38.00,64.00
2026-04-08T14:07:00Z,38.00,64.00
2026-04-08T14:08:00Z,38.00,64.00
2026-04-08T14:09:00Z,38.00,64.00
2026-04-08T14:10:00Z,38.00,64.00
2026-04-08T14:11:00Z,38.00,64.00
2026-04-08T14:13:00Z,37.00,64.00
2026-04-08T14:14:00Z,37.00,64.00
2026-04-08T14:15:00Z,37.00,62.53
2026-04-08T14:16:00Z,37.00,63.00
2026-04-08T14:18:00Z,37.00,64.00
2026-04-08T14:19:00Z,37.00,64.00
2026-04-08T14:21:00Z,37.00,63.00
2026-04-08T14:22:00Z,37.00,63.00
2026-04-08T14:23:00Z,37.00,63.00
2026-04-08T14:25:00Z,37.00,63.00
2026-04-08T14:26:00Z,37.00,63.00
2026-04-08T14:27:00Z,37.00,63.00
2026-04-08T14:28:00Z,37.00,63.00
2026-04-08T14:29:00Z,37.00,63.00
2026-04-08T14:30:00Z,37.00,63.00
2026-04-08T14:31:00Z,37.00,63.00
2026-04-08T14:34:00Z,37.00,63.00
2026-04-08T14:35:00Z,37.00,63.00
2026-04-08T14:36:00Z,37.00,63.73
2026-04-08T14:37:00Z,37.33,64.00
2026-04-08T14:38:00Z,37.00,64.00
2026-04-08T14:39:00Z,37.00,64.00
2026-04-08T14:40:00Z,37.00,64.00
2026-04-08T14:41:00Z,37.00,64.00
2026-04-08T14:43:00Z,37.00,64.00
2026-04-08T14:44:00Z,37.00,64.00
2026-04-08T14:45:00Z,37.00,64.00
2026-04-08T14:47:00Z,37.00,64.00
2026-04-08T14:48:00Z,37.00,64.00
2026-04-08T14:50:00Z,37.00,64.00
2026-04-08T14:51:00Z,37.00,64.00
2026-04-08T14:53:00Z,37.00,64.00
2026-04-08T14:54:00Z,37.00,63.99
2026-04-08T14:55:00Z,37.00,64.00
2026-04-08T14:56:00Z,37.00,64.00
2026-04-08T14:57:00Z,37.00,64.00
2026-04-08T14:58:00Z,37.00,64.00
2026-04-08T14:59:00Z,37.00,64.00
2026-04-08T15:00:00Z,37.00,64.00
2026-04-08T15:02:00Z,37.00,64.00
2026-04-08T15:03:00Z,37.00,64.00
2026-04-08T15:04:00Z,37.00,64.00
2026-04-08T15:05:00Z,37.00,63.76
2026-04-08T15:06:00Z,37.00,64.00
2026-04-08T15:07:00Z,37.00,64.00
2026-04-08T15:08:00Z,37.00,64.00
2026-04-08T15:09:00Z,38.00,64.00
2026-04-08T15:10:00Z,38.00,64.00
2026-04-08T15:12:00Z,38.00,64.00
2026-04-08T15:13:00Z,38.00,63.00
2026-04-08T15:14:00Z,38.00,64.01
2026-04-08T15:15:00Z,38.00,64.00
2026-04-08T15:16:00Z,38.00,63.22
2026-04-08T15:17:00Z,38.00,64.00
2026-04-08T15:18:00Z,38.00,64.00
2026-04-08T15:19:00Z,38.00,64.00
2026-04-08T15:20:00Z,38.00,64.67
2026-04-08T15:21:00Z,38.00,64.00
