# event_ticker=KXATPCHALLENGERMATCH-26APR03ROYMAR
# final_score=6-7(7) 6-4 6-3
# score_resolution=7-6 4-6 3-6
# match_winner=Alex Martinez
# fav_player=Valentin Royer
# dog_player=Alex Martinez
# kalshi_date=2026-04-03
timestamp,Valentin Royer,Alex Martinez
2026-04-02T21:56:00Z,84.85,15.00
2026-04-02T22:25:00Z,88.00,12.00
2026-04-02T23:25:00Z,88.00,13.00
2026-04-02T23:59:00Z,88.00,13.00
2026-04-03T01:01:00Z,87.00,13.00
2026-04-03T01:06:00Z,88.00,11.00
2026-04-03T01:54:00Z,88.00,12.00
2026-04-03T02:49:00Z,88.00,13.00
2026-04-03T02:53:00Z,88.00,13.00
2026-04-03T02:56:00Z,88.00,13.00
2026-04-03T03:01:00Z,88.00,13.00
2026-04-03T03:09:00Z,88.00,13.00
2026-04-03T03:35:00Z,88.00,13.00
2026-04-03T03:36:00Z,88.00,13.00
2026-04-03T04:02:00Z,89.00,13.00
2026-04-03T04:22:00Z,89.00,12.00
2026-04-03T04:28:00Z,89.00,13.00
2026-04-03T04:58:00Z,89.00,13.00
2026-04-03T05:12:00Z,89.00,14.00
2026-04-03T05:22:00Z,89.00,14.00
2026-04-03T05:27:00Z,89.00,14.00
2026-04-03T05:48:00Z,89.00,14.00
2026-04-03T05:54:00Z,89.00,14.00
2026-04-03T05:56:00Z,89.00,13.00
2026-04-03T06:19:00Z,89.00,11.00
2026-04-03T06:25:00Z,90.00,11.00
2026-04-03T06:49:00Z,90.00,13.00
2026-04-03T06:58:00Z,90.00,12.00
2026-04-03T07:05:00Z,89.00,12.00
2026-04-03T07:10:00Z,87.00,12.00
2026-04-03T07:31:00Z,89.00,12.00
2026-04-03T07:35:00Z,87.00,12.00
2026-04-03T07:42:00Z,87.00,13.00
2026-04-03T07:43:00Z,87.00,13.00
2026-04-03T07:46:00Z,87.00,13.00
2026-04-03T07:49:00Z,87.00,13.00
2026-04-03T07:59:00Z,89.00,13.00
2026-04-03T08:09:00Z,89.00,13.00
2026-04-03T08:10:00Z,89.00,12.00
2026-04-03T08:44:00Z,89.00,12.00
2026-04-03T08:45:00Z,89.00,13.00
2026-04-03T08:48:00Z,89.00,13.00
2026-04-03T08:54:00Z,89.00,11.23
2026-04-03T08:56:00Z,89.00,10.00
2026-04-03T09:00:00Z,89.00,12.00
2026-04-03T09:02:00Z,89.00,11.00
2026-04-03T09:09:00Z,89.00,12.42
2026-04-03T09:10:00Z,89.00,12.95
2026-04-03T09:11:00Z,89.00,12.98
2026-04-03T09:12:00Z,89.00,13.00
2026-04-03T09:13:00Z,88.21,13.16
2026-04-03T09:14:00Z,88.00,12.97
2026-04-03T09:15:00Z,91.00,9.95
2026-04-03T09:16:00Z,92.00,8.56
2026-04-03T09:17:00Z,92.00,10.27
2026-04-03T09:19:00Z,88.99,12.90
2026-04-03T09:20:00Z,83.11,16.36
2026-04-03T09:21:00Z,82.00,18.26
2026-04-03T09:22:00Z,82.00,16.19
2026-04-03T09:23:00Z,82.00,14.00
2026-04-03T09:24:00Z,86.67,13.81
2026-04-03T09:25:00Z,89.00,12.94
2026-04-03T09:26:00Z,89.00,12.00
2026-04-03T09:27:00Z,89.00,9.69
2026-04-03T09:28:00Z,87.00,14.03
2026-04-03T09:29:00Z,84.41,15.69
2026-04-03T09:30:00Z,78.20,22.55
2026-04-03T09:31:00Z,76.00,27.02
2026-04-03T09:32:00Z,76.00,28.34
2026-04-03T09:33:00Z,74.41,28.56
2026-04-03T09:34:00Z,79.48,25.28
2026-04-03T09:35:00Z,79.73,21.55
2026-04-03T09:36:00Z,82.94,15.09
2026-04-03T09:37:00Z,83.06,17.05
2026-04-03T09:38:00Z,83.06,20.76
2026-04-03T09:39:00Z,79.60,19.34
2026-04-03T09:40:00Z,80.70,22.05
2026-04-03T09:41:00Z,80.25,18.20
2026-04-03T09:42:00Z,82.00,17.27
2026-04-03T09:43:00Z,81.69,21.51
2026-04-03T09:44:00Z,71.39,30.79
2026-04-03T09:45:00Z,70.98,32.00
2026-04-03T09:46:00Z,71.00,32.55
2026-04-03T09:47:00Z,66.13,35.79
2026-04-03T09:48:00Z,64.00,36.90
2026-04-03T09:49:00Z,63.33,38.02
2026-04-03T09:50:00Z,65.56,34.00
2026-04-03T09:51:00Z,65.56,34.00
2026-04-03T09:52:00Z,63.10,35.32
2026-04-03T09:53:00Z,67.96,32.00
2026-04-03T09:54:00Z,64.36,36.34
2026-04-03T09:55:00Z,71.94,27.59
2026-04-03T09:56:00Z,75.67,19.60
2026-04-03T09:57:00Z,82.00,17.66
2026-04-03T09:58:00Z,84.84,15.78
2026-04-03T09:59:00Z,85.00,14.93
2026-04-03T10:00:00Z,85.00,15.00
2026-04-03T10:01:00Z,82.04,17.52
2026-04-03T10:02:00Z,82.04,16.38
2026-04-03T10:03:00Z,82.04,19.60
2026-04-03T10:04:00Z,81.29,20.33
2026-04-03T10:05:00Z,76.54,23.74
